record_id,original_title,crossref_doi,crossref_title,crossref_journal,crossref_year,title_match_score,outcome,pmid_from_doi
DUP_01557,Regulation of cerebral regional homogeneity exerted by puncturing hao-yang acupoints for migraine patients,10.33140/amlai.03.01.06,Functional Connectivity and Regional Homogeneity Alterations in Migraine Patients: A Protocol of Systematic Review and Meta-Analysis,Advances in Machine Learning &amp; Artificial Intelligence,2022,0.385,not_found,
DUP_01633,Scalp electroacupuncture in stroke rehabilitation research: FMRI methodological issues and solutions,10.6315/3005-3846.1974,The Effect of Scalp Electroacupuncture on Motor Neuron Excitability of Stroke Patients,Rehabilitation Practice and Science,1995,0.273,not_found,
DUP_00037,A Physiological fMRI Study of Acupuncture and Perceptions of Pain in Chronic Low Back Pain Patients.,10.1002/brb3.70543/v1/review2,"Review for ""The Effect of Combining Transcranial Direct Current Stimulation and Pain Neuroscience Education in Patients With Chronic Low Back Pain and High Pain Catastrophizing: An Exploratory Clinical, Cognitive, and fMRI Study""",,2025,0.714,doi_found,
DUP_00242,Acupuncture treatment attenuates excitability of spinal motor neuron and spastic muscle overactivity in patients with persistent disturbance of consciousness following traumatic brain injury,10.1089/acm.2016.0180,Acupuncture Reduces Excitability of Spinal Motor Neurons in Patients with Spastic Muscle Overactivity and Chronic Disorder of Consciousness Following Traumatic Brain Injury,The Journal of Alternative and Complementary Medicine,2016,0.773,doi_found,
DUP_00437,Brain circuitry subserving acupuncture relief of itch in atopic dermatitis: An fMRI study,10.1186/1472-6882-12-s1-o32,OA08.04. Brain circuitry subserving acupuncture relief of itch in atopic dermatitis: an fMRI study,BMC Complementary and Alternative Medicine,2012,1.0,doi_found,
DUP_00468,Brain Plasticity Underlying Back Pain Response to Different Acupuncture Methods,10.1136/aim.18.1.65,Acupuncture for Vulval and Back Pain: Phantom Needle Response?,Acupuncture in Medicine,2000,0.4,possible_doi,
DUP_00890,Efficacy of Acupuncture and Moxibustion Treatment in Patients With Quiescent Crohn's Disease:Evaluation With Functional Magnetic Resonance Imaging(fMRI),10.1016/j.wjam.2021.05.013,Analysis of the differences in brain function response after acupuncture and moxibustion at Zúsānlĭ (足三里ST36) in the patients with functional dyspepsia based on fractional amplitude of low frequency fluctuation of rest functional magnetic resonance imaging,World Journal of Acupuncture - Moxibustion,2021,0.625,doi_found,
DUP_01520,Progress on application of fMRI in studies of meridians and acupoints,10.1016/s1003-5257(12)60011-7,Progress on application of fMRI in studies of meridians and acupoints,World Journal of Acupuncture - Moxibustion,2012,1.0,doi_found,
DUP_00506,Cerebral fMRI in observation on the therapeutic mechanism of electro-acupuncture on Shenmen and Sanyinjiao for insomnia,10.1007/s11726-010-0026-7,Observation on therapeutic effects of acupuncture treatment for insomnia,Journal of Acupuncture and Tuina Science,2010,0.4,possible_doi,
DUP_01065,Functional magnetic resonance imaging studies of acupuncture mechanisms: A critique,10.1111/j.2042-7166.2010.01048.x,Functional magnetic resonance imaging studies of acupuncture mechanisms: a critique,Focus on Alternative and Complementary Therapies,2011,1.0,doi_found,
DUP_01583,"Response to correspondence on ""functional magnetic resonance imaging activation of the brain in children: Real acupoint versus sham acupoint""",10.1177/0883073810392583,Response to Correspondence on ‘‘Functional Magnetic Resonance Imaging Activation of the Brain in Children: Real Acupoint Versus Sham Acupoint’’,Journal of Child Neurology,2011,1.0,doi_found,
DUP_01592,Resting state-functional magnetic resonance imaging technology applied to a balancing acupuncture treatment for central mechanisms,10.21203/rs.2.384/v2,Acupuncture for patients with insomnia disorder protocol for a resting-state functional magnetic resonance imaging study,,,0.4,possible_doi,
DUP_00244,Acupuncture Treatment for Migraine: a Functional Magnetic Resonance Imaging Study,10.1002/brb3.70975/v1/review1,"Review for ""A Resting State Functional Magnetic Resonance Imaging Study in Migraine Without Aura in Middle and High Altitude Areas""",,2025,0.8,doi_found,
DUP_00299,An Acupuncture fMRI Study on Chronic Pain: Response Reliability and Dose Effect,10.37766/inplasy2025.4.0052,Exploring the Dose–Response Relationship Between Acupuncture and Adverse Events: An Example From Overview of Systematic Reviews on Acupuncture for Chronic Pain Conditions,,2025,0.5,possible_doi,
DUP_00431,Brain Activity Changes Measured by EEG and fMRI on Healthy Volunteers After Complex Somatosensory Stimulation With Acupuncture Needles,10.3389/fnhum.2016.00063,Commentary: Differential Cerebral Response to Somatosensory Stimulation of an Acupuncture Point vs. Two Non-Acupuncture Points Measured with EEG and fMRI,Frontiers in Human Neuroscience,2016,0.444,possible_doi,
DUP_01434,Observation with fMRI on central mechanisms of acupuncture at ST36 using reinforcing and reducing techniques,10.5772/25022,"An fMRI Investigation on Brain Activity in Response to Unilateral Acupuncture, Electroacupuncture and Electromyostimulation on ST36 and ST39",Acupuncture - Concepts and Physiology,2011,0.333,not_found,
DUP_00040,A Pilot Study on the Effect of Electroacupuncture on Functional Brain Mapping in Patients With Irritable Bowel Syndrome,10.1016/0016-5085(95)26888-x,Effect of total body massage on irritable bowel syndrome: Results of a pilot study,Gastroenterology,1995,0.529,possible_doi,
DUP_00210,Acupuncture of motor-implicated acupoints on subacute stroke patients: An fMRI evaluation study,10.1089/acu.2009.0709,Acupuncture of Motor-Implicated Acupoints on Subacute Stroke Patients: An fMRI Evaluation Study,Medical Acupuncture,2009,1.0,doi_found,
DUP_00312,An fMRI Study of Expectancy on Acupuncture Treatment Outcomes in Knee OA,10.1186/isrctn01382777,"A study of acupuncture, physiotherapy or non-intervention in management of painful (OA) knee",http://isrctn.org/&gt;,,0.5,possible_doi,
DUP_00950,Electroacupuncturing acupoints of patients with peripheral facial paralysis: A functional MRI study,10.47939/mh.v3i4(07).24,Effect of External Application of Traditional Chinese Medicine Acupoints Combined with Acupuncture on Peripheral Facial Paralysis,Foreign Language Science and Technology Journal Database Medicine and Health,2022,0.5,possible_doi,
DUP_01070,Functional MRI and acupuncture (Large intestine 4 acupoint) in patients with myofascial pain of the jaw muscles: A pilot randomized trial,10.1089/acu.2009.0694,Functional MRI and Acupuncture (Large Intestine 4 Acupoint) in Patients With Myofascial Pain of the Jaw Muscles: A Pilot Randomized Trial,Medical Acupuncture,2009,1.0,doi_found,
DUP_01582,"Response to correspondence on ""effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging (fMRI)""",10.1177/0883073809336128,Response to Correspondence on ‘‘Effect of Acupuncture on the Brain in Children With Spastic Cerebral Palsy Using Functional Neuroimaging (fMRI)’’,Journal of Child Neurology,2009,1.0,doi_found,
DUP_01593,Resting-state functional MRI evaluation of after-effect of acupuncture at Zusanli point,10.1016/b978-0-323-91688-2.00005-9,The role of vigilance in resting-state functional MRI,Advances in Resting-State Functional MRI,2023,0.4,possible_doi,
DUP_00054,"A Spinal fMRI Study of Resting-State, Motor Task and Acupoint Stimulation",10.3389/fnhum.2022.843186,Transcutaneous electrical acupoint stimulation induced sedative effects in healthy volunteers: A resting-state fMRI study,Frontiers in Human Neuroscience,2023,0.545,possible_doi,
DUP_00106,Acupuncture and the CNS: What can the brain at rest suggest?,10.1016/j.pain.2008.03.008,Acupuncture and the CNS: What can the brain at rest suggest?,Pain,2008,1.0,doi_found,
DUP_01023,fMRI Measurements on the Effect of Transcutaneous Electrical Nerve Stimulation (TENS) on Acupuncture Points Verses Spontaneous Normal Vaginal Delivery to Relief of Labor Pain,10.1016/j.physio.2016.10.091,Transcutaneous electrical nerve stimulation (TENS) at acupuncture points for the management of chronic pain: a narrative review,Physiotherapy,2016,0.455,possible_doi,
DUP_01103,Hegu acupoint of patient with peripheral facial paralysis by electroacupuncture: A functional MRI study,10.1097/md.0000000000030740,Electroacupuncture combined with Qianzhengsan decoction for the treatment of peripheral facial paralysis: A retrospective study,Medicine,2022,0.571,possible_doi,
DUP_01306,"MRI cerebral function imaging following acupuncture at Hegu, Zusanli, Neiguan and Sanyinjiao points",10.34297/ajbsr.2023.18.002501,"Comprehensive Investigation on Acupuncture at ST-36 (Zusanli), SP-6 (Sanyinjiao) and PC-6 (Neiguan) in Veterinary Studies",American Journal of Biomedical Science &amp; Research,2023,0.462,possible_doi,
DUP_01328,Needling sensation: Explanation of incongruent conclusion drawn from acupuncture fMRI study [1],10.1089/acm.2006.6217,Needling Sensation: Explanation of Incongruent Conclusion Drawn from Acupuncture fMRI Study,The Journal of Alternative and Complementary Medicine,2007,0.917,doi_found,
DUP_00682,Different cerebellar responding to acupuncture at Liv3 and LI4: An fMRI study,10.4172/2325-9639.1000112,Different Cerebellar Responding to Acupuncture at SP6 under Different Sleep States: an fMRI Study,Journal of Sleep Disorders: Treatment &amp; Care,2013,0.75,doi_found,
DUP_01025,"fMRI study of acupuncture at ""four gate points"" on normal aging people",10.3389/fnhum.2016.00063,Commentary: Differential Cerebral Response to Somatosensory Stimulation of an Acupuncture Point vs. Two Non-Acupuncture Points Measured with EEG and fMRI,Frontiers in Human Neuroscience,2016,0.333,not_found,
DUP_01676,Study of acupuncture point Liv 3 with functional MRI,10.4172/2327-5162.1000197,Altered Amplitude of Low-Frequency Fluctuation Induced by Acupuncture at Baihui Acupoint: A Pilot Functional MRI Study,Alternative &amp; Integrative Medicine,2015,0.556,possible_doi,
DUP_00115,Acupuncture at shenmen acupoint for brain functional MRI of patients with Alzheimer disease,10.1089/acu.2009.0694,Functional MRI and Acupuncture (Large Intestine 4 Acupoint) in Patients With Myofascial Pain of the Jaw Muscles: A Pilot Randomized Trial,Medical Acupuncture,2009,0.538,possible_doi,
DUP_00531,Changes of brain function in different areas of cerebral cortices due to electroacupuncture at the point ST36 through MRI,10.1016/j.brainresbull.2023.110700,Effect of electroacupuncture at ST36 on the cerebral metabolic kinetics of rheumatoid arthritis rats,Brain Research Bulletin,2023,0.333,not_found,
DUP_01560,Relationship between cerebral function and Kuangming and Taichong acupoints detected with functional MRI,10.14264/5e69acf,Relationship between Cerebral Visual Impairment (CVI) and brain structure on Magnetic Resonance Imaging (MRI) in children with cerebral palsy,,,0.5,possible_doi,
DUP_01713,Temporal cluster for the anlaysis of the fMRI characteristics of acupuncture at Hegu acupoint,10.20473/j.djmkg.v40.i1.p37-41,The effect of Hegu acupoint stimulation in dental acupuncture analgesia,Dental Journal (Majalah Kedokteran Gigi),2007,0.417,possible_doi,
DUP_01067,Functional magnetic resonance tomography in acupuncture research,10.1007/978-1-4614-3357-6_4,Functional Magnetic Resonance Imaging in Basic Acupuncture Research,Current Research in Acupuncture,2013,0.857,doi_found,
DUP_01293,Modulatory Effect of Acupuncture on Human Brain Activity,10.1155/2017/9785345,The Modulatory Effect of Acupuncture on the Activity of Locus Coeruleus Neuronal Cells: A Review,Evidence-Based Complementary and Alternative Medicine,2017,0.75,doi_found,
DUP_00019,A functional magnetic resonance imaging study comparing brain activations during language task with activations during electrical stimulation of language-implicated acupoints,10.1016/b978-012264841-0/50032-9,Detecting Language Activations with Functional Magnetic Resonance Imaging,Human Brain Function,2004,0.389,not_found,
DUP_01042,Functional Brain Imaging - Acupuncture and Osteoarthritis,10.1007/s11682-026-01094-1,Brain functional basis of the association between positive expectation and acupuncture efficacy in knee osteoarthritis,Brain Imaging and Behavior,2026,0.833,doi_found,
DUP_00201,acupuncture modulates the limbic system and subcortical gray structures of the human brain - Direct evidence by fMRI,10.1016/s1053-8119(18)31274-6,Acupuncture Modulates the Limbic System and Subcortical Gray Structures of the Human Brain – Direct Evidence by fMRI,NeuroImage,1998,1.0,doi_found,
DUP_00472,Brain response and Kirlian photography of the cat under acupuncture,10.3727/036012978817553186,Kirlian Photography (High Voltage Electro-Photography) and Acupuncture Their Application (Including Single Cell Micro-Electro-Photography) to Basic and Clinical Research and Diagnosis,Acupuncture &amp; Electro-Therapeutics Research: International Journal of Integrated Medicine,1978,0.4,possible_doi,
