record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title,abstract,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,publication_types,mesh_terms,abstract_retrieval_status,abstract_source,title_abstract_screen_decision,title_abstract_exclusion_reason,title_abstract_confidence,human_participants_flag,acupuncture_like_intervention_flag,functional_brain_imaging_flag,original_empirical_data_flag,sham_or_placebo_flag,likely_coordinate_candidate_flag,needs_full_text_review,reviewer_notes
DUP_00849,Embase; PubMed,Effects of Autonomous Sensory Meridian Response on the Functional Connectivity as Measured by Functional Magnetic Resonance Imaging,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Lee S, Kim J, Tak S.",2020,Front Behav Neurosci,10.3389/fnbeh.2020.00154,33192358.0,DUP_00849,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,effects of autonomous sensory meridian response on the functional connectivity as measured by functional magnetic resonance imaging,"Autonomous sensory meridian response (ASMR) is a sensory phenomenon in which audio-visual stimuli evoke a tingling sensation and is accompanied by a feeling of calm and relaxation. Therefore, there has been an increasing interest in using stimuli that elicit ASMR in cognitive and clinical neuroscience studies. However, neurophysiological basis of sensory-emotional experiences evoked by ASMR remain largely unexplored. In this study, we investigated how functional connectivity is changed while watching ASMR video, compared to resting state, and assessed its potential association with affective state induced by ASMR. 28 subjects participated in fMRI experiment consisting of 2 sessions (resting-state and task of viewing ASMR-eliciting video). Using a seed-based correlation analysis, we found that functional connections between the posterior cingulate cortex, and superior/middle temporal gyri, cuneus, and lingual gyrus were significantly increased during ASMR compared to resting state. In addition, we found that with the pregenual anterior cingulate cortex seed region, functional connectivity of the medial prefrontal cortex was increased during ASMR condition, relative to resting state. These results imply that ASMR can be elicited and maintained by ongoing interaction between regional activity that are mainly involved in the mentalizing and self-referential processing. We also found that ASMR-induced affective state changes (high activation negative and high activation positive state) were negatively correlated with functional connectivity involved in visual information processing, suggesting that visual information processing in response to high arousal states can be weakened by ASMR-eliciting stimuli.",Effects of Autonomous Sensory Meridian Response on the Functional Connectivity as Measured by Functional Magnetic Resonance Imaging.,Frontiers in behavioral neuroscience,2020,10.3389/fnbeh.2020.00154,Journal Article,,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_01047,Embase; PubMed,Functional connectivity associated with five different categories of Autonomous Sensory Meridian Response (ASMR) triggers,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Smith SD, Fredborg BK, Kornelsen J.",2020,Conscious Cogn,10.1016/j.concog.2020.103021,32987225.0,DUP_01047,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,functional connectivity associated with five different categories of autonomous sensory meridian response asmr triggers,"Autonomous sensory meridian response (ASMR) is a sensory-emotional phenomenon in which specific sensory stimuli (""ASMR triggers"") reliably elicit feelings of relaxation and tingling sensations on the head, neck, and shoulders. However, there are individual differences in which stimuli elicit ASMR and in the intensity of these responses. In the current research, we used resting-state fMRI to examine the functional connectivity associated with these differences. Fifteen individuals with self-reported ASMR completed the ASMR Checklist, which measures sensitivity to different ASMR triggers, and a resting-state fMRI scan. Checklist scores were entered as covariates to determine whether the functional connectivity of eight resting-state networks differed as a function of participants' sensitivity to five categories of triggers. The results indicated unique patterns of functional connectivity associated with sensitivity to each ASMR trigger category. Sensitivity to two trigger categories was positively correlated with the dorsal attention network, suggesting that ASMR may involve atypical attentional processing.",Functional connectivity associated with five different categories of Autonomous Sensory Meridian Response (ASMR) triggers.,Consciousness and cognition,2020,10.1016/j.concog.2020.103021,"Journal Article; Research Support, Non-U.S. Gov't",Emotions; Humans; Magnetic Resonance Imaging; Meridians,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00018,Embase; PubMed,A functional magnetic resonance imaging investigation of the autonomous sensory meridian response,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Smith SD, Fredborg BK, Kornelsen J.",2019,PeerJ,10.7717/peerj.7122,31275748.0,DUP_00018,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,a functional magnetic resonance imaging investigation of the autonomous sensory meridian response,"BACKGROUND: Autonomous Sensory Meridian Response (ASMR) is a sensory-emotional experience in which specific stimuli (ASMR ""triggers"") elicit tingling sensations on the scalp, neck, and shoulders; these sensations are accompanied by a positive affective state. In the current research, functional magnetic resonance imaging (fMRI) was used in order to delineate the neural substrates of these responses. METHODS: A total of 17 individuals with ASMR and 17 age- and sex-matched control participants underwent fMRI scanning while watching six 4-minute videos. Three of the videos were designed to elicit ASMR tingling and three videos were not. RESULTS: The results demonstrated that ASMR videos have a distinct effect on the neural activity of individuals with ASMR. The contrast of ASMR participants' responses to ASMR videos showed greater activity in the cingulate gyrus as well as in cortical regions related to audition, movement, and vision. This activity was not observed in control participants. The contrast of ASMR and control participants' responses to ASMR-eliciting videos detected greater activity in right cingulate gyrus, right paracentral lobule, and bilateral thalamus in ASMR participants; control participants showed greater activity in the lingula and culmen of the cerebellum. CONCLUSIONS: Together, these results highlight the fact that ASMR videos elicit activity in brain areas related to sensation, emotion, and attention in individuals with ASMR, but not in matched control participants.",A functional magnetic resonance imaging investigation of the autonomous sensory meridian response.,PeerJ,2019,10.7717/peerj.7122,Journal Article,,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00372,Embase; PubMed,Atypical Functional Connectivity Associated with Autonomous Sensory Meridian Response: An Examination of Five Resting-State Networks,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Smith SD, Fredborg BK, Kornelsen J.",2019,Brain Connect,10.1089/brain.2018.0618,30931592.0,DUP_00372,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,atypical functional connectivity associated with autonomous sensory meridian response an examination of five resting state networks,"Autonomous sensory meridian response (ASMR) is a perceptual phenomenon in which specific auditory and/or visual stimuli consistently elicit tingling sensations on the neck, scalp, and shoulders, as well as a positive and relaxed emotional state. The ""ASMR triggers"" that initiate these responses generally consist of soft sounds (e.g., whispering), repetitive noises (e.g., tapping sounds), or videos of people performing socially intimate acts (e.g., watching someone brush her hair). Despite being a relatively common phenomenon, little is known about the neural substrates of ASMR. In the current research, resting-state functional magnetic resonance imaging (fMRI) was used to examine whether ASMR was associated with atypical patterns of functional connectivity. Seventeen individuals with ASMR and 17 matched control participants underwent an anatomical MRI scan and a resting-state fMRI scan. An independent components analysis was used to identify the default mode, salience, central executive, sensorimotor, and visual networks. An analysis of variance with group (ASMR vs. control) as a between-subjects variable was performed to contrast the functional connectivity of each of these networks. The results demonstrated that ASMR was associated with reduced functional connectivity in the salience and visual networks, and with atypical patterns of connectivity in the default mode, central executive, and sensorimotor networks.",Atypical Functional Connectivity Associated with Autonomous Sensory Meridian Response: An Examination of Five Resting-State Networks.,Brain connectivity,2019,10.1089/brain.2018.0618,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Adult; Brain; Brain Mapping; Female; Hearing Disorders; Humans; Magnetic Resonance Imaging; Male; Nerve Net; Neural Pathways; Rest; Sensation Disorders; Vision Disorders,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00308,Embase; PubMed,An fMRI investigation of the neural correlates underlying the autonomous sensory meridian response (ASMR),no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Lochte BC, Guillory SA, Richard CAH, Kelley WM.",2018,Bioimpacts,10.15171/bi.2018.32,30397584.0,DUP_00308,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,an fmri investigation of the neural correlates underlying the autonomous sensory meridian response asmr,"Introduction : The ""autonomous sensory meridian response"" (ASMR) is a neologism used to describe an internal sensation of deep relaxation and pleasant head tingling which is often stimulated by gentle sounds, light touch, and personal attention. Methods : An fMRI-based methodology was employed to examine the brain activation of subjects prescreened for ASMR-receptivity (n=10) as they watched ASMR videos and identified specific moments of relaxation and tingling. Results : Subjects who experienced ASMR showed significant activation in regions associated with both reward (NAcc) and emotional arousal (dACC and Insula/IFG). Brain activation during ASMR showed similarities to patterns previously observed in musical frisson as well as affiliative behaviors. Conclusion : This is the first study to measure the activation of various brain regions during ASMR and these results may help to reveal the mechanistic underpinnings of this sensation.",An fMRI investigation of the neural correlates underlying the autonomous sensory meridian response (ASMR).,BioImpacts : BI,2018,10.15171/bi.2018.32,Journal Article,,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,yes,no,yes,,no,no,,
DUP_00303,Embase; PubMed,An examination of the default mode network in individuals with autonomous sensory meridian response (ASMR),no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Smith SD, Katherine Fredborg B, Kornelsen J.",2017,Soc Neurosci,10.1080/17470919.2016.1188851,27196787.0,DUP_00303,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,an examination of the default mode network in individuals with autonomous sensory meridian response asmr,"Autonomous Sensory Meridian Response (ASMR) is a perceptual condition in which specific visual and auditory stimuli consistently trigger tingling sensations on the scalp and neck, sometimes spreading to the back and limbs. These triggering stimuli are often social, almost intimate, in nature (e.g., hearing whispering, or watching someone brush her hair), and often elicit a calm and positive emotional state. Surprisingly, despite its prevalence in the general population, no published study has examined the neural underpinnings of ASMR. In the current study, the default mode network (DMN) of 11 individuals with ASMR was contrasted to that of 11 matched controls. The results indicated that the DMN of individuals with ASMR showed significantly less functional connectivity than that of controls. The DMN of individuals with ASMR also demonstrated increased connectivity between regions in the occipital, frontal, and temporal cortices, suggesting that ASMR was associated with a blending of multiple resting-state networks. This atypical functional connectivity likely influences the unique sensory-emotional experiences associated with ASMR.",An examination of the default mode network in individuals with autonomous sensory meridian response (ASMR).,Social neuroscience,2017,10.1080/17470919.2016.1188851,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Adult; Brain; Brain Mapping; Female; Humans; Magnetic Resonance Imaging; Male; Neural Pathways; Perceptual Disorders; Rest; Young Adult,abstract_found,pubmed,exclude,not_acupuncture_like_intervention,medium,unclear,no,yes,,no,no,,
DUP_00843,Embase; PubMed,Effects of acupuncture on the brain hemodynamics,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Hori E, Takamoto K, Urakawa S, Ono T, Nishijo H.",2010,Auton Neurosci,10.1016/j.autneu.2010.06.007,20605114.0,DUP_00843,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,effects of acupuncture on the brain hemodynamics,"Acupuncture therapy has been applied to various psychiatric diseases and chronic pain since acupuncture stimulation might affect brain activity. From this point of view, we investigated the effects of acupuncture on autonomic nervous system and brain hemodynamics in human subjects using ECGs, EEGs and near-infrared spectroscopy (NIRS). Our previous studies reported that changes in parasympathetic nervous activity were correlated with number of de-qi sensations during acupuncture manipulation. Furthermore, these autonomic changes were correlated with EEG spectral changes. These results are consistent with the suggestion that autonomic changes induced by needle manipulation inducing specific de-qi sensations might be mediated through the central nervous system, especially through the forebrain as shown in EEG changes, and are beneficial to relieve chronic pain by inhibiting sympathetic nervous activity. The NIRS results indicated that acupuncture stimulation with de-qi sensation significantly decreased activity in the supplementary motor complex (SMC) and dorsomedial prefrontal cortex (DMPFC). Based on these results, we review that hyperactivity in the SMC is associated with dystonia and chronic pain, and that in the DMPFC is associated with various psychiatric diseases with socio-emotional disturbances such as schizophrenia, attention deficit hyperactive disorder, etc. These findings along with the previous studies suggest that acupuncture with de-qi sensation might be effective to treat the various diseases in which hyperactivity in the SMA and DMPFC is suspected of playing a role.",Effects of acupuncture on the brain hemodynamics.,Autonomic neuroscience : basic & clinical,2010,10.1016/j.autneu.2010.06.007,"Journal Article; Research Support, Non-U.S. Gov't; Review","Acupuncture; Autonomic Nervous System; Brain; Brain Mapping; Electrocardiography; Electroencephalography; Hemodynamics; Humans; Mental Disorders; Spectroscopy, Near-Infrared",abstract_found,pubmed,exclude,review_meta_analysis,medium,yes,yes,no,unclear,no,no,,
DUP_01634,Embase,Selective Plasticity of Hippocampal Sub-Regions in the Amnestic Mild Cognitive Impairment After Acupuncture,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2025,Brain and Behavior,,,DUP_01634,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,selective plasticity of hippocampal sub regions in the amnestic mild cognitive impairment after acupuncture,,,,,,,,no_pmid,,exclude,not_functional_brain_imaging,medium,unclear,yes,no,,no,no,,
DUP_01714,Embase,Temporal-Spatial Acupuncture Effects on Poststroke Sensorimotor Cortex via Yanglingquan (GB34),no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2024,Neural Plasticity,,,DUP_01714,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,temporal spatial acupuncture effects on poststroke sensorimotor cortex via yanglingquan gb34,,,,,,,,no_pmid,,exclude,not_functional_brain_imaging,medium,unclear,yes,no,,no,no,,
DUP_01182,Embase,Investigating the Effects of Autonomous Sensory Meridian Response (ASMR) Stimulation on the Functional Connectivity of the Default Mode Network,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2022,clinicaltrials.gov,,,DUP_01182,records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,investigating the effects of autonomous sensory meridian response asmr stimulation on the functional connectivity of the default mode network,,,,,,,,no_pmid,,exclude,not_acupuncture_like_intervention,medium,unclear,no,yes,,no,no,,
DUP_01684,Embase,Study on brain network function of the specific connection between Hégǔ (合谷LI4) and the facial-oral area,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2022,World Journal of Acupuncture - Moxibustion,,,DUP_01684,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; acupuncture_adjacent_modality_flag,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,study on brain network function of the specific connection between he gu li4 and the facial oral area,,,,,,,,no_pmid,,exclude,not_acupuncture_like_intervention,medium,unclear,no,yes,,no,no,,
DUP_00098,Embase,Acupuncture analgesia for low back pain is associated with greater pressure pain-evoked activation in dorsolateral prefrontal cortex and a reduction in hyperalgesia,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2019,Journal of Alternative and Complementary Medicine,,,DUP_00098,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; mechanism_deqi_pain_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,acupuncture analgesia for low back pain is associated with greater pressure pain evoked activation in dorsolateral prefrontal cortex and a reduction in hyperalgesia,,,,,,,,no_pmid,,exclude,not_functional_brain_imaging,medium,unclear,yes,no,,no,no,,
DUP_01194,Embase,Involvement of salience network in the expectations of sensory experience for acupuncture stimulation,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2018,Global Advances in Health and Medicine,,,DUP_01194,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; mechanism_deqi_pain_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,involvement of salience network in the expectations of sensory experience for acupuncture stimulation,,,,,,,,no_pmid,,exclude,not_functional_brain_imaging,medium,unclear,yes,no,,no,no,,
