pmid,coords_before,coords_after,coords_gained,coords_theirs,n_contrasts,has_tissue_level,tissue_levels,integration_sources,in_their_dataset
26161117,40,40,0,0,16,True,1,peak_only_extract,False
26446439,16,41,25,25,9,True,3,extraction_results.json,True
26467429,0,39,39,39,20,False,,extraction_results.json,True
26511911,0,0,0,2,47,False,,original,True
26594625,18,18,0,0,21,False,,original,False
26839078,146,146,0,0,12,False,,original,True
26896073,34,34,0,0,22,False,,peak_only_extract,False
27053062,64,64,0,0,6,False,,original,True
27242492,22,22,0,0,11,False,,peak_only_extract,False
27438091,12,12,0,0,12,False,,original,True
27548054,0,38,38,38,34,False,,extraction_results.json,True
27688791,1,1,0,0,12,False,,original,True
27693978,0,0,0,0,14,True,1,original,True
27803655,10,10,0,0,13,False,,peak_only_extract,False
27812501,15,15,0,0,10,False,,original,True
27857211,194,194,0,0,16,False,,peak_only_extract,False
28334999,6,6,0,0,16,True,2,original,True
28400807,2,2,0,0,13,False,,original,True
28480365,182,182,0,0,9,True,3,original,True
28580293,10,10,0,15,10,False,,original,True
28868952,15,80,65,65,28,False,,extraction_results.json,True
29204113,9,9,0,0,17,False,,original,False
29305037,8,33,25,25,9,True,2,extraction_results.json,True
29325883,92,92,0,9,14,True,2,original,True
29343693,52,218,166,166,11,False,,extraction_results.json,True
30034336,29,67,38,38,22,False,,extraction_results.json,True
30105065,86,86,0,42,18,False,,original,True
30137262,4,4,0,0,7,False,,original,True
30914909,0,0,0,0,8,False,,original,False
31176295,54,54,0,0,13,False,,peak_only_extract,False
31636536,162,162,0,0,8,True,1,peak_only_extract,False
31964691,27,27,0,0,4,False,,original,False
32114310,29,29,0,0,3,True,"1, 2",original,True
32503194,43,43,0,0,10,True,1,original,True
32682992,14,14,0,5,10,False,,original,True
32807158,0,0,0,0,7,False,,original,False
33013312,23,23,0,0,14,True,2,peak_only_extract,False
33381165,23,23,0,0,7,False,,original,True
33551385,46,46,0,0,9,False,,original,False
33560579,20,20,0,0,4,False,,peak_only_extract,False
34108856,0,0,0,0,11,False,,original,False
34292206,5,5,0,0,6,False,,peak_only_extract,False
34671239,286,286,0,12,19,False,,original,True
34682857,14,14,0,0,8,True,1,original,True
34777225,0,0,0,0,20,False,,original,False
34813773,53,53,0,0,10,True,3,peak_only_extract,False
35115998,6,6,0,0,19,False,,peak_only_extract,False
35312785,11,11,0,0,11,False,,peak_only_extract,False
35585920,15,15,0,0,6,False,,peak_only_extract,False
35832324,15,15,0,0,11,True,3,original,False
36051643,24,24,0,0,13,True,3,original,False
36067612,12,12,0,0,4,False,,peak_only_extract,False
36102803,3,3,0,0,13,False,,original,False
36427258,7,7,0,0,9,True,4,original,False
36749304,24,24,0,0,15,False,,peak_only_extract,False
36827004,0,0,0,0,28,False,,original,False
36890655,76,76,0,0,39,False,,original,False
37152608,36,36,0,0,19,True,1,peak_only_extract,False
37206312,19,19,0,0,13,False,,original,False
37383656,66,66,0,0,18,False,,peak_only_extract,False
37408438,14,14,0,0,13,False,,peak_only_extract,False
37415858,63,63,0,0,29,False,,original,False
37454266,38,38,0,0,30,True,1,peak_only_extract,False
37901421,59,59,0,0,49,True,4,peak_only_extract,False
38027487,6,6,0,0,20,False,,original,False
38034817,1,1,0,0,14,False,,original,False
38336368,68,68,0,0,12,True,1,peak_only_extract,False
38521736,77,77,0,0,11,True,1,original,True
38681626,7,7,0,0,11,False,,original,False
39089662,16,16,0,0,17,False,,peak_only_extract,False
39169368,32,32,0,0,11,True,2,original,False
39368604,64,64,0,0,20,False,,peak_only_extract,False
39468590,76,76,0,0,30,False,,peak_only_extract,False
39543627,14,14,0,0,7,False,,peak_only_extract,False
39617712,7,7,0,0,7,False,,original,False
39648209,29,29,0,0,9,False,,peak_only_extract,False
39654647,0,0,0,0,11,False,,original,False
40341810,52,52,0,0,15,True,1,peak_only_extract,False
40567885,9,9,0,0,7,True,4,peak_only_extract,False
40584525,38,38,0,0,3,False,,peak_only_extract,False
40634927,0,0,0,0,3,True,2,original,False
40642213,32,32,0,0,19,False,,peak_only_extract,False
40772121,29,29,0,0,15,False,,peak_only_extract,False
40847552,0,0,0,0,7,False,,original,False
40881782,90,90,0,0,15,True,3,peak_only_extract,False
40995472,44,44,0,0,10,False,,peak_only_extract,False
41282118,14,14,0,0,11,False,,peak_only_extract,False
41351443,13,13,0,0,5,False,,original,False
41520025,163,163,0,0,14,True,1,peak_only_extract,False
41591775,64,64,0,0,13,True,4,peak_only_extract,False
41626073,157,157,0,0,38,False,,peak_only_extract,False
41641330,34,34,0,0,8,False,,peak_only_extract,False
42131703,6,6,0,0,6,True,2,peak_only_extract,False
