pmid,arm_id,arm_type,sensation,value,instrument
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 5 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 6 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 6 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 7 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 7 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 8 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 8 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 9 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 9 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 10 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 10 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 11 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 11 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 12 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 12 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 13 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 13 - Physician 2 (P2),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 14 - Physician 1 (P1),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 14 - Physician 2 (P2),No,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 15 - Physician 1 (P1),Yes,not_reported
20423216,arm_acupuncture,verum_acupuncture,De qi experienced by Subject 15 - Physician 2 (P2),No,not_reported
21080967,arm_genuine_HE,verum_acupuncture,pain,higher ratings in genuine treatment compared to sham,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21080967,arm_genuine_HE,verum_acupuncture,pain,higher ratings in genuine treatment compared to sham,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21080967,arm_genuine_HE,verum_acupuncture,soreness,higher ratings in genuine treatment compared to sham,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21080967,not_applicable,,warmth,similar ratings in both treatment groups,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21080967,not_applicable,,fullness,similar ratings in both treatment groups,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21080967,not_applicable,,heaviness,similar ratings in both treatment groups,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS)
21794103,arm_EA,verum_acupuncture,"deqi (obtaining qi): soreness, aching, warmth, etc.",Current amplitude set to level at which subjects indicated feeling a 'strong but not painful' sensation; deqi elicited by needle manipulation,not_reported
22291848,arm_CV4,verum_acupuncture,soreness,not_reported_numerically; shown in Figure 3(a); no significant difference from CV12 (P > 0.05),"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV4,verum_acupuncture,fullness,not_reported_numerically; shown in Figure 3(a); no significant difference from CV12 (P > 0.05),"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV4,verum_acupuncture,fullness,not_reported_numerically as mean ± SD; shown in Figure 3(b); described as stronger for CV4 than CV12,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV4,verum_acupuncture,numbness,not_reported_numerically; shown in Figure 3(b); no significant difference from CV12,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV4,verum_acupuncture,heaviness,not_reported_numerically; shown in Figure 3(b); no significant difference from CV12,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV12,verum_acupuncture,fullness,not_reported_numerically; shown in Figure 3(b); significantly lower than CV4,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV12,verum_acupuncture,numbness,not_reported_numerically; shown in Figure 3(b); no significant difference from CV4,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV12,verum_acupuncture,heaviness,not_reported_numerically; shown in Figure 3(b); no significant difference from CV4,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV12,verum_acupuncture,tingling,not_reported_numerically; shown in Figure 3(b); no significant difference from CV4,"questionnaire rating sensations during EA; scale 0-10 (1-3 mild, 4-6 moderate, 7-9 strong, 10 unbearable)"
22291848,arm_CV4,verum_acupuncture,sharp_pain,1 subject experienced sharp pain during EA at CV4,questionnaire rating sensations during EA; scale 0-10
22291848,arm_CV12,verum_acupuncture,sharp_pain,3 subjects experienced sharp pain during EA at CV12,questionnaire rating sensations during EA; scale 0-10
22761766,not_applicable,,sharp_pain,None of the subjects experienced sharp pain after acupuncture,10-point visual analog scale (VAS)
22761766,not_applicable,,"prevalence of various acupuncture sensations (soreness, numbness, fullness, heaviness, throbbing, warmth, coolness and any other sensations)",The prevalence of various acupuncture sensations was expressed as the percentage of individuals in the group that reported the given sensations,questionnaire based on a 10-point visual analog scale (VAS)
23152865,arm_A,verum_acupuncture,total NSQ score (range 0–75),Mean (SD) 14.25 (7.44); 95% CI 8.96–18.35,needle sensation questionnaire (NSQ)
23152865,arm_B,verum_acupuncture,total NSQ score (range 0–75),Mean (SD) 12.46 (7.02); 95% CI 6.45–16.91,needle sensation questionnaire (NSQ)
23152865,arm_C,sham_acupuncture,total NSQ score (range 0–75),Mean (SD) 4.23 (5.01); 95% CI 2.57–7.38,needle sensation questionnaire (NSQ)
23152865,arm_D,sham_acupuncture,total NSQ score (range 0–75),Mean (SD) 3.77 (3.58); 95% CI 2.09–6.88,needle sensation questionnaire (NSQ)
23316257,arm_acupuncture,verum_acupuncture,VAS index (composite De-qi measure),not_reported,10-point visual analogue scale (VAS); VAS index calculated to summarize full multivariate breadth and depth of De-qi sensations
23316257,arm_acupuncture,verum_acupuncture,sharp_pain,3 experienced sharp pain only in the acupuncture run; 2 reported sharp pain during both runs,not_reported
23316257,arm_tactile,active_control,sharp_pain,1 felt sharp pain only in the tactile run; 2 reported sharp pain during both runs,not_reported
23316257,arm_acupuncture,verum_acupuncture,VAS index vs. number of activations/deactivations; VAS index vs. AVER-WR-RV R-value,No direct correlations shown; all P > 0.05,VAS index
23666154,arm_real,verum_acupuncture,de-qi sensation,"In general, most subjects felt the de-qi sensation during acupuncture stimulation at the LI-4 acupoint more frequently than at other acupoints of the crus",not_reported
23691237,arm_ST36,verum_acupuncture,numbness,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,fullness,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,heaviness,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,warmth,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,pain,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,tingling,not_reported_numerically; reported in Fig. 3A,MGH Acupuncture Sensation Scale (MASS)
23691237,arm_ST36,verum_acupuncture,Overall stimulus intensity,"greater for ST36 (exact values in Fig. 3B, not readable from text)",MGH Acupuncture Sensation Scale (MASS)
23840533,arm_MA,verum_acupuncture,soreness,"not_reported (shown in Fig. 2B; higher than sensory control, p<0.001)",visual analog scale (VAS)
23840533,arm_MA,verum_acupuncture,numbness,not_reported (shown in Fig. 2B),visual analog scale (VAS)
23840533,arm_MA,verum_acupuncture,fullness,not_reported (shown in Fig. 2B; higher than sensory control),visual analog scale (VAS)
23840533,arm_MA,verum_acupuncture,heaviness,not_reported (shown in Fig. 2B; higher than sensory control),visual analog scale (VAS)
23840533,arm_MA,verum_acupuncture,pain,not_reported,visual analog scale (VAS)
23840533,arm_EA,verum_acupuncture,fullness,not_reported (shown in Fig. 2B; higher than sensory control),visual analog scale (VAS)
23840533,arm_EA,verum_acupuncture,heaviness,not_reported (shown in Fig. 2B; higher than sensory control),visual analog scale (VAS)
23840533,arm_TEAS,verum_acupuncture,numbness,not_reported (shown in Fig. 2B; specifically higher than sensory control),visual analog scale (VAS)
23840533,arm_MA,verum_acupuncture,mean intensity of all sensations,not_reported (shown in Fig. 2C; significantly higher than sensory control),visual analog scale (VAS)
23840533,arm_EA,verum_acupuncture,mean intensity of all sensations,not_reported (shown in Fig. 2C; significantly higher than sensory control),visual analog scale (VAS)
23840533,not_applicable,,"percentage of subjects reporting deqi feelings (soreness, numbness, fullness, heaviness, dull pain)",not_reported (shown in Fig. 2A only),visual analog scale (VAS)
23935686,not_applicable,,typical descriptors of Deqi sensation,"soreness, numbness, distention, heaviness, and dull pain",not_reported (historical/clinical description)
23935686,not_applicable,,acupuncturist finger feeling,fish bite the hook,not_reported
23935686,not_applicable,,numbness and soreness correlated with acupuncture analgesia for experiment-induced thermal pain,"close correlation between acupuncture analgesia for experiment-induced thermal pain and SASS rating of numbness and soreness instead of other Deqi descriptors such as stabbing, throbbing, tingling, and heaviness",MGH Acupuncture Sensation Scale (MASS); Subjective Acupuncture Sensation Scale (SASS)
23935686,not_applicable,,prominent components for characterizing acupuncture Deqi,"aching, soreness, and dull pain",not_reported
23935686,not_applicable,,sharp_pain,subjects suffering from sharp pain together with acupuncture Deqi showed mostly increased signal in entire cerebrocerebellar and limbic systems,not_reported
23935686,not_applicable,,sharp_pain,"in the deep needling group especially, there was a relatively high score of sharp pain together with Deqi sensation",not_reported
24062782,arm_acup,verum_acupuncture,pressure,58.3%,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,pressure,8.7%,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,heaviness,19.4%,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,heaviness,4.3%,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,fullness,13.9%,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,fullness,4.3%,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,numbness,38.9%,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,numbness,0%,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,tingling,55.6%,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,tingling,13.0%,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,pressure intensity,2.01 ± 0.40,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,pressure intensity,0.11 ± 0.07,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,heaviness intensity,0.58 ± 0.23,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,heaviness intensity,0.07 ± 0.06,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,fullness intensity,0.44 ± 0.2,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,fullness intensity,0.07 ± 0.06,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,numbness intensity,1.29 ± 0.33,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,numbness intensity,0,post-scan deqi rating scale (0–10)
24062782,arm_acup,verum_acupuncture,tingling intensity,1.61 ± 0.31,post-scan deqi rating scale (0–10)
24062782,arm_tactile,sham_acupuncture,tingling intensity,0.35 ± 0.19,post-scan deqi rating scale (0–10)
24459533,arm_FD,verum_acupuncture,"Deqi sensations: soreness, numbness, distention, and heaviness","soreness, numbness, distention, and heaviness (intended; achieved described as Deqi)",not_reported
24459533,arm_HC,healthy_control,"Deqi sensations: soreness, numbness, distention, and heaviness","soreness, numbness, distention, and heaviness (intended; achieved described as Deqi)",not_reported
24734108,arm_control,healthy_control,overall sensation intensity,4.5 ± 1.9,10-point visual analog scale (VAS)
24734108,arm_stroke,other,overall sensation intensity,4.1 ± 1.9,10-point visual analog scale (VAS)
24734108,arm_control,healthy_control,fullness,50% experienced the sensation of fullness,not_reported
24734108,arm_stroke,other,fullness,85% experienced the sensation of fullness,not_reported
24734108,not_applicable,,sharp_pain,None of the subjects experienced sharp pain among the 17 subjects,10-point visual analog scale (VAS)
24734113,arm_stroke,verum_acupuncture,De-qi sensation overall,none experienced sharp pain; related results described in another paper [28],questionnaires to rate their experience of De-qi
24734113,arm_stroke,verum_acupuncture,sharp_pain,none experienced the sharp pain,questionnaires to rate their experience of De-qi
24821143,arm_verum,verum_acupuncture,soreness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,numbness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,heaviness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,fullness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,pain,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,soreness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,numbness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,heaviness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,fullness,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,pain,"reported as case counts per grade in Figure 2 (grades: None, Mild, Moderate, Severe)",post-experiment questionnaire on sensations experienced on stimulated acupoints
24821143,arm_verum,verum_acupuncture,De-Qi sensation confirmed before connecting to electro-acupuncture machine,De-Qi sensation was elicited,not_reported
24915066,arm_A,verum_acupuncture,overall de-qi score (mean of all sessions),8.70 ± 4.16,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_B,sham_acupuncture,overall de-qi score (mean of all sessions),10.31 ± 4.26,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_A,verum_acupuncture,overall de-qi score,8.61 ± 4.63,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_B,sham_acupuncture,overall de-qi score,8.09 ± 4.64,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_A,verum_acupuncture,overall de-qi score,9.13 ± 3.89,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_B,sham_acupuncture,overall de-qi score,8.18 ± 3.70,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_A,verum_acupuncture,overall de-qi score,10.62 ± 4.45,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,arm_B,sham_acupuncture,overall de-qi score,10.42 ± 4.42,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24915066,not_applicable,,overall de-qi score comparison between groups,not_reported,VAS for de-qi sensations (0–10 per component; score = sum of all component scores)
24963329,arm_TA,verum_acupuncture,needle sensation (developing needle sensation mentioned as prerequisite for manipulation),"After developing needle sensation, twirling and lifting/thrusting were conducted.",not_reported
24968124,arm_mci,other,soreness (percentage frequency),approximately 100% (from Fig. 2A),10-point scale for deqi sensations
24968124,arm_hc,healthy_control,soreness (percentage frequency),approximately 100% (from Fig. 2A),10-point scale for deqi sensations
24968124,arm_mci,other,warmth (percentage frequency),58%,10-point scale for deqi sensations
24968124,arm_hc,healthy_control,warmth (percentage frequency),50%,10-point scale for deqi sensations
24968124,arm_mci,other,tingling (percentage frequency),16%,10-point scale for deqi sensations
24968124,arm_hc,healthy_control,tingling (percentage frequency),8%,10-point scale for deqi sensations
24968124,arm_mci,other,averaged intensity of sensations,approximately similar to HC group (from Fig. 2B),"10-point scale (0 = no sensation, 1-3 = mild, 4-6 = moderate, 7-8 = strong, 9 = severe, 10 = unbearable sensation)"
24968124,arm_hc,healthy_control,averaged intensity of sensations,approximately similar to MCI group (from Fig. 2B),"10-point scale (0 = no sensation, 1-3 = mild, 4-6 = moderate, 7-8 = strong, 9 = severe, 10 = unbearable sensation)"
25228908,arm_verum,verum_acupuncture,"de qi sensations: aching, pressure, soreness, heaviness, fullness, warmth, cooling, numbness, tingling, and dull pain","When the volunteers felt the sensations of numbness, heaviness, distention, and soreness, representing de qi",not_reported (verbal questioning by investigator)
25228908,arm_verum,verum_acupuncture,sharp_pain,"In the event of a sharp painful sensation, the needle position should be readjusted and the pain would disappear within a few seconds.",not_reported (verbal questioning)
25228908,arm_verum,verum_acupuncture,warmth,"several volunteers felt the sensation of heat and perspiration during acupuncture manipulation, which indicated de qi",not_reported
25452777,not_applicable,,feeling of 'de qi',"Following each scan, the feeling of 'de qi' was assessed and checked for in each subject by interview",interview assessment of 'de qi'
25741269,healthy_subjects,healthy_control,MASS Index,3.15 [2.00;4.30],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index,3.37 [2.47;4.28],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index,1.81 [1.13;2.50],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index,4.71 [3.53;5.89],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index,3.59 [2.51;4.68],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index,3.32 [2.34;4.29],"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25741269,healthy_subjects,healthy_control,MASS Index pairwise comparison,not_reported,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index"
25821486,arm_ACU,verum_acupuncture,De-qi sensations (0 being no sensation and 10 being the most intense sensation felt),not_reported,standard Likert scale
25821486,arm_ACU,verum_acupuncture,pain,not_reported,not_reported
25916336,arm_MWoA,verum_acupuncture,de-qi sensation,All patients reported the sensation of de-qi,not_reported
26161117,arm_ALBP,other,pain,5.40 (S.D. = 0.98),10-point visual analog scale
26161117,arm_ALBP,other,pain,3.47 (S.D. = 0.75),10-point visual analog scale
26161117,arm_ALBP,other,pain,5.60 (S.D. = 1.24),10-point visual analog scale
26161117,arm_ALBP,other,pain,4.51 (S.D. = 1.06),10-point visual analog scale
26161117,arm_ALBP,other,soreness,not_reported (visible in Figure 5 only; ACUP bar higher than SHAM),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
