pmid,arm_id,arm_label,arm_type,instrument,item_or_subscale,value,reporting_format,n_analyzed,p_value,disease_condition
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale,spreading,"VA: 50.0%, SA: 14.3%",percentage,,0.038,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_postacup,CTS patients after 5 weeks of acupuncture treatment,verum_acupuncture,verbal analog scale,aching,"VA: 72.7%, SA: 6.7%",percentage,,p<0.001,Carpal Tunnel Syndrome (CTS)
17240066,arm_CTS_postacup,CTS patients after 5 weeks of acupuncture treatment,verum_acupuncture,verbal analog scale,spreading,"VA: 45.5%, SA: 6.7%",percentage,,0.020,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale,aching,"VA: 90.9%, SA: 9.1%",percentage,,p<0.001,Carpal Tunnel Syndrome (CTS)
17240066,arm_HC,healthy controls (HC),healthy_control,verbal analog scale,spreading,"VA: 63.6%, SA: 9.1%",percentage,,0.008,Carpal Tunnel Syndrome (CTS)
19559684,arm_acupuncture,Manual acupuncture,verum_acupuncture,Post-scan interview for psychophysical response,"Deqi response (aching, soreness, pressure, heaviness, fullness, warmth, coolness, numbness, tingling, or dull pain); defined as total score of 3 or higher for recorded sensations other than sharp pain",71% of scans,percentage,201.0,not_reported,Healthy volunteers (no disease condition)
19559684,arm_tactile,Tactile stimulation,active_control,Post-scan interview for psychophysical response,Deqi response; most tactile deqi consisted of surface tingling,24% of scans,percentage,74.0,not_reported,Healthy volunteers (no disease condition)
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported (psychophysical response survey),"De qi (distinct sensations of numbness, tingling, fullness, and/or dull ache)",10 of 15 subjects experienced distinct sensations of de qi during acupuncture; 4 subjects experienced de qi by both doctors; 6 subjects experienced de qi by only 1 of them,count,15.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 1 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 1 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 2 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 2 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 3 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 3 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 4 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 4 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 5 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 5 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 6 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 6 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 7 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 7 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 8 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 8 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 9 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 9 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 10 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 10 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 11 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 11 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 12 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 12 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 13 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 13 - Physician 2 (P2),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 14 - Physician 1 (P1),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 14 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 15 - Physician 1 (P1),Yes,narrative,1.0,not_reported,Healthy volunteers; no disease condition
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,not_reported,De qi experienced by Subject 15 - Physician 2 (P2),No,narrative,1.0,not_reported,Healthy volunteers; no disease condition
21794103,arm_EA,Electroacupuncture (EA),verum_acupuncture,not_reported,"deqi (obtaining qi): soreness, aching, warmth, etc.",Current amplitude set to level at which subjects indicated feeling a 'strong but not painful' sensation; deqi elicited by needle manipulation,narrative,16.0,not_reported,Healthy volunteers
22761766,not_applicable,,,questionnaire based on a 10-point visual analog scale (VAS),"prevalence of various acupuncture sensations (soreness, numbness, fullness, heaviness, throbbing, warmth, coolness and any other sensations)",The prevalence of various acupuncture sensations was expressed as the percentage of individuals in the group that reported the given sensations,percentage,,P>0.05,healthy volunteers
22916152,not_applicable,,,not_reported,not_reported,not_reported,narrative,,not_reported,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD)
23152865,arm_A,Group A,verum_acupuncture,needle sensation questionnaire (NSQ),total NSQ score (range 0–75),Mean (SD) 14.25 (7.44); 95% CI 8.96–18.35,mean ± SD | mean (95% CI),11.0,not_reported,myopia
23152865,arm_B,Group B,verum_acupuncture,needle sensation questionnaire (NSQ),total NSQ score (range 0–75),Mean (SD) 12.46 (7.02); 95% CI 6.45–16.91,mean ± SD | mean (95% CI),11.0,not_reported,myopia
23152865,arm_C,Group C,sham_acupuncture,needle sensation questionnaire (NSQ),total NSQ score (range 0–75),Mean (SD) 4.23 (5.01); 95% CI 2.57–7.38,mean ± SD | mean (95% CI),10.0,not_reported,myopia
23152865,arm_D,Group D,sham_acupuncture,needle sensation questionnaire (NSQ),total NSQ score (range 0–75),Mean (SD) 3.77 (3.58); 95% CI 2.09–6.88,mean ± SD | mean (95% CI),9.0,not_reported,myopia
23316257,arm_acupuncture,Acupuncture run,verum_acupuncture,10-point visual analogue scale (VAS); VAS index calculated to summarize full multivariate breadth and depth of De-qi sensations,VAS index (composite De-qi measure),not_reported,not_reported,,not_reported,Healthy volunteers; no disease condition
23316257,arm_acupuncture,Acupuncture run,verum_acupuncture,VAS index,VAS index vs. number of activations/deactivations; VAS index vs. AVER-WR-RV R-value,No direct correlations shown; all P > 0.05,p_value_only,,all P > 0.05,Healthy volunteers; no disease condition
23666154,arm_real,Real acupuncture,verum_acupuncture,not_reported,de-qi sensation,"In general, most subjects felt the de-qi sensation during acupuncture stimulation at the LI-4 acupoint more frequently than at other acupoints of the crus",narrative,,not_reported,Healthy volunteers
23691237,arm_ST36,Verum Acupuncture at ST36,verum_acupuncture,MGH Acupuncture Sensation Scale (MASS),Overall stimulus intensity,"greater for ST36 (exact values in Fig. 3B, not readable from text)",mean ± SE,14.0,P<0.05,healthy volunteers
23840533,arm_MA,manual acupuncture (MA),verum_acupuncture,visual analog scale (VAS),mean intensity of all sensations,not_reported (shown in Fig. 2C; significantly higher than sensory control),mean ± SEM,,P<0.001,Healthy volunteers
23840533,arm_EA,electroacupuncture (EA),verum_acupuncture,visual analog scale (VAS),mean intensity of all sensations,not_reported (shown in Fig. 2C; significantly higher than sensory control),mean ± SEM,,P<0.001,Healthy volunteers
23840533,not_applicable,,,visual analog scale (VAS),"percentage of subjects reporting deqi feelings (soreness, numbness, fullness, heaviness, dull pain)",not_reported (shown in Fig. 2A only),percentage,,"F3,295=19.00, P<0.001",Healthy volunteers
23935686,not_applicable,,,not_reported (historical/clinical description),typical descriptors of Deqi sensation,"soreness, numbness, distention, heaviness, and dull pain",narrative,,not_reported,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,not_applicable,,,not_reported,acupuncturist finger feeling,fish bite the hook,narrative,,not_reported,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,not_applicable,,,MGH Acupuncture Sensation Scale (MASS); Subjective Acupuncture Sensation Scale (SASS),numbness and soreness correlated with acupuncture analgesia for experiment-induced thermal pain,"close correlation between acupuncture analgesia for experiment-induced thermal pain and SASS rating of numbness and soreness instead of other Deqi descriptors such as stabbing, throbbing, tingling, and heaviness",narrative,,not_reported,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,not_applicable,,,not_reported,prominent components for characterizing acupuncture Deqi,"aching, soreness, and dull pain",narrative,,not_reported,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),pressure,58.3%,percentage,36.0,< 0.001,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),pressure,8.7%,percentage,23.0,< 0.001,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),heaviness,19.4%,percentage,36.0,0.099,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),heaviness,4.3%,percentage,23.0,0.099,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),fullness,13.9%,percentage,36.0,0.237,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),fullness,4.3%,percentage,23.0,0.237,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),numbness,38.9%,percentage,36.0,0.001,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),numbness,0%,percentage,23.0,0.001,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),tingling,55.6%,percentage,36.0,0.002,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),tingling,13.0%,percentage,23.0,0.002,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),pressure intensity,2.01 ± 0.40,mean ± SE,36.0,< 0.001,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),pressure intensity,0.11 ± 0.07,mean ± SE,23.0,< 0.001,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),heaviness intensity,0.58 ± 0.23,mean ± SE,36.0,0.09,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),heaviness intensity,0.07 ± 0.06,mean ± SE,23.0,0.09,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),fullness intensity,0.44 ± 0.2,mean ± SE,36.0,0.213,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),fullness intensity,0.07 ± 0.06,mean ± SE,23.0,0.213,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),numbness intensity,1.29 ± 0.33,mean ± SE,36.0,0.001,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),numbness intensity,0,mean ± SE,23.0,0.001,healthy subjects
24062782,arm_acup,acupuncture stimulation,verum_acupuncture,post-scan deqi rating scale (0–10),tingling intensity,1.61 ± 0.31,mean ± SE,36.0,0.002,healthy subjects
24062782,arm_tactile,tactile stimulation,sham_acupuncture,post-scan deqi rating scale (0–10),tingling intensity,0.35 ± 0.19,mean ± SE,23.0,0.002,healthy subjects
24459533,arm_FD,Functional diarrhea,verum_acupuncture,not_reported,"Deqi sensations: soreness, numbness, distention, and heaviness","soreness, numbness, distention, and heaviness (intended; achieved described as Deqi)",narrative,,not_reported,Functional diarrhea (FD)
24459533,arm_HC,Healthy controls,healthy_control,not_reported,"Deqi sensations: soreness, numbness, distention, and heaviness","soreness, numbness, distention, and heaviness (intended; achieved described as Deqi)",narrative,,not_reported,Functional diarrhea (FD)
24734108,arm_control,healthy controls,healthy_control,10-point visual analog scale (VAS),overall sensation intensity,4.5 ± 1.9,mean ± SD,8.0,P = 0.67,Ischemic stroke (stable recovery/subacute phase) with unilateral right-sided striatocapsular lesions and moderate to severe motor deficits of the contralesional upper extremity
24734108,arm_stroke,stroke patients,other,10-point visual analog scale (VAS),overall sensation intensity,4.1 ± 1.9,mean ± SD,9.0,P = 0.67,Ischemic stroke (stable recovery/subacute phase) with unilateral right-sided striatocapsular lesions and moderate to severe motor deficits of the contralesional upper extremity
24734113,arm_stroke,stroke patients,verum_acupuncture,questionnaires to rate their experience of De-qi,De-qi sensation overall,none experienced sharp pain; related results described in another paper [28],narrative,,not_reported,"Right hemispheric ischemic stroke (corona radiate, internal capsule, or basal ganglia infarction)"
24821143,arm_verum,verum acupuncture at ST36,verum_acupuncture,not_reported,De-Qi sensation confirmed before connecting to electro-acupuncture machine,De-Qi sensation was elicited,narrative,34.0,not_reported,healthy (no disease condition)
24915066,arm_A,active acupoint group,verum_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score (mean of all sessions),8.70 ± 4.16,mean ± SD,40.0,P = 0.1070,migraine without aura
24915066,arm_B,inactive acupoint group,sham_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score (mean of all sessions),10.31 ± 4.26,mean ± SD,40.0,P = 0.1070,migraine without aura
24915066,arm_A,active acupoint group,verum_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,8.61 ± 4.63,mean ± SD,40.0,P = 0.6372,migraine without aura
24915066,arm_B,inactive acupoint group,sham_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,8.09 ± 4.64,mean ± SD,40.0,P = 0.6372,migraine without aura
24915066,arm_A,active acupoint group,verum_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,9.13 ± 3.89,mean ± SD,40.0,P = 0.2890,migraine without aura
24915066,arm_B,inactive acupoint group,sham_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,8.18 ± 3.70,mean ± SD,40.0,P = 0.2890,migraine without aura
24915066,arm_A,active acupoint group,verum_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,10.62 ± 4.45,mean ± SD,40.0,P = 0.8461,migraine without aura
24915066,arm_B,inactive acupoint group,sham_acupuncture,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score,10.42 ± 4.42,mean ± SD,40.0,P = 0.8461,migraine without aura
24915066,not_applicable,,,VAS for de-qi sensations (0–10 per component; score = sum of all component scores),overall de-qi score comparison between groups,not_reported,p_value_only,40.0,PG = 0.9790,migraine without aura
24963329,arm_TA,True acupuncture at LR3,verum_acupuncture,not_reported,needle sensation (developing needle sensation mentioned as prerequisite for manipulation),"After developing needle sensation, twirling and lifting/thrusting were conducted.",narrative,,not_reported,Healthy volunteers (no disease condition)
24968124,arm_mci,MCI patients,other,10-point scale for deqi sensations,soreness (percentage frequency),approximately 100% (from Fig. 2A),percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_hc,healthy controls,healthy_control,10-point scale for deqi sensations,soreness (percentage frequency),approximately 100% (from Fig. 2A),percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_mci,MCI patients,other,10-point scale for deqi sensations,warmth (percentage frequency),58%,percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_hc,healthy controls,healthy_control,10-point scale for deqi sensations,warmth (percentage frequency),50%,percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_mci,MCI patients,other,10-point scale for deqi sensations,tingling (percentage frequency),16%,percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_hc,healthy controls,healthy_control,10-point scale for deqi sensations,tingling (percentage frequency),8%,percentage,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_mci,MCI patients,other,"10-point scale (0 = no sensation, 1-3 = mild, 4-6 = moderate, 7-8 = strong, 9 = severe, 10 = unbearable sensation)",averaged intensity of sensations,approximately similar to HC group (from Fig. 2B),mean ± SE,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
24968124,arm_hc,healthy controls,healthy_control,"10-point scale (0 = no sensation, 1-3 = mild, 4-6 = moderate, 7-8 = strong, 9 = severe, 10 = unbearable sensation)",averaged intensity of sensations,approximately similar to MCI group (from Fig. 2B),mean ± SE,12.0,P>0.05,mild cognitive impairment (MCI); specifically amnestic MCI
25228908,arm_verum,Acupuncture with de qi,verum_acupuncture,not_reported (verbal questioning by investigator),"de qi sensations: aching, pressure, soreness, heaviness, fullness, warmth, cooling, numbness, tingling, and dull pain","When the volunteers felt the sensations of numbness, heaviness, distention, and soreness, representing de qi",narrative,30.0,not_reported,Healthy volunteers (no disease condition)
25452777,not_applicable,,,interview assessment of 'de qi',feeling of 'de qi',"Following each scan, the feeling of 'de qi' was assessed and checked for in each subject by interview",narrative,,not_reported,subcortical ischemic stroke (patient group); healthy volunteers (control group)
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,3.15 [2.00;4.30],mean (95% CI),20.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,3.37 [2.47;4.28],mean (95% CI),20.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,1.81 [1.13;2.50],mean (95% CI),20.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,4.71 [3.53;5.89],mean (95% CI),21.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,3.59 [2.51;4.68],mean (95% CI),21.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index,3.32 [2.34;4.29],mean (95% CI),21.0,not_reported,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p = 0.034,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p < 0.001,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p = 0.674,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p = 0.009,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p = 0.005,not_applicable
25741269,healthy_subjects,healthy subjects,healthy_control,"MGH Acupuncture Sensation Scale (MASS questionnaire Kong et al., 2007); MASS Index",MASS Index pairwise comparison,not_reported,p_value_only,,p = 0.587,not_applicable
25821486,arm_ACU,Group A – real acupuncture (ACU) treatment,verum_acupuncture,standard Likert scale,De-qi sensations (0 being no sensation and 10 being the most intense sensation felt),not_reported,narrative,10.0,not_reported,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25916336,arm_MWoA,MWoA patients,verum_acupuncture,not_reported,de-qi sensation,All patients reported the sensation of de-qi,narrative,12.0,not_reported,Migraine without aura (MWoA)
26467429,arm_KI3,KI3 group,verum_acupuncture,not_reported,not_reported,After Deqi [described as a condition for manipulation],narrative,,not_reported,healthy volunteers
26839078,not_applicable,,,not_reported,"deqi sensation: soreness, numbness, heaviness, distention or dull pain at the site of needle placement",deqi sensation acquired in all treatment groups,narrative,,not_reported,Migraine without aura (MwoA)
27242492,arm_MDD,"patients with first-episode, drug-naïve MDD",verum_acupuncture,100-point visual analog scale (VAS),"overall Deqi sensations including: aching, soreness, numbness, fullness, sharp or dull pain, pressure, heaviness, warmth, coolness, tingling, itching, and any others","VAS: 0 = no sensation, 10–30 = mild, 40–60 = moderate, 70–80 = strong, 90 = severe and 100 = unbearable sensation. Main Deqi sensations included fullness, dull pain, numbness, soreness, tingling and heaviness.",percentage (frequency) and intensity score,29.0,not_reported,"First-episode, drug-naïve major depressive disorder (MDD)"
27242911,arm_included_studies,Included acupuncture-neuroimaging studies (n=168),other,not_reported (requirement reported across studies),Deqi (needle sensation),82 studies required Deqi (needle sensation) during acupuncture stimulation,count,168.0,not_reported,"Multiple; includes healthy volunteers and patients with neurological, pain, psychosomatic, gastroenterological, pediatric, rheumatological, dermatological, and ophthalmological conditions"
27242911,arm_included_studies,Included acupuncture-neuroimaging studies (n=168),other,10-point Visual Analogue Scale (VAS),needle sensation,"41 studies used VAS (most commonly used, 68.3%)",count,,not_reported,"Multiple; includes healthy volunteers and patients with neurological, pain, psychosomatic, gastroenterological, pediatric, rheumatological, dermatological, and ophthalmological conditions"
27242911,arm_included_studies,Included acupuncture-neuroimaging studies (n=168),other,Massachusetts General Hospital Acupuncture Sensation Scale (MASS),needle sensation,5 studies,count,,not_reported,"Multiple; includes healthy volunteers and patients with neurological, pain, psychosomatic, gastroenterological, pediatric, rheumatological, dermatological, and ophthalmological conditions"
