arm_id,pmid,arm_type,Afferent_Input_Index,Cognitive_Anchoring,PC1,PC2,PC3,PC4,PC5,penetration_level,skin_contact,electrical_stim,manipulation_intensity,needle_retention_min,n_sessions,blinding_quality,practitioner_interaction,treatment_rationale_given
arm_tactile,24062782,active_control,-0.4686013997091605,0.6138524612841191,-0.30315371671051466,-0.647490233462982,1.7905576189682553,-0.3857471544530187,0.272517207530265,0.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,1.0
arm_tactile,24062782,sham_acupuncture,-0.4686013997091605,0.6138524612841191,-0.30315371671051466,-0.647490233462982,1.7905576189682553,-0.3857471544530187,0.272517207530265,0.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,1.0
arm_stroke,24734113,other,0.23381145117853586,0.08350053538242556,1.3173203113251315,-0.9067460820962169,-0.1747642590953011,0.21977414273881474,0.9181438684746334,2.0,1.0,0.0,2.0,,1.0,0.0,1.0,1.0
arm_stroke,24734113,verum_acupuncture,0.23381145117853586,0.08350053538242556,1.3173203113251315,-0.9067460820962169,-0.1747642590953011,0.21977414273881474,0.9181438684746334,2.0,1.0,0.0,2.0,,1.0,0.0,1.0,1.0
arm_healthy,24734113,healthy_control,0.23381145117853586,0.08350053538242556,1.3173203113251315,-0.9067460820962169,-0.1747642590953011,0.21977414273881474,0.9181438684746334,2.0,1.0,0.0,2.0,,1.0,0.0,1.0,1.0
arm_verum,25228908,verum_acupuncture,0.12006963872163179,0.08350053538242556,1.3046026901482795,-2.026676119102751,0.5053649618089464,0.37582165573294474,0.8407712578370985,2.0,1.0,0.0,2.0,5.0,,0.0,1.0,1.0
arm_AD,22916152,other,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_MCI,22916152,other,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_NOR,22916152,healthy_control,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_acupuncture,20423216,verum_acupuncture,-0.07719076426673684,0.6138524612841191,1.217529337542342,-1.8292287826747404,1.6377570593292385,-0.3454385891409157,0.072464296649621,2.0,1.0,0.0,2.0,0.5,1.0,1.0,1.0,1.0
arm_sham,20423216,sham_acupuncture,-0.6061087299112874,-0.05881071618371599,-0.83355285611077,-1.618795503515929,0.9686474631575569,-0.8180037547995005,-0.9824814635134959,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0
arm_sham,20423216,healthy_control,-0.6061087299112874,-0.05881071618371599,-0.83355285611077,-1.618795503515929,0.9686474631575569,-0.8180037547995005,-0.9824814635134959,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0
arm_visual,16790551,active_control,-1.266230394872189,-0.6590789715644428,-3.130539759795047,-0.05791695990018018,0.31666623930995796,1.2404272656930675,1.6834348957641503,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
arm_acupoint,16790551,verum_acupuncture,0.4604349320527509,0.08350053538242556,1.3173203113251315,-0.9067460820962169,-0.1747642590953011,0.21977414273881474,0.9181438684746334,2.0,1.0,0.0,2.0,,,0.0,1.0,1.0
arm_nonacupoint,16790551,sham_acupuncture,0.16577411805062597,-0.5891626420854096,0.22514418790199558,-0.9474472625274698,-1.3553949787910948,-0.1515549941712679,-0.48617501055176066,2.0,1.0,0.0,1.0,,,0.0,1.0,0.0
arm_nonacupoint,16790551,active_control,0.16577411805062597,-0.5891626420854096,0.22514418790199558,-0.9474472625274698,-1.3553949787910948,-0.1515549941712679,-0.48617501055176066,2.0,1.0,0.0,1.0,,,0.0,1.0,0.0
arm_ST36,23691237,verum_acupuncture,0.04584211012464001,0.6138524612841191,1.2247359895425582,-1.1946017617043714,1.2523505008168314,-0.43386551317092253,0.11630877601089083,2.0,1.0,0.0,2.0,9.0,1.0,1.0,1.0,1.0
arm_NAP,23691237,sham_acupuncture,0.04584211012464001,0.6138524612841191,1.2247359895425582,-1.1946017617043714,1.2523505008168314,-0.43386551317092253,0.11630877601089083,2.0,1.0,0.0,2.0,9.0,1.0,1.0,1.0,1.0
arm_FD,24459533,verum_acupuncture,0.6640469486643851,0.08350053538242556,1.9775623827677387,0.3131183620429503,-1.0907766143405955,0.043779682882320384,1.105107787826004,3.0,1.0,0.0,2.0,30.0,10.0,0.0,1.0,1.0
arm_HC,24459533,healthy_control,0.6640469486643851,0.08350053538242556,1.9775623827677387,0.3131183620429503,-1.0907766143405955,0.043779682882320384,1.105107787826004,3.0,1.0,0.0,2.0,30.0,10.0,0.0,1.0,1.0
arm_acupuncture,23316257,verum_acupuncture,0.031367654313889805,-0.05881071618371599,0.7015435021425191,-1.5312800107869493,0.04503378649372631,-0.9545490375474114,-1.0948454156716003,2.0,1.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0
arm_tactile,23316257,active_control,-0.4975503113306609,0.6138524612841191,-0.304849399534095,-0.7968142383971863,1.8812415150888215,-0.3649408193871347,0.26220085944526034,0.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0
arm_tactile,23316257,sham_acupuncture,-0.4975503113306609,0.6138524612841191,-0.304849399534095,-0.7968142383971863,1.8812415150888215,-0.3649408193871347,0.26220085944526034,0.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0
arm_review_included_studies,23935686,other,,-1.0515872763421326,0.22514418790199558,-0.9474472625274698,-1.3553949787910948,-0.1515549941712679,-0.48617501055176066,,,,,,,0.0,,0.0
arm_PD,25220656,other,-0.0019172000231640674,0.08350053538242556,0.7474888338902447,-0.6854310159119943,-0.1027363164077065,0.37953169773816287,0.719821007088228,2.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0
arm_HC,25220656,healthy_control,-0.0019172000231640674,0.08350053538242556,0.7474888338902447,-0.6854310159119943,-0.1027363164077065,0.37953169773816287,0.719821007088228,2.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0
arm_healthy,25452777,healthy_control,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_stroke,25452777,other,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_stroke,25452777,verum_acupuncture,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_TA,24963329,verum_acupuncture,0.3498056821503946,-0.05881071618371599,0.7201960132019023,0.11128404348930047,-0.9524890708325031,-1.1834187232721352,-0.981365586736549,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
arm_SA,24963329,sham_acupuncture,-0.37555282616223923,-0.05881071618371599,-1.3783730118978479,0.8050486354478102,-0.29691206193320174,-0.9651396420219412,-1.0286381906460826,0.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,0.0
arm_SA,24963329,verum_acupuncture,-0.37555282616223923,-0.05881071618371599,-1.3783730118978479,0.8050486354478102,-0.29691206193320174,-0.9651396420219412,-1.0286381906460826,0.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,0.0
arm_stroke,24734108,other,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_stroke,24734108,verum_acupuncture,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_control,24734108,other,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_control,24734108,healthy_control,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_control,24734108,sham_acupuncture,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_control,24734108,medication,-0.06995353636136174,0.08350053538242556,1.3012113245011188,-2.3253241289711597,0.6867327540500789,0.4174343258647127,0.8201385616670891,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
arm_acup,22761766,verum_acupuncture,0.22150585237908768,0.6138524612841191,1.2532078697622184,-0.3067851068703381,0.7306077040558938,-0.5619204448000985,0.20750077251819268,2.0,1.0,0.0,2.0,20.0,2.0,1.0,1.0,1.0
arm_sham,22761766,sham_acupuncture,0.22150585237908768,0.6138524612841191,1.2532078697622184,-0.3067851068703381,0.7306077040558938,-0.5619204448000985,0.20750077251819268,2.0,1.0,0.0,2.0,20.0,2.0,1.0,1.0,1.0
arm_sham,22761766,healthy_control,0.22150585237908768,0.6138524612841191,1.2532078697622184,-0.3067851068703381,0.7306077040558938,-0.5619204448000985,0.20750077251819268,2.0,1.0,0.0,2.0,20.0,2.0,1.0,1.0,1.0
arm_mci,24968124,other,0.04584211012464001,0.08350053538242556,1.30799405579544,-1.7280281092343417,0.32399716956781366,0.33420898560117673,0.8614039540071078,2.0,1.0,0.0,2.0,9.0,1.0,0.0,1.0,1.0
arm_hc,24968124,healthy_control,0.04584211012464001,0.08350053538242556,1.30799405579544,-1.7280281092343417,0.32399716956781366,0.33420898560117673,0.8614039540071078,2.0,1.0,0.0,2.0,9.0,1.0,0.0,1.0,1.0
arm_A,24915066,verum_acupuncture,1.0258309720606793,0.6138524612841191,2.315508059694166,2.310306518882908,-0.6680133812436836,-1.0239367687596856,1.117958414704864,3.0,1.0,0.0,2.0,30.0,32.0,1.0,1.0,1.0
arm_B,24915066,verum_acupuncture,1.0258309720606793,0.6138524612841191,2.315508059694166,2.310306518882908,-0.6680133812436836,-1.0239367687596856,1.117958414704864,3.0,1.0,0.0,2.0,30.0,32.0,1.0,1.0,1.0
arm_B,24915066,sham_acupuncture,1.0258309720606793,0.6138524612841191,2.315508059694166,2.310306518882908,-0.6680133812436836,-1.0239367687596856,1.117958414704864,3.0,1.0,0.0,2.0,30.0,32.0,1.0,1.0,1.0
arm_B,24915066,usual_care,1.0258309720606793,0.6138524612841191,2.315508059694166,2.310306518882908,-0.6680133812436836,-1.0239367687596856,1.117958414704864,3.0,1.0,0.0,2.0,30.0,32.0,1.0,1.0,1.0
arm_acupuncture,19559684,verum_acupuncture,0.007429919800252693,0.6138524612841191,0.7461307958393603,-0.9943725294422369,1.4627691145186044,-0.4948866950781157,0.2961535094850318,1.0,1.0,0.0,2.0,10.0,,1.0,1.0,1.0
arm_tactile,19559684,active_control,-0.3329420164140751,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,,1.0,1.0,1.0
arm_tactile,19559684,sham_acupuncture,-0.3329420164140751,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,,1.0,1.0,1.0
arm_real,25525442,verum_acupuncture,-0.041004624739861294,0.08350053538242556,1.302907007324699,-2.176000124036955,0.5960488579295127,0.3966279907988287,0.8304549097520938,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
arm_sham,25525442,sham_acupuncture,-0.041004624739861294,0.08350053538242556,1.302907007324699,-2.176000124036955,0.5960488579295127,0.3966279907988287,0.8304549097520938,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
arm_sham,25525442,healthy_control,-0.041004624739861294,0.08350053538242556,1.302907007324699,-2.176000124036955,0.5960488579295127,0.3966279907988287,0.8304549097520938,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
arm_MA,23840533,verum_acupuncture,0.23381145117853586,-0.5891626420854096,0.7949756653368825,-1.1687623287116924,-1.4274229214786895,-0.3113125491706159,-0.2878521491653553,2.0,1.0,0.0,2.0,,1.0,0.0,1.0,0.0
arm_EA,23840533,verum_acupuncture,0.5973015105183738,-0.5891626420854096,0.7106298553462267,-0.014995025806964839,-0.9909044523707805,2.2633137515529684,-1.9193963323685044,2.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0
arm_TEAS,23840533,verum_acupuncture,0.19832860294661284,-0.5891626420854096,-0.24827621488374962,0.2361394337831001,-0.47938332884666846,2.1620777228044665,-1.570023213505227,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0
arm_SC,23840533,active_control,-0.40089010759492494,0.08350053538242556,-0.21141723633973153,-0.4342965563219293,0.4087848071164057,0.2782956689896607,1.0691941259515052,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0
arm_SC,23840533,medication,-0.40089010759492494,0.08350053538242556,-0.21141723633973153,-0.4342965563219293,0.4087848071164057,0.2782956689896607,1.0691941259515052,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0
arm_CV4,22291848,verum_acupuncture,0.8330301617200737,0.6138524612841191,1.7195479125164808,0.5591325021542585,1.118079598574031,1.8665683896909522,-1.2601726313383272,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0
arm_CV12,22291848,verum_acupuncture,0.8330301617200737,0.6138524612841191,1.7195479125164808,0.5591325021542585,1.118079598574031,1.8665683896909522,-1.2601726313383272,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0
arm_genuine_HE,21080967,verum_acupuncture,0.7932270568841203,0.6138524612841191,1.7429327442654001,0.9989771421856782,0.8683884901747924,1.8009324632594281,-1.1999296790860394,2.0,1.0,1.0,2.0,25.0,2.0,1.0,1.0,1.0
arm_genuine_LE,21080967,verum_acupuncture,0.7932270568841203,0.6138524612841191,1.7429327442654001,0.9989771421856782,0.8683884901747924,1.8009324632594281,-1.1999296790860394,2.0,1.0,1.0,2.0,25.0,2.0,1.0,1.0,1.0
arm_sham_HE,21080967,sham_acupuncture,-0.4314803768797952,-0.05881071618371599,-1.3634665942668298,0.49827325080820745,-0.09318368972960905,-0.9267438931240453,-1.019976978818818,0.0,1.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0
arm_sham_LE,21080967,sham_acupuncture,-0.4314803768797952,-0.05881071618371599,-1.3634665942668298,0.49827325080820745,-0.09318368972960905,-0.9267438931240453,-1.019976978818818,0.0,1.0,0.0,0.0,25.0,2.0,1.0,1.0,0.0
arm_verum,20838644,verum_acupuncture,-0.6366187587966248,0.6138524612841191,-0.8645067800275001,0.32044485739226314,1.409166081053018,-0.33002127478309057,0.12577608656888287,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
arm_placebo,20838644,sham_acupuncture,-0.6366187587966248,0.6138524612841191,-0.8645067800275001,0.32044485739226314,1.409166081053018,-0.33002127478309057,0.12577608656888287,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
arm_placebo,20838644,placebo,-0.6366187587966248,0.6138524612841191,-0.8645067800275001,0.32044485739226314,1.409166081053018,-0.33002127478309057,0.12577608656888287,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
arm_A,23152865,verum_acupuncture,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_B,23152865,verum_acupuncture,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_B,23152865,sham_acupuncture,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_B,23152865,usual_care,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_C,23152865,sham_acupuncture,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_D,23152865,sham_acupuncture,-0.041004624739861294,0.6138524612841191,1.2196489410718174,-1.642573776506985,1.5244021891785304,-0.37144650797327056,0.08535973175587684,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0
arm_AD,24603951,other,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_NC,24603951,healthy_control,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_stroke,28443010,other,0.4332979049644162,0.08350053538242556,1.7967733464401199,-1.032313311891249,-0.4305248208573572,0.2703921571130659,0.7434573090429948,3.0,1.0,0.0,2.0,,1.0,0.0,1.0,1.0
arm_stroke,28443010,verum_acupuncture,0.4332979049644162,0.08350053538242556,1.7967733464401199,-1.032313311891249,-0.4305248208573572,0.2703921571130659,0.7434573090429948,3.0,1.0,0.0,2.0,,1.0,0.0,1.0,1.0
arm_healthy,28443010,healthy_control,0.4332979049644162,-0.5891626420854096,1.2744287004518708,-1.2943295585067247,-1.6831834832407455,-0.2606945347963648,-0.46253870859699386,3.0,1.0,0.0,2.0,,1.0,0.0,1.0,0.0
arm_A,29951105,verum_acupuncture,0.6622555205381033,0.6138524612841191,1.6063075282995547,1.6374582163270384,-0.1364764023077518,-0.9111137179321694,0.8792199896591881,2.0,1.0,0.0,2.0,30.0,20.0,1.0,1.0,1.0
arm_B,29951105,verum_acupuncture,-1.266230394872189,0.6138524612841191,-2.175244236726805,0.4721058229419081,1.5240673627067123,-0.05766326576382634,0.7863758131990973,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0
arm_B,29951105,sham_acupuncture,-1.266230394872189,0.6138524612841191,-2.175244236726805,0.4721058229419081,1.5240673627067123,-0.05766326576382634,0.7863758131990973,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0
arm_B,29951105,usual_care,-1.266230394872189,0.6138524612841191,-2.175244236726805,0.4721058229419081,1.5240673627067123,-0.05766326576382634,0.7863758131990973,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0
contra_group,29563830,verum_acupuncture,0.20506112404289245,0.6138524612841191,1.2340622450722498,-0.3733197345662467,0.7535890721537168,-0.5483003560332845,0.17304869047841645,2.0,1.0,0.0,2.0,20.0,1.0,1.0,1.0,1.0
ipsi_group,29563830,verum_acupuncture,0.20506112404289245,0.6138524612841191,1.2340622450722498,-0.3733197345662467,0.7535890721537168,-0.5483003560332845,0.17304869047841645,2.0,1.0,0.0,2.0,20.0,1.0,1.0,1.0,1.0
arm_pms_eas,29904344,verum_acupuncture,0.10888658280750425,0.08350053538242556,0.651273244134527,-0.5769317475466986,0.9685694255441668,3.0998023439229354,-0.9839376127099536,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0
arm_AD,29763448,other,-0.23744516740794455,0.08350053538242556,0.7330755298898124,-1.9546850578527328,0.6680768006171074,0.5563855457981767,0.6321320483656885,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0
arm_HC,29763448,healthy_control,,-1.0515872763421326,0.22514418790199558,-0.9474472625274698,-1.3553949787910948,-0.1515549941712679,-0.48617501055176066,,,,,,,0.0,,0.0
arm_verum,27812501,verum_acupuncture,-0.09084745908826405,0.6138524612841191,0.09439929020247628,0.0693103978021982,0.8976449575289062,-0.2287852460345885,-0.22359703229439434,2.0,1.0,0.0,0.0,20.0,,1.0,1.0,1.0
arm_sham,27812501,sham_acupuncture,-0.48982036666002493,-0.05881071618371599,-1.3868514260157492,0.05842861077678764,0.15650741866962975,-0.8611079666925213,-1.0802199310711058,0.0,1.0,0.0,0.0,20.0,,1.0,1.0,0.0
arm_sham,27812501,healthy_control,-0.48982036666002493,-0.05881071618371599,-1.3868514260157492,0.05842861077678764,0.15650741866962975,-0.8611079666925213,-1.0802199310711058,0.0,1.0,0.0,0.0,20.0,,1.0,1.0,0.0
arm_LR3,28480365,verum_acupuncture,0.3498056821503946,0.6138524612841191,1.2425406591901513,0.373300290104776,0.30016959155088524,-0.6523320313627045,0.22463043090343973,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,1.0
arm_sham_acu,28480365,sham_acupuncture,-0.37555282616223923,0.6138524612841191,-0.8560283659095989,1.0670648820632858,0.9557466004501867,-0.4340529501125105,0.17735782699390615,0.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0
arm_sham_acupoint,28480365,sham_acupuncture,0.3498056821503946,0.6138524612841191,1.2425406591901513,0.373300290104776,0.30016959155088524,-0.6523320313627045,0.22463043090343973,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,1.0
arm_CLBP,30881095,verum_acupuncture,-0.40089010759492494,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
arm_CLBP,30881095,other,-0.40089010759492494,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
TAG,30034336,verum_acupuncture,0.8942731453711179,0.6138524612841191,2.162343062174417,1.7780294973156399,-0.4841624364610997,-0.914976058625174,0.8423417583866544,3.0,1.0,0.0,2.0,30.0,24.0,1.0,1.0,1.0
SAG,30034336,sham_acupuncture,0.016742197068243002,-0.05881071618371599,-0.4670490230314827,1.4631578179876514,-0.6278246093423551,-1.123751993954991,-0.4625086035878912,1.0,1.0,0.0,0.0,,24.0,1.0,1.0,0.0
WG,30034336,waitlist,-1.266230394872189,-0.8013902231305844,-3.7361424720361778,0.21349314101431444,-0.007639091824412519,-0.05873392498846229,-0.2676562998720553,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0
arm_XNKQ,30914909,verum_acupuncture,-0.0350938071635264,1.3564319682309876,2.3130958802274764,-1.6703594655084482,1.8705317212136476,-0.9111133043596814,0.021277551178862406,2.0,1.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0
arm_pns,30914909,sham_acupuncture,-0.23764585122486398,0.6138524612841191,0.09439929020247628,0.0693103978021982,0.8976449575289062,-0.2287852460345885,-0.22359703229439434,2.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
arm_npws,30914909,sham_acupuncture,0.23381145117853586,1.3564319682309876,2.2726158343933736,-0.3767232992541285,1.0326368643014532,-1.0783163887180796,0.021084785909580326,2.0,1.0,0.0,2.0,,1.0,1.0,2.0,1.0
arm_npns,30914909,sham_acupuncture,-0.23764585122486398,0.6138524612841191,0.09439929020247628,0.0693103978021982,0.8976449575289062,-0.2287852460345885,-0.22359703229439434,2.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
arm_genuine,26211895,verum_acupuncture,-0.0019172000231640674,0.08350053538242556,0.7474888338902447,-0.6854310159119943,-0.1027363164077065,0.37953169773816287,0.719821007088228,2.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0
