arm_id,penetration_level,skin_contact,electrical_stim,electrical_frequency_hz,n_needles,n_sessions,needle_retention_min,manipulation_intensity,deqi_intended,acupoint_disease_relevant,blinding_present,blinding_quality,credibility_score,expectancy_score,prior_experience_naive,practitioner_interaction,treatment_rationale_given,sham_penetration_level,sham_skin_contact,sham_at_acupoints,sham_visual_cue,pmid
arm_tactile,0.0,1.0,0.0,,,,,1.0,0.0,,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,19559684
arm_real,2.0,1.0,0.0,,,1.0,3.0,2.0,,,0.0,0.0,,,,1.0,1.0,,,,,25525442
arm_sham,2.0,1.0,0.0,,,1.0,3.0,2.0,,,0.0,0.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,25525442
arm_MA,2.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,23840533
arm_EA,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,23840533
arm_TEAS,0.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,23840533
arm_SC,0.0,1.0,0.0,,,1.0,,1.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,23840533
arm_CV4,2.0,1.0,1.0,15.0,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,22291848
arm_CV12,2.0,1.0,1.0,15.0,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,22291848
arm_genuine_HE,2.0,1.0,1.0,2.0,,2.0,25.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,21080967
arm_genuine_LE,2.0,1.0,1.0,2.0,,2.0,25.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,21080967
arm_sham_HE,0.0,1.0,0.0,,,2.0,25.0,0.0,0.0,,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,21080967
arm_sham_LE,0.0,1.0,0.0,,,2.0,25.0,0.0,0.0,,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,21080967
arm_verum,0.0,1.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,20838644
arm_placebo,0.0,1.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,20838644
arm_A,2.0,1.0,0.0,,,1.0,3.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,23152865
arm_B,2.0,1.0,0.0,,,1.0,3.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,23152865
arm_C,2.0,1.0,0.0,,,1.0,3.0,2.0,,0.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,23152865
arm_D,2.0,1.0,0.0,,,1.0,3.0,2.0,,0.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,23152865
arm_AD,2.0,1.0,0.0,,,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,24603951
arm_NC,2.0,1.0,0.0,,,1.0,3.0,1.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,24603951
arm_stroke,3.0,1.0,0.0,,,1.0,,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,28443010
arm_healthy,3.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,28443010
arm_A,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,29951105
arm_B,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,29951105
contra_group,2.0,1.0,0.0,,,1.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,29563830
ipsi_group,2.0,1.0,0.0,,,1.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,29563830
arm_pms_eas,2.0,1.0,1.0,,,1.0,6.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,29904344
arm_AD,2.0,1.0,0.0,,,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,29763448
arm_HC,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,29763448
arm_verum,2.0,1.0,0.0,,,,20.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,27812501
arm_sham,0.0,1.0,0.0,,,,20.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,27812501
arm_LR3,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,28480365
arm_sham_acu,0.0,1.0,0.0,,,1.0,30.0,0.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,28480365
arm_sham_acupoint,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,28480365
arm_CLBP,0.0,1.0,0.0,,,1.0,,1.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,1.0,1.0,1.0,30881095
TAG,3.0,1.0,0.0,,,24.0,30.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,30034336
SAG,1.0,1.0,0.0,,,24.0,,0.0,,0.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,30034336
WG,0.0,0.0,0.0,,,,,0.0,,,1.0,1.0,,,,0.0,0.0,,,,,30034336
arm_XNKQ,2.0,1.0,0.0,,5.0,4.0,0.0,2.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,30914909
arm_pns,2.0,1.0,0.0,,5.0,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,30914909
arm_npws,2.0,1.0,0.0,,5.0,1.0,,2.0,0.0,,1.0,1.0,,,,2.0,1.0,2.0,1.0,0.0,1.0,30914909
arm_npns,2.0,1.0,0.0,,5.0,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,30914909
arm_genuine,2.0,1.0,0.0,,,1.0,,1.0,,,0.0,0.0,,,,1.0,1.0,,,,,26211895
arm_pseudo,1.0,1.0,0.0,,,1.0,,0.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,26211895
EA,2.0,1.0,1.0,,,36.0,30.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,27857211
Mox,0.0,1.0,0.0,,,36.0,,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,27857211
HC,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,,,,,27857211
CD_all,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,,,,,27857211
arm_MWoA,2.0,1.0,0.0,,,20.0,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,25916336
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,25916336
arm_left_gb34,2.0,1.0,0.0,,,1.0,5.0,1.0,,,0.0,0.0,,,,1.0,1.0,,,,,28053642
arm_right_gb34,2.0,1.0,0.0,,,1.0,5.0,1.0,,,0.0,0.0,,,,1.0,1.0,,,,,28053642
arm_MDD,2.0,1.0,1.0,1.0,,1.0,20.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,27242492
arm_HC,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,27242492
arm_included_studies,2.0,1.0,0.0,,,,,1.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,27242911
arm_ea,2.0,1.0,1.0,,,36.0,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,29204113
arm_moxa,0.0,1.0,0.0,,,36.0,,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,29204113
arm_ACU,2.0,1.0,0.0,,,1.0,21.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,25821486
arm_SHAM,1.0,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,25821486
arm_local,2.0,1.0,1.0,2.0,,16.0,20.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,28334999
arm_distal,2.0,1.0,1.0,2.0,,16.0,20.0,2.0,1.0,0.0,1.0,2.0,,,,1.0,1.0,,,,,28334999
arm_sham,0.0,1.0,0.0,,,16.0,,0.0,0.0,0.0,1.0,2.0,,,,1.0,1.0,0.0,1.0,0.0,1.0,28334999
arm_hc,,,,,,,,,,,,,,,,,,,,,,28334999
arm_acupuncture,2.0,1.0,0.0,,,1.0,20.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,30914919
arm_placebo,0.0,1.0,0.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,30914919
arm_responder,,,,,,,,,,,1.0,1.0,,,,,,,,,,30914919
arm_nonresponder,,,,,,,,,,,1.0,1.0,,,,,,,,,,30914919
arm_KI3,0.0,1.0,0.0,,,1.0,30.0,0.0,0.0,,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,1.0,26467429
arm_nonacupoint,3.0,1.0,0.0,,,1.0,30.0,2.0,1.0,,1.0,1.0,,,,1.0,0.0,,,,,26467429
real,3.0,1.0,0.0,,,1.0,,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,29343693
phnt,0.0,0.0,0.0,,,1.0,,0.0,0.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,29343693
arm_LR3,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,30719061
arm_KI3,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,30719061
arm_LR3KI3,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,30719061
arm_CM,2.0,1.0,0.0,,,36.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,31011330
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,31011330
VA1,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,26839078
VA2,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,26839078
VA3,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,26839078
SA,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,26839078
WT,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,26839078
HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,26839078
AG,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,26839078
healthy_subjects,2.0,1.0,0.0,,,3.0,25.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,25741269
arm_ST36,2.0,1.0,0.0,,,1.0,6.0,2.0,,,1.0,1.0,,,,1.0,1.0,,,,,27803655
arm_CP1,2.0,1.0,0.0,,,1.0,6.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,27803655
arm_CP2,2.0,1.0,0.0,,,1.0,6.0,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,27803655
arm_LR3,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,27688791
arm_sham,2.0,1.0,0.0,,,1.0,30.0,2.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,27688791
arm_AD_real,2.0,1.0,0.0,,,1.0,3.0,2.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,30105065
arm_AD_sham,2.0,1.0,0.0,,,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,30105065
arm_MCI_real,2.0,1.0,0.0,,,1.0,3.0,2.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,30105065
arm_MCI_sham,2.0,1.0,0.0,,,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,30105065
arm_HC_real,2.0,1.0,0.0,,,1.0,3.0,2.0,0.0,,0.0,0.0,,,,1.0,0.0,,,,,30105065
arm_ALBP,2.0,1.0,0.0,,,1.0,,2.0,0.0,,1.0,1.0,,,,0.0,1.0,,,,,26161117
arm_all_fd,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,35464313
arm_higher_response,2.0,1.0,0.0,,,,,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,35464313
arm_lower_response,2.0,1.0,0.0,,,,,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,35464313
arm_CG,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,1.0,,,,,34431029
arm_TG,2.0,1.0,0.0,,,6.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,34431029
arm_EA,2.0,1.0,1.0,2.0,,1.0,15.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,33776442
arm_acupuncture,2.0,1.0,0.0,,,12.0,30.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,32194493
arm_sham,,,,,,,,,,,1.0,1.0,,,,,0.0,,,0.0,,32194493
arm_IBSD,3.0,1.0,0.0,,,18.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,34720908
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,34720908
arm_CLBP,,,,,,,,,,,1.0,1.0,,,1.0,,0.0,,,,,34949986
arm_HC,,,,,,,,,,,1.0,1.0,,,1.0,,0.0,,,,,34949986
arm_MwoA,2.0,1.0,1.0,2.0,,12.0,20.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,34122321
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,34122321
arm_NC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,33384580
arm_IBSbs,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,33384580
arm_IBS1st,2.0,1.0,0.0,,,18.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,33384580
arm_groupA,2.0,1.0,0.0,,,10.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,35557556
arm_groupB,2.0,1.0,0.0,,,10.0,30.0,2.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,,,,,35557556
arm_HS,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,35557556
arm_CSAP_all,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,35557556
arm_CON,0.0,0.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,,0.0,1.0,,,,,33664320
arm_CON_U,0.0,1.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,33664320
arm_ACU,1.0,1.0,0.0,,,1.0,10.0,2.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,33664320
arm_ACU_U,1.0,1.0,0.0,,,1.0,10.0,2.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,33664320
arm_ACU_C,1.0,1.0,0.0,,,,,2.0,0.0,,1.0,1.0,,,,1.0,0.0,,,,,33664320
arm_ACU_D,1.0,1.0,0.0,,,,,2.0,0.0,,1.0,1.0,,,,1.0,0.0,,,,,33664320
arm_NACU,1.0,1.0,0.0,,,1.0,,1.0,0.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,33664320
arm_effective,2.0,1.0,0.0,,,2.0,15.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,33560579
arm_sham,1.0,1.0,0.0,,,2.0,15.0,2.0,0.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,33560579
arm_real,2.0,1.0,0.0,,,21.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,33013312
arm_sham,1.0,1.0,0.0,,,21.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,33013312
arm_contra,2.0,1.0,0.0,,,1.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,32377180
arm_ipsi,2.0,1.0,0.0,,,1.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,32377180
arm_MWoA,2.0,1.0,1.0,50.0,,12.0,15.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,,,35312785
arm_MWA,2.0,1.0,1.0,50.0,,12.0,15.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,,,35312785
arm_CM,2.0,1.0,1.0,50.0,,12.0,15.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,,,35312785
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,35312785
arm_FPI,2.0,1.0,1.0,15.0,,25.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,33146953
arm_MPI,2.0,1.0,1.0,15.0,,25.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,33146953
arm_EA,2.0,1.0,1.0,2.0,,8.0,25.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,33314799
arm_ML,0.0,0.0,0.0,,,8.0,25.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,33314799
arm_A,2.0,1.0,0.0,,,20.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,35585920
arm_B,2.0,1.0,0.0,,,20.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,35585920
arm_verum_ea,2.0,1.0,1.0,1.0,,1.0,20.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,35096130
arm_sham,1.0,1.0,0.0,,,5.0,20.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,32612281
arm_st36,2.0,1.0,1.0,2.0,,5.0,20.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,,,,,32612281
arm_pc6,2.0,1.0,1.0,2.0,,5.0,20.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,,,,,32612281
S_Acu,2.0,1.0,1.0,4.0,,25.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,32807158
M_Acu,2.0,1.0,1.0,4.0,,25.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,32807158
N_Acu,2.0,1.0,1.0,4.0,,25.0,30.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,32807158
TA,2.0,1.0,0.0,,,27.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,34671239
SA,2.0,1.0,0.0,,,27.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.0,1.0,34671239
G1,2.0,1.0,1.0,2.0,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,35310583
G2,2.0,1.0,1.0,2.0,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,35310583
G3,2.0,1.0,1.0,2.0,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,35310583
arm_acupuncture,2.0,1.0,0.0,,,1.0,12.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,34483822
arm_KOA,2.0,1.0,0.0,,,1.0,,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,35115998
arm_HC,2.0,1.0,0.0,,,1.0,,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,35115998
arm_real_acu,2.0,1.0,0.0,,,1.0,,2.0,,,0.0,0.0,,,,1.0,0.0,,,,,33551385
arm_sham_scrub,0.0,1.0,0.0,,,1.0,,1.0,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,33551385
arm_tinnitus,2.0,1.0,0.0,,,12.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,2.0,0.0,,,,,35153654
arm_control,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,35153654
arm_RA,2.0,1.0,0.0,,,,7.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,34108856
arm_SA,2.0,1.0,0.0,,,,7.0,2.0,0.0,0.0,1.0,2.0,,,1.0,1.0,0.0,2.0,1.0,0.0,1.0,34108856
arm_REAL,2.0,1.0,0.0,,,1.0,,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,31636536
