pmid,arm_id,body_x_meaning,penetration_x_credibility,deqi_x_expectancy
32377180,arm_contra,2.0,,
32377180,arm_ipsi,2.0,,
35312785,arm_MWoA,0.0,,
35312785,arm_MWA,0.0,,
35312785,arm_CM,0.0,,
35312785,arm_HC,0.0,,
33146953,arm_FPI,0.0,,
33146953,arm_MPI,0.0,,
33314799,arm_EA,2.0,,
33314799,arm_ML,0.0,,
35585920,arm_A,2.0,,
35585920,arm_B,2.0,,
35096130,arm_verum_ea,0.0,,
32612281,arm_sham,0.0,,
32612281,arm_st36,0.0,,
32612281,arm_pc6,0.0,,
32807158,S_Acu,2.0,,
32807158,M_Acu,2.0,,
32807158,N_Acu,2.0,,
34671239,TA,2.0,,
34671239,SA,2.0,,
35310583,G1,0.0,,
35310583,G2,0.0,,
35310583,G3,0.0,,
34483822,arm_acupuncture,0.0,,
35115998,arm_KOA,0.0,,
35115998,arm_HC,0.0,,
33551385,arm_real_acu,0.0,,
33551385,arm_sham_scrub,0.0,,
35153654,arm_tinnitus,0.0,,
35153654,arm_control,,,
34108856,arm_RA,4.0,,
34108856,arm_SA,4.0,,
31636536,arm_REAL,0.0,,
31636536,arm_PHNT,0.0,,
35048524,arm_cnsp,3.0,,
35048524,arm_hc,0.0,,
38245739,arm_group1,0.0,,
38245739,arm_group2,0.0,,
36890655,arm_VA,2.0,,
36890655,arm_SA,2.0,,
36890655,arm_SC,0.0,,
36890655,arm_PB,0.0,,
36890655,arm_WL,0.0,,
36890655,arm_HC,,,
36890655,arm_AG,2.0,,
37206312,arm_ERR,0.0,,
37206312,arm_LTRei,0.0,,
37206312,arm_LTRed,0.0,,
36102803,arm_exp,0.0,,
36102803,arm_ctrl,0.0,,
35959405,arm_01,0.0,,
36922926,acu,2.0,,
36922926,con,0.0,,
35965072,arm_FD_acupuncture,0.0,,
35965072,arm_responders,0.0,,
35965072,arm_non_responders,0.0,,
36051643,VA,0.0,,
36051643,SA,0.0,,
35734477,arm_patient,0.0,,
35734477,arm_control,0.0,,
35734477,arm_C1,0.0,,
35734477,arm_C2,0.0,,
35734477,arm_C3,0.0,,
35734477,arm_Nih1,0.0,,
35734477,arm_Nih2,0.0,,
35734477,arm_Nih3,0.0,,
38651018,arm_AD_real,4.0,,
38651018,arm_AD_sham,,,
38651018,arm_AD_baseline,,,
38651018,arm_HC,,,
38651018,arm_AD_high_responder,4.0,,
38651018,arm_AD_low_responder,4.0,,
37408438,TA,2.0,,
37408438,SA,1.0,,
37721727,arm_HC,0.0,,
37721727,arm_IA,0.0,,
38027487,arm_ea,2.0,,
38027487,arm_ctrl,0.0,,
36530635,arm_tinnitus,0.0,,
36530635,arm_HC,0.0,,
36744205,arm_patients,0.0,,
36744205,arm_hc,,,
35968386,arm_WT,0.0,,
35968386,arm_3xTgAD,0.0,,
35968386,arm_EA,1.0,,
35968386,arm_NonEA,1.0,,
37305743,arm_SA,0.0,,
37305743,arm_PC,0.0,,
37305743,arm_HC,0.0,,
37274194,arm_MCID,0.0,,
37274194,arm_NMCID,0.0,,
37274194,arm_HC,0.0,,
38681626,EAS,2.0,,
38681626,SAS,1.0,,
36530615,arm_PSA,0.0,,
36530615,arm_HC,0.0,,
38585348,EG,0.0,,
38585348,CG,0.0,,
38034817,arm_HT5,0.0,,
38034817,arm_GB20,0.0,,
38034817,arm_HT5_GB20,0.0,,
38249582,arm_1min,2.0,,
38249582,arm_2min,2.0,,
38249582,arm_3min,2.0,,
37584456,arm_training_test,0.0,,
37584456,arm_validation,0.0,,
37415858,arm_REAL,2.0,,
37415858,arm_PHNT,0.0,,
37383656,TATG,6.0,,
37383656,SATG,2.0,,
37901421,arm_set1,0.0,,
37901421,arm_set2,0.0,,
37901421,arm_set3,0.0,,
35832324,arm_neiguan,1.0,,
35832324,arm_nonacupoint,1.0,,
37804240,arm_SA,0.0,,
37804240,arm_VA,0.0,,
40642213,arm_HT7,0.0,,
40642213,arm_ST36,0.0,,
40642213,arm_KI4,0.0,,
41520025,arm_EA,2.0,,
41520025,arm_ML,0.0,,
39368604,arm_real,2.0,,
39368604,arm_sham,0.0,,
40800108,arm_verum_acupuncture,0.0,,
40800108,arm_pharmacotherapy,0.0,,
40800108,arm_VCI_patients,0.0,,
40800108,arm_healthy_controls,0.0,,
40800108,arm_MCI_patients,0.0,,
41310834,arm_acupuncture,0.0,,
41310834,arm_waitlist,0.0,,
39543627,arm_RA,2.0,,
39543627,arm_SA,1.0,,
39543627,arm_HC,0.0,,
40660313,arm_acupuncture,2.0,,
40660313,arm_tDCS,0.0,,
40660313,arm_combined,2.0,,
40584525,arm_HC,0.0,,
40584525,arm_true,0.0,,
40584525,arm_sham,0.0,,
39468590,arm_acupuncture,3.0,,
39468590,arm_control,1.0,,
41022570,arm_01,0.0,,
39089662,AG,3.0,,
39089662,SG,1.0,,
40634927,AG,2.0,,
40634927,SG,0.0,,
40634927,WG,0.0,,
40995472,arm_female,0.0,,
40995472,arm_male,0.0,,
41069516,arm_BP,2.0,,
41069516,arm_HC,0.0,,
40950284,arm_conv,0.0,,
40950284,arm_yyhat,0.0,,
41601526,arm_ST36,0.0,,
41601526,arm_GB34,0.0,,
41601526,arm_SLIM,0.0,,
41601526,arm_FCP,0.0,,
39877657,arm_AD,0.0,,
39877657,arm_NC,0.0,,
39877657,arm_healthy100,,,
41351443,AG,4.0,,
41351443,SG,0.0,,
40881782,arm_IDSA,1.0,,
40881782,arm_sham,0.0,,
40881782,arm_HC,0.0,,
41591775,arm_real_acu,2.0,,
41591775,arm_sham_acu,1.0,,
40772121,arm_acupuncture,4.0,,
40772121,arm_placebo,2.0,,
40772121,arm_waiting,0.0,,
40772121,arm_healthy,,,
40847552,arm_responders,0.0,,
40847552,arm_nonresponders,0.0,,
40022556,arm_CID_crosssec,0.0,,
40022556,arm_HC_crosssec,0.0,,
40022556,arm_acupuncture,2.0,,
40022556,arm_waitlist,0.0,,
39648209,arm_SSRIs,0.0,,
39648209,arm_SSRIs_SIA,0.0,,
39648209,arm_SSRIs_AIA,2.0,,
39648209,arm_HC,0.0,,
39648209,arm_MDD_MRI,0.0,,
40974865,BC_HF,2.0,,
40974865,BC_NF,,,
40974865,NC,,,
39654647,arm_verum_acu,0.0,,
39654647,arm_sham_acu,0.0,,
39654647,arm_other_therapy,0.0,,
39654647,arm_healthy_control,0.0,,
40963943,arm_TTH,0.0,,
40963943,arm_HC,0.0,,
40963943,arm_TTH_pain,0.0,,
40963943,arm_TTH_deqi,0.0,,
40963943,arm_HC_pain,0.0,,
40963943,arm_HC_deqi,0.0,,
41602988,arm_BP_acupuncture,0.0,,
39499594,arm_rest,0.0,,
39499594,arm_LT,0.0,,
39499594,arm_TR,0.0,,
42131703,VA,4.0,,
42131703,SA,2.0,,
42077350,arm_mdd,0.0,,
42077350,arm_hc,0.0,,
41657421,arm_control,0.0,,
41657421,arm_study,2.0,,
41641330,arm_sham,0.0,,
41641330,arm_model,0.0,,
41641330,arm_ea,2.0,,
41999225,VA,3.0,,
41999225,SA,3.0,,
41999225,SC,0.0,,
41999225,PB,0.0,,
41999225,WL,0.0,,
41999225,AG,3.0,,
41834818,arm_tx,0.0,,
41834818,arm_hc,0.0,,
