pmid,arm_id,arm_label,sham_subtype,sham_device,sham_penetration,sham_location,sham_manipulation,sham_deqi_intended,sham_credibility_procedure,acupoints_used,penetration,manipulation
23691237,arm_NAP,Sham Acupuncture at NAP (nonacupoint),"non-meridian point needling (NAP), 2–3 cm apart from ST36",not_reported,needle inserted (penetrating),"nearby nonacupoint on the right leg, 2–3 cm apart from ST36",identical to verum: rotating the needle clockwise and counterclockwise for 1 min at a rate of 60 times per min,not_reported,not_reported,[],needling at non-meridian point; needle depth identical to verum,stimulation intensity and manipulation procedure all identical to those used in verum acupuncture; balanced 'tonifying and reducing' technique; rotating the needle clockwise and counterclockwise for 1 min at a rate of 60 times per min
24062782,arm_tactile,tactile stimulation,tactile stimulation with von Frey monofilament,5.88 von Frey monofilament,no penetration; skin tapped gently,over LV3 acupoint,tapped gently using the same paradigm as acupuncture,not_reported,not_reported,['LV3'],no needle penetration; skin tapped gently,The skin over the acupoint was tapped gently with a 5.88 von Frey monofilament using the same paradigm as acupuncture
24915066,arm_B,inactive acupoint group,inactive acupoint acupuncture,single-use stainless steel filiform needles (same as active group),inserted (same penetration depth approximately 2.5 cm–3.5 cm),"bilateral SJ22 (Erheliao), PC7 (Daling), GB37 (Guangming), and SP3 (Taibai)",Needles were twisted with rotation (90°<amplitude<180°) at a frequency of 1–2 Hz; stimulation repeated 1–3 times,yes; comparable de-qi sensations achieved,patients informed they would receive one of two types of acupuncture depending on different traditional Chinese acupuncture theories; treatment achieved in large independent single-room with screen dividers; both groups received bilateral and equivalent number of acupoint stimulations each time,[],inserted,Needles were twisted with rotation (90°<amplitude<180°) at a frequency of 1–2 Hz. Stimulation was repeated 1–3 times to acquire the de-qi sensation
24963329,arm_SA,Sham acupuncture at LR3,"blunt, nonpenetrating needle; tip touches skin without puncturing",DONGBANG AcuPrime tube; sham needle placed in tube over acupoint,no penetration,bilateral LR3 acupoint (same location as true acupuncture),The sham needle was tapped to make its tip touch the skin without puncturing it,not_reported,not_reported,['LR3 (bilateral)'],no penetration; tip touched skin without puncturing,"The auxiliary part of the tube was applied to the skin, with a sham needle placed in the tube over the acupoint. The sham needle was then tapped to make its tip touch the skin without puncturing it and was maintained in place for 30 min."
25525442,arm_sham,sham acupoint,nonacupoint needling at same depth and same manipulation pattern,stainless nonmagnetic needles (same as real),"penetrating, inserted to depth of 2 cm",approximately 10 mm anterior to the corresponding real acupoints (Liv3 and LI4),"needles rotated continuously (±180°, 60 times per minute)",not_reported,not_reported,[],"yes, needle inserted","needles rotated continuously (±180°, 60 times per minute)"
25821486,arm_SHAM,Group B – minimal sham acupuncture treatment (min SHAM),minimal sham acupuncture – superficial needle insertion at non-acupoints with immediate removal and pretend rotation,paramagnetic needles (0.18 mm × 40 mm),"superficial insertion, immediately removed",2 cun lateral and dorsal to ST 36; 2 cun medial to SP 9 on the same plane bilaterally,acupuncturist pretended to rotate needles as described for ACU procedure,not_reported,Subjects were asked if they thought they received real or sham acupuncture,[],inserted superficially and immediately removed,acupuncturist pretended to rotate needles as described for ACU procedure; no actual needle rotation performed
26211895,arm_pseudo,pseudo-stimulation (session 2 / electro-acupuncture label),"pseudo-stimulation: needles inserted, no stimulation delivered; participants believed they received electro-acupuncture",Non-magnetic titanium sterile acupuncture needles without stimulation,needles were inserted,same acupoints as genuine: PC6 and HT7 on left hand,no manipulation performed,not_reported,fixed order with genuine stimulation first; participants were informed second session would include electrical acupuncture stimulation; no participant expressed suspicions about the administration of electrical stimulation in the pseudo-stimulation session,"['PC6', 'HT7']",needles were inserted but no stimulation was given,no manipulation; no external physical stimulation was applied
26839078,SA,Sham Acupuncture Group (SA),non-acupoint needling,disposable stainless steel fine needles,penetration of 5 to 15mm,"NAP1, NAP2 and NAP3 (non-acupoints)","gently twisted, lifted, and thrust at an even amplitude, force, and speed to acquire deqi sensation",yes; deqi sensation acquired in all treatment groups,not_reported,[],penetration of 5 to 15mm,"gently twisted, lifted, and thrust at an even amplitude, force, and speed to acquire deqi sensation"
27688791,arm_sham,Sham group,non-acupoint needling with identical needling procedure,"Huatuo acupuncture needles, Suzhou, China; sterile; 0.3 mm diameter, 40 mm long",vertically punctured at 15 ± 2 mm,"midpoint of the line connecting the anterior superior iliac spine and lateral border of the patella, 2 cm inside","twirling at an angle of 90–180° and a frequency of 60–90 times/min and lifting and thrusting at a range of 0.3–0.5 cm and a frequency of 60–90 times/min; 1 min manipulation, retained 30 min, repeated every 10 min",After developing needle sensation,not_reported,[],vertically punctured,"After developing needle sensation, twirling at an angle of 90–180° and a frequency of 60–90 times/min and lifting and thrusting at a range of 0.3–0.5 cm and a frequency of 60–90 times/min were conducted. After manipulating the needle for 1 min, the needle was held in place for 30 min. During the 30 min, the physician repeated this manipulation for 1 min every 10 min."
27803655,arm_CP1,Control point 1 (CP1) – same dermatome L5,"penetrating needle at non-acupuncture control point, same dermatome","same needle as verum: 0.20 mm × 30 mm titanium, DongBang",penetrating,"lateral to ST36, at the middle line between Bladder meridian and Gallbladder meridian, dermatome L5","identical to ST36: rotating 60–90/rpm and lift-thrusting 0.3–0.5 cm, 3 s events, ISI 13–21 s",not_reported,not_reported,[],penetrating,needle rotating 60–90/rpm and lift-thrusting 0.3–0.5 cm; each event consisted of 3 s stimulation; inter-stimulus interval randomized from 13 to 21 s; event-related design; needle taken out after the 6 min event-related needle manipulation; identical penetrating needle stimulation as performed on ST36
27803655,arm_CP2,Control point 2 (CP2) – different dermatome L2,"penetrating needle at non-acupuncture control point, different dermatome","same needle as verum: 0.20 mm × 30 mm titanium, DongBang",penetrating,"2 B-cun dorsally of GB31, dermatome L2","identical to ST36: rotating 60–90/rpm and lift-thrusting 0.3–0.5 cm, 3 s events, ISI 13–21 s",not_reported,not_reported,[],penetrating,needle rotating 60–90/rpm and lift-thrusting 0.3–0.5 cm; each event consisted of 3 s stimulation; inter-stimulus interval randomized from 13 to 21 s; event-related design; needle taken out after the 6 min event-related needle manipulation; identical penetrating needle stimulation as performed on ST36
27812501,arm_sham,sham acupuncture plus fluoxetine,non-penetrating sham using empty plastic needle sheaths tapped against skin,short plastic needle sheaths not containing any needles,no needles were inserted into the skin through the sheaths,same acupoints as verum group (abdominal acupoints),sheaths tapped against the skin of the patient's acupoints,not_reported,participants wore masks over eyes; abdomen covered with basket underneath a sheet,"['Zhongwan (RN12)', 'Xiawan (RN10)', 'Qihai (RN6)', 'Guanyuan (RN4)', 'Shangqu (KL17)', 'Huaroumen (ST24)', 'Qipang (extra-point)']",no needles were inserted into the skin through the sheaths,short plastic needle sheaths not containing any needles were tapped against the skin of the patient's acupoints
28334999,arm_sham,local sham electro-acupuncture using non-penetrating placebo needles,non-penetrating sham needling at non-acupoints with inactive electro-acupuncture device,"Streitberger Needle (Asiamed); Acus II, Cefar electro-acupuncture device (inactive port)",non-penetrating (non-insertive),non-acupoints SH1 and SH2 on ulnar aspect of more affected forearm; SH3 on radial aspect of more affected forearm; SH4 and SH5 on opposite lower limb,"electrodes attached to needles, device turned on but not connected to active port",not intended,subjects told they 'may or may not feel electrical sensations' from this procedure; allocation concealment used neutral group codes,[],non-penetrating (non-insertive),"electrodes attached to SH1 and SH2 needles, electro-acupuncture device was turned on, but electrodes were not inserted into an active port on the device"
28480365,arm_sham_acu,Sham acupuncture Group,sham needle tapping skin without penetration at true acupoint,auxiliary tube with sham needle,no penetration; tip touches skin without puncturing,LR3 acupoint,sham needle tapped to make tip touch the skin without puncturing; maintained in place for 30 min,not intended,not_reported,['LR3'],no penetration; tip touches skin without puncturing,"the auxiliary part of the tube was applied to the skin, with a sham needle placed in the tube over the acupoint; the sham needle was then tapped to make its tip touch the skin without puncturing it and was maintained in place for 30 min"
28480365,arm_sham_acupoint,Sham acupoint Group,true needle insertion at non-acupoint/sham acupoint location,DONGBANG needles (same as verum arm),true penetration,"On the midpoint of the line connecting the anterior superior iliac spine and lateral border of the patella, 2 cm inside",same procedure as true acupuncture at LR3 acupoint,needle sensation intended (same as LR3),not_reported,[],true penetration (same procedure as true acupuncture at LR3),same procedure as true acupuncture at LR3 acupoint
29343693,phnt,PHNT,phantom acupuncture,"video clip, which was recorded previously from the REAL group, was carefully chosen to match the body shape and skin appearance of each patient and displayed to the patient",neither inserted nor stimulated the needles,approached the acupoints with his hand and mimicked the stimulation without touching any body part of the patients,mimicked the stimulation without touching any body part of the patients,not_reported,"preparatory procedure was performed, turning on the camera and building the video–body link; displayed video clip to create an illusion of needle insertion and stimulation (i.e., needling credibility)","['bilateral SP13', 'left SP11', 'left ST36']",The acupuncturist neither inserted nor stimulated the needles.,"The acupuncturist only approached the acupoints with his hand and mimicked the stimulation without touching any body part of the patients, following the auditory cues for stimulation in the same sequence as in the REAL protocol."
30034336,SAG,sham acupuncture group (SAG),superficial needling at non-acupoint locations adjacent to true acupoints,not_reported,inserted to 0.2 cm deep,"0.5 Chinese cun next to DU20, GB20 and the Chorea-Tremor Controlled Zone",no manipulation of the needle was performed during the needle retention time,not_reported,not_reported,[],inserted to 0.2 cm deep,no manipulation of the needle was performed during the needle retention time
30105065,arm_AD_sham,sham acupuncture point group (AD patients),non-acupoint needle insertion approximately 10 mm anterior to real acupoints,Stainless nonmagnetic needles (0.3 mm diameter and 25 mm long),inserted to depth of 2 cm,four locations approximately 10 mm next to bilateral Taichong (LR3) or Hegu (LI4); 10 mm anterior to the corresponding real ones,"needles rotated continuously (±180°, 60 times per minute)",not_reported,not_reported,[],inserted,"needles rotated continuously (±180°, 60 times per minute)"
30105065,arm_MCI_sham,sham acupuncture point group (MCI patients),non-acupoint needle insertion approximately 10 mm anterior to real acupoints,Stainless nonmagnetic needles (0.3 mm diameter and 25 mm long),inserted to depth of 2 cm,four locations approximately 10 mm next to bilateral Taichong (LR3) or Hegu (LI4); 10 mm anterior to the corresponding real ones,"needles rotated continuously (±180°, 60 times per minute)",not_reported,not_reported,[],inserted,"needles rotated continuously (±180°, 60 times per minute)"
30914909,arm_pns,insertion of needles on the five XNKQ acupuncture points without stimulation,needle insertion without manual stimulation on acupuncture points,same needle as verum,insertion (penetrating),XNKQ acupuncture points,no manipulation,not intended,not_reported,"['PC6 bilaterally', 'DU26 unilaterally', 'SP6 bilaterally']",insertion without stimulation,no needle-stimulation
30914909,arm_npws,manual needle-stimulation on five nearby non-acupuncture points,manual needle-stimulation on non-acupuncture points,same needle as verum,insertion (penetrating),"five nearby non-acupuncture points not located on a meridian or above a main nerve, within 2.5 cm of respective acupuncture point",identically to the XNKQ needle-stimulation,not explicitly stated,not_reported,[],insertion with stimulation,identically to the XNKQ needle-stimulation
30914909,arm_npns,insertion of needles on five non-acupuncture points without stimulation,needle insertion without manual stimulation on non-acupuncture points,same needle as verum,insertion (penetrating),five non-acupuncture points,no manipulation,not intended,not_reported,[],insertion without stimulation,no manual needle-stimulation
30914919,arm_placebo,placebo,tactile stimulation with von Frey filament at non-acupoints,"size 5.46 von Frey filament (Touch-Test Sensory Evaluator Instructions, North Coast Medical, Inc., CA, United States)",no penetration,non-acupoints on the same meridians,gentle tapping every 5 min,not_reported,Locations of acupoints and non-acupoints were blinded by self-produced blinding box; von Frey filament and acupuncture materials prepared in advance and covered,[],no penetration; gentle tapping,gentle tapping with a size 5.46 von Frey filament every 5 min over 20 min
31636536,arm_PHNT,PHNT,Phantom acupuncture; no actual needles; acupuncturist mimicked needling ritual,"Previously recorded video from REAL group patient (with real needles) displayed on screen during PHNT run; MR-compatible camera, beam projector, screen, visual barrier, and blanket",No penetration,Same acupoint locations as REAL mimicked without actual needles,Acupuncturist pretended to stimulate the needles according to the stimulation paradigm,No somatosensory deqi intended; vicarious sensations possible via visual feedback and expectation,Video recording of patient body projected in real time to consolidate video-body link; previously recorded video from REAL group patient displayed during run; patients told needles had been inserted; needling credibility assessed retrospectively via in-depth interview,[],"No penetration; acupuncturist mimicked the needling ritual (i.e., insertion and manipulation) without actual needles",Acupuncturist pretended to stimulate the needles according to the stimulation paradigm
32194493,arm_sham,sham acupuncture group,sham acupuncture points shown in Supplementary Materials,not_reported,not_reported,sham acupuncture points described in Supplementary Materials,not_reported,not_reported,not_reported,[],not_reported,not_reported
32612281,arm_sham,sham group,subcutaneous needle insertion without electrical stimulation,"Trio 300 electrical stimulator (Grand Medical Instrument Co. Ltd, Ito, Japan) connected but not activated",subcutaneous,bilateral Zusanli (ST36) (cathode) and Shangjuxu (ST37) (anode),no manipulation; no electrical stimulation,not_reported,not_reported,"['ST36 (Zusanli)', 'ST37 (Shangjuxu)']",subcutaneously inserted,no manipulation; needles connected to Trio 300 electrical stimulator but electrical stimulation was not administered
32807158,N_Acu,"Non-acupoint group (N-Acu group, bilateral sham point at the junction point between the biceps brachii muscle and deltoid muscle)",non-acupoint needling with electrical stimulation,same electro-acupuncture machine and silver needles as verum groups,inserted (same as verum; needle depth 10 mm),bilateral sham point at the junction point between the biceps brachii muscle and deltoid muscle,connected to electro-acupuncture machine at 4 Hz with intensity maintaining De-Qi,intensity that maintained the De-Qi sensation,not_reported,[],inserted,"Another silver needle was inserting at a distance of 1 cm from the acupoint. The handle of these two needles were connected to an electro-acupuncture machine (Suzhou Medical Appliance Factory, China) with a frequency of 4 Hz and an intensity that maintained the De-Qi sensation"
33013312,arm_sham,Sham acupuncture group,adjacent non-acupoint sham acupuncture,not_reported,yes (needle inserted but no manipulation),midpoint between the stomach and gall bladder meridians in the same level of SP6 and xuanzhong (GB39),no needle manipulation was performed after needle insertion,no; deqi sensation was not obtained,not_reported,[],"yes, needle inserted (similar procedure to real acupuncture)",no needle manipulation was performed after needle insertion
33314799,arm_ML,Mock Laser acupuncture (ML),mock laser acupuncture with laser turned off during treatment,"VitaLaser 650, Lhasa OMS",no physical contact between device and skin,same acupoints as EA; device positioned approximately 1-2 cm over acupoints,no palpation prior to positioning; laser off during treatment; all treatment rituals maintained,no,laser light demonstrated to participants at first visit to enhance credibility of the intervention,"['same acupoints as EA: right side LI-11, right side LI-4, left side GB-34, left side SP-6, bilateral ST-36, Du-20, right ear shenmen, left LV-3']",no physical contact between device and skin,"laser acupuncture device (VitaLaser 650, Lhasa OMS) manually positioned approximately 1-2 cm over acupoints; no palpation prior to positioning; laser turned off during actual treatment"
33551385,arm_sham_scrub,sham acupuncture and palm scrubbing tactical stimulations,tactile sham; tapping with a von Frey monofilament at the acupoint skin surface,5.88 von Frey monofilament,no penetration; skin surface only,LI-4 skin surface,gentle tapping at approximately 4 Hz,not_reported,not_reported,['LI-4'],skin surface only (no penetration),gentle tapping continuously applied at approximately 4 Hz during stimulation block
33560579,arm_sham,sham acupuncture,superficial needling at non-acupoint near SP3,same disposable stainless-steel needles (0.25 × 40 mm2),penetrating but shallow (1–3 mm),sham acupoint approximately 10 mm anterior to SP3,same manipulation technique as effective acupuncture but without achieving Deqi,no; without achieving Deqi,not_reported,[],shallow penetrating (1–3 mm depth only),same manipulation technique as the effective acupuncture session
33664320,arm_NACU,N-ACU (acupuncture treatment at non-acupoint on the hips),non-acupoint needling,not_reported,not_reported,non-acupoint on the hips,not_reported,not_reported,not_reported,[],not_reported,not_reported
34108856,arm_SA,sham acupuncture group,non-acupoint stimulation located midway between SP6 and the Urinary Bladder Meridian,disposable stainless steel acupuncture needles (same as real),perpendicular insertion,midway between SP6 and the Urinary Bladder Meridian,same manipulation as real acupuncture (twirling bidirectionally from 90° to 180°),not_reported,patients had not previously received acupuncture and could not distinguish which acupoints were being stimulated,[],perpendicular insertion,"twirling needles bidirectionally from 90° to 180°; needles inserted at 1, 3, 5, and 7 min, twirled at 2, 4, and 6 min (at a rate of approximately 120 times per minute), then left in place at the end of 7 min"
34671239,SA,Sham Acupuncture (SA),Non-acupoint penetrating sham acupuncture,Same stainless steel filiform needles as TA group,Penetrating; punctured perpendicularly 0.5 to 1 cm,"Non-acupoints: medial arm at deltoid/biceps junction, mid-thigh 2 cm lateral to midpoint, edge of tibia 1-2 cm lateral to ST36, halfway between elbow tip and axillae, halfway between epicondylus medialis of humerus and ulnar side of wrist bilaterally",not_reported explicitly; no Deqi elicited,No; subjects in the SA group did not experience Deqi,not_reported,[],Penetrating (all sham points punctured perpendicularly 0.5 to 1 cm),not_reported explicitly for SA; subjects in the SA group did not experience Deqi
35832324,arm_nonacupoint,group of acupuncture at non-acupoint,non-acupoint needling,not_reported,not_reported,2-cm to the left of Neiguan point,not_reported,not_reported,not_reported,[],not_reported,not_reported
35968386,arm_NonEA,Non-EA,non-acupoint electroacupuncture,"same stimulator (model G6805, Suzhou Medical Appliance Factory, Shanghai, China)",inserted approximately 2–3 mm depth in each site,"bilateral hypochondrium, 2 cm above the posterior superior iliac spine and 3 cm lateral to the spine",disperse-dense-mode stimulation,not_reported,not_reported,[],inserted approximately 2–3 mm depth in each site,disperse-dense-mode stimulation
36051643,SA,sham acupuncture group,non-acupoint location needling,not_reported,not_reported,bilaterally at the midpoint between SP6 and the Bladder meridian,not_reported,not_reported,not_reported,[],not_reported,not_reported
36890655,arm_SA,sham acupuncture (SA),puncturing non-acupoints,"disposable stainless-steel needles (Hwato, China)",penetrating (needles inserted into non-acupoint locations),"non-acupoint 1 (NAP1), NAP2, NAP3, and NAP4; adjacent to acupoints, located in the knee area",gently manipulated to induce a specific acupuncture sensation (deqi),yes,single-blind; subjects kept single-blinded,[],penetrating (puncturing non-acupoints),The locations in the SA groups were gently manipulated to induce a specific acupuncture sensation (deqi)
36890655,arm_PB,placebo (PB),placebo capsule,placebo capsule (same dosage as celecoxib capsules),not_applicable,not_applicable,not_applicable,not_applicable,double-blinded to treatment,[],not_applicable,not_applicable
37383656,SATG,sham acupoint treatment group (SATG),sham acupoint stimulation at non-acupoint locations 20mm beside the true acupoints,Ande brand disposable acupuncture needles,not_reported,20mm beside the true acupoints,De qi sensations avoided in the manipulation,no; De qi avoided,not_reported,[],not_reported,not_reported; De qi sensations avoided in the manipulation in the SATG group
37408438,SA,sham acupuncture (SA),non-acupoint shallow acupuncture,same stainless steel filiform needles as TA,"shallow, 2 mm depth",five non-acupoints (non-acupoint 1–5 as described),without manual stimulation,No Deqi intended,not_reported,[],Shallow penetration (2 mm depth),without manual stimulation
37415858,arm_PHNT,phantom acupuncture (PHNT),phantom acupuncture,recorded video clip from participant's REAL session or best-matched participant's REAL session displayed during scan; acupuncturist mimicked needle insertion and rotation,no penetration; needle not inserted,left ST36 (mimicked only),acupuncturist mimicked acupuncture procedures of needle insertion and rotation in synchronizing with the acupuncturist's action in the video clip,no deqi intended; needling credibility was induced via visual/contextual manipulation,Needling credibility for PHNT was assessed by structural interviews at the end of the experiment; only 19 participants who reported needling credibility were included in the analysis,[],needle was not inserted into the acupoint (ST36),The acupuncturist mimicked the acupuncture procedures of needle insertion and rotation in synchronizing with the acupuncturist's action in the video clip during the PHNT session
37901421,arm_set1,Set 1 (0 J/cm2),0 mW output power; no actual energy input,Same RJ laser device (Handylaser Trion) set to 0 mW output,Contact (non-penetrating); same physical application as active groups,Bilateral PC6 (same acupoint as active groups),Same probe applied for 20 s with 0 mW output,not_reported,not_reported,"['PC6 (Neiguan)', 'bilateral PC6']",Contact (non-penetrating laser),not_reported
38651018,arm_AD_sham,"AD, Post-Treatment (Sham Acupuncture)","see protocol paper for more details (Kim J et al., 2021)",not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,[],not_reported,not_reported
38681626,SAS,sham-acupuncture stimulation (SAS) group,superficial needling at same acupoints; no manipulation; no De Qi,not_reported,superficial area of the same five acupoints,"same five acupoints as EAS group (DU20, EX-HN1, EX-HN5, EX-HN3, LI4)",No manipulation was performed during the entire treatment,not DE Qi was obtained from the acupuncture points,not_reported,"['Bai hui (DU20)', 'Si Shen Cong (EX-HN1)', 'Tai Yang (EX-HN5)', 'Yin Tang (EX-HN3)', 'He Gu (LI4)']",superficial area (needles put in the superficial area of the same five acupoints),No manipulation was performed during the entire treatment
39089662,SG,sham acupuncture group (SG),blunt-tipped non-penetrating needles for most non-acupoints; penetrating needle at NA5 to promote blinding,blunt-tipped needles (.30 × 25 mm) inserted into adhesive foam pads with no penetration into the skin; adhesive foam pads placed at non-acupoints,no penetration into the skin for most NAs; penetrating operation designed for NA5 with a conventional acupuncture needle inserted to 25 to 40 mm to promote blinding,7 NAs localized away from the relative meridians,no manipulations performed,no attempt to induce 'de qi' sensation,blunt-tipped needle inserted into adhesive foam pad; NA5 penetrating operation designed to promote blinding,[],no penetration into the skin for most NAs; penetrating operation for NA5,no manipulations performed for sham acupuncture intervention
39368604,arm_sham,fluoxetine + sham acupuncture,non-penetrating sham using empty plastic needle sheath to tap skin,short plastic needle sheath not containing the needle,needle was not inserted into the skin through the sheath,same acupoints as real group,acupuncturist used only the short plastic needle sheath to tap the skin at the acupoint,not_reported,not_reported,"['CV8 (umbilicus)', 'Zhongwan (RN12)', 'Xiawan (RN10)', 'Qihai (RN6)', 'Guanyuan (RN4)', 'Shangqu (KL17)', 'Huamen (ST24)', 'Qipang (extra-point)']",needle was not inserted into the skin through the sheath,"acupuncturist used only the short plastic needle sheath, not containing the needle, to tap the skin at the acupoint"
39468590,arm_control,control group,superficial needling at same acupoints,"same disposable acupuncture needles (inferred from context, not explicitly stated for sham)",2-3 mm into the skin,same acupoints as authentic acupuncture group,connected to electro-stimulator without electrical stimulation,not_reported; authors note this procedure still needed to penetrate the skin shallowly which can cause needle sensation,not_reported,"['ST9 (Renying)', 'ST10 (Shuitu)', 'ST21 (Liangmen)', 'ST25 (Tianshu)', 'ST29 (Guilai)', 'ST36 (Zusanli)', 'ST40 (Fenglung)', 'ST44 (Neiting)']",needles were penetrated only 2-3 mm into the skin,"needles in ST25, ST29, ST36, and ST40 were connected to the electro-stimulator without electrical stimulation"
39543627,arm_SA,sham acupuncture (SA),shallow needle insertion at non-acupoints,not_reported,"yes, shallow (2–3 mm)","non-acupoints located 2 cm lateral to DU20, RN12, and ST36, which were not part of any known meridian or traditional acupoint",no needle manipulation was performed after insertion,not_reported,not_reported,[],"yes, shallow","After the needle was inserted into the skin, no needle manipulation was performed"
39648209,arm_SSRIs_SIA,SSRIs + SIA,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,[],not_applicable,not_applicable
39654647,arm_sham_acu,Sham acupuncture (SA) / placebo acupuncture,acupuncture treatment at non-acupoints,not_reported,not_reported,non-acupoints; non-meridian points,not_reported,De-qi avoided,not_reported,[],not_reported,not_reported
40584525,arm_sham,sham-acupoint group,non-meridian and non-acupoints located 0.5 cun away from actual acupoints,not_reported,not_reported,"0.5 cun away from the actual acupoints to be needled, bypassing the acupoints",consistent with those of the true-acupoint group,not_reported,not_reported,[],not_reported,acupuncture intervention measures and the protocol are all consistent with those of the true-acupoint group
40634927,SG,sham acupuncture group (SG),non-insertive acupuncture treatment on non-acupoints using sham needles with blunt tips,"sham needles with blunt tips (0.25×40 mm or 0.25×25 mm, Hwato, China)",did not penetrate the skin,non-acupoints (NA1-NA7 as shown in Fig. 1B),not_reported,did not require the 'De Qi' sensation,not_reported,[],Sham needles did not penetrate the skin,not_reported
