pmid,arm_id,arm_label,arm_type,n_assigned,n_analyzed_neuroimaging,disease_condition,acupuncture_modality,stimulation_type,acupoints_used,anatomical_location,laterality,penetration,depth,depth_mm,manipulation,needle_type,needle_size,electrical_stim,electrical_frequency,electrical_intensity,needle_retention,needle_retention_min,session_duration,session_duration_min,n_sessions,n_sessions_numeric,treatment_period,deqi_intended,participant_instructions,treatment_rationale,practitioner_description,blinding,study_design
20423216,arm_acupuncture,Acupuncture stimulation,verum_acupuncture,15,15.0,Healthy volunteers; no disease condition,manual_acupuncture,manual acupuncture,"['BL62 (Shenmai), right foot']","BL62 is located on the lateral aspect of the foot, directly inferior to the prominence of the lateral malleolus, in the depression between the inferior border of the lateral malleolus and the calcaneus",right,inserted into the skin,10 mm,10.0,"rotated bidirectionally at two times a second (2 Hz) for 30 seconds, after which it was removed immediately","Disposable stainless steel needles (Dongbang Acupuncture Inc., Seoul, Korea)",diameter 0.25 mm; length 30 mm,False,not_applicable,not_applicable,30 seconds (needle removed immediately after manipulation),0.5,4 minutes per paradigm block,4.0,Two acupuncture stimulation blocks within one scanning session,2.0,Single scanning session,"Needles were inserted in a manner to elicit a characteristic somatosensory reaction called de qi (numbness, tingling, fullness, and/or dull ache)",Participants were told that they would get acupuncture stimulations 4 times during fMRI scanning,"BL62 is the starting point of the Yang Heel Vessel, which is related to movement, sleep, and arousal",2 licensed oriental medical doctors who had 5 years of clinical experience; order of doctors was randomized,Participants did not know which doctor was performing acupuncture/sham and were told they would get acupuncture stimulations 4 times during fMRI scanning,Within-subject repeated-measures fMRI study; all subjects measured twice in the same scanning session with a block design
20423216,arm_sham,Sham stimulation,sham_acupuncture,15,15.0,Healthy volunteers; no disease condition,sham_needling,sham acupuncture,['right BL62'],right BL62,right,no penetration; skin was stimulated by poking,not_reported,,poking the skin at 2 Hz,blunt-type needle,not_reported,False,not_applicable,not_applicable,30 seconds (same paradigm as acupuncture),0.5,4 minutes per paradigm block (same paradigm as acupuncture),4.0,Two sham stimulation blocks within one scanning session,2.0,"Single scanning session, performed after acupuncture session",not_reported,Participants were told that they would get acupuncture stimulations 4 times during fMRI scanning; did not know which doctor was performing acupuncture/sham,not_reported,2 licensed oriental medical doctors; order of doctors was randomized,Participants did not know which doctor was performing acupuncture/sham and were told they would get acupuncture stimulations 4 times during fMRI scanning,Within-subject repeated-measures fMRI study; all subjects measured twice in the same scanning session with a block design
20838644,arm_verum,verum laser,verum_acupuncture,10,10.0,healthy individuals (no depression or psychiatric disorder),laser_acupuncture,"fibreoptic infrared laser, 808 nm, 25 mW",['LR14'],LR14 is in the vicinity of the 6th intercostal space on the mid clavicular line,right LR14,non-penetrating; laser held with light touch on skin surface,not_applicable,,stably held laser applied to skin by acupuncturist; switched on/off by computer signal time-locked to MRI acquisition,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,20-second blocks; 4 on-off cycles; 9 runs total per subject,,1 scanning session,1.0,single scanning session,not intended; low intensity laser does not produce skin sensation,relax and keep eyes closed during entire time in scanner,acupoints selected based on results from previous study (Quah-Smith et al. 2005) and TCM for mood disorders; LR14 lies on the liver (LR) meridian used to treat depression,acupuncturist (IQ-S),subjects blinded to verum vs placebo (laser off) stimulation due to absence of skin sensation from low-intensity laser,within-subject blocked fMRI design with randomized stimulation order
20838644,arm_placebo,placebo laser (laser off),placebo,10,10.0,healthy individuals (no depression or psychiatric disorder),other,fibreoptic infrared laser switched off,[],same locations as verum laser; laser held on skin but switched off,not_reported,non-penetrating,not_applicable,,"laser held with light touch on skin surface, switched off",not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,,20-second blocks alternating with verum laser blocks,,embedded within single scanning session,1.0,single scanning session,not intended,relax and keep eyes closed during entire time in scanner,placebo condition to enable blinding; subjects could not differentiate laser off from laser on,acupuncturist (IQ-S),subjects blinded to verum vs placebo (laser off) stimulation due to absence of skin sensation from low-intensity laser,within-subject blocked fMRI design with randomized stimulation order
21080967,arm_genuine_HE,genuine EA paired with high expectancy (HE),verum_acupuncture,,12.0,Healthy volunteers; experimental pain paradigm,electroacupuncture,electroacupuncture,"['LI3', 'LI4']","LI 3 is located in the depression proximal to the metacarpo-phalangeal joint. LI 4 is located on the dorsum of the hand, between the 1st and 2nd metacarpal bones, in the middle of the 2nd metacarpal bone on the radial side.",right hand,needles were inserted into the skin,about 1.5 cm,15.0,"adjusted until subjective deqi sensations, but no sharp pain, was evoked; intensity gradually increased to the highest level subjects could tolerate without the sensation of sharp pain",not_reported,not_reported,True,2 Hz,gradually increased to the highest level subjects could tolerate without the sensation of sharp pain; level of current was recorded for each subject,approximately 25 minutes total; three 6.5-minute current ON and four 1.5-minute current OFF blocks; fMRI scan acquired for 23.5 minutes,25.0,approximately 25 minutes treatment; 23.5-minute fMRI scan,25.0,Sessions 2 and 3 (behavioral and fMRI),2.0,not_reported,"yes; needles adjusted until subjective deqi sensations, but no sharp pain, was evoked",not_reported,Both LI 3 and LI 4 can produce analgesic effects according to acupuncture literature,licensed acupuncturist,Not explicitly described for participants beyond sham needle use; acupuncture-naive subjects; blinding success not formally assessed in this paper,Randomized placebo-controlled study with 2x2 factorial design (treatment mode x expectancy level); new analysis of previously collected fMRI dataset
21080967,arm_genuine_LE,genuine EA paired with low expectancy (LE),verum_acupuncture,,12.0,Healthy volunteers; experimental pain paradigm,electroacupuncture,electroacupuncture,"['LI3', 'LI4']","LI 3 is located in the depression proximal to the metacarpo-phalangeal joint. LI 4 is located on the dorsum of the hand, between the 1st and 2nd metacarpal bones, in the middle of the 2nd metacarpal bone on the radial side.",right hand,needles were inserted into the skin,about 1.5 cm,15.0,"adjusted until subjective deqi sensations, but no sharp pain, was evoked; intensity gradually increased to the highest level subjects could tolerate without the sensation of sharp pain",not_reported,not_reported,True,2 Hz,gradually increased to the highest level subjects could tolerate without the sensation of sharp pain; level of current was recorded for each subject,approximately 25 minutes total; three 6.5-minute current ON and four 1.5-minute current OFF blocks,25.0,approximately 25 minutes treatment; 23.5-minute fMRI scan,25.0,Sessions 2 and 3,2.0,not_reported,"yes; needles adjusted until subjective deqi sensations, but no sharp pain, was evoked",not_reported,Both LI 3 and LI 4 can produce analgesic effects according to acupuncture literature,licensed acupuncturist,Not explicitly described for participants beyond sham needle use; acupuncture-naive subjects; blinding success not formally assessed in this paper,Randomized placebo-controlled study with 2x2 factorial design (treatment mode x expectancy level); new analysis of previously collected fMRI dataset
21080967,arm_sham_HE,sham EA paired with high expectancy (HE),sham_acupuncture,,12.0,Healthy volunteers; experimental pain paradigm,sham_needling,sham electroacupuncture,"['LI3', 'LI4']",same acupoints as genuine EA: LI3 and LI4 on the right hand,right hand,placed on the surface of the skin (non-penetrating),surface of the skin (no penetration),0.0,connected to a de-activated electroacupuncture device; no current applied,specially-designed Streitberger sham acupuncture needles,not_reported,False,not_applicable,not_applicable; de-activated device,same total scan time as genuine EA group,25.0,same total scan time as genuine EA group,25.0,Sessions 2 and 3,2.0,not_reported,not_reported,not_reported,not_reported,licensed acupuncturist,Not explicitly described for participants beyond sham needle use; acupuncture-naive subjects; blinding success not formally assessed in this paper,Randomized placebo-controlled study with 2x2 factorial design (treatment mode x expectancy level); new analysis of previously collected fMRI dataset
21080967,arm_sham_LE,sham EA paired with low expectancy (LE),sham_acupuncture,,12.0,Healthy volunteers; experimental pain paradigm,sham_needling,sham electroacupuncture,"['LI3', 'LI4']",same acupoints as genuine EA: LI3 and LI4 on the right hand,right hand,placed on the surface of the skin (non-penetrating),surface of the skin (no penetration),0.0,connected to a de-activated electroacupuncture device; no current applied,specially-designed Streitberger sham acupuncture needles,not_reported,False,not_applicable,not_applicable; de-activated device,same total scan time as genuine EA group,25.0,same total scan time as genuine EA group,25.0,Sessions 2 and 3,2.0,not_reported,not_reported,not_reported,not_reported,licensed acupuncturist,Not explicitly described for participants beyond sham needle use; acupuncture-naive subjects; blinding success not formally assessed in this paper,Randomized placebo-controlled study with 2x2 factorial design (treatment mode x expectancy level); new analysis of previously collected fMRI dataset
21794103,arm_EA,Electroacupuncture (EA),verum_acupuncture,16,16.0,Healthy volunteers,electroacupuncture,Electrical stimulation delivered via inserted acupuncture needle,"['PC-6 (pericardium-6, neiguan)']",left medial forearm,left,insertive (needle inserted into skin),not_reported,,"Needle insertion and manipulation to elicit deqi sensation, after which electrical current was delivered",not_reported,not_reported,True,2 Hz,"Set to level at which subjects indicated feeling a 'strong but not painful' sensation; delivered as monophasic rectangular, constant-current pulse (pulse width: 0.2 ms at 2 Hz) using a GRASS stimulator (S88 Dual Output Square Pulse Stimulator, Grass Telefactor, West Warwick, RI)",15 minutes,15.0,15 minutes,15.0,1,1.0,Single session,Yes; needle manipulated to elicit deqi sensation,Subjects were seated with their head in the dewar and instructed to fixate on a centrally presented '+' sign; subjects wore earplugs throughout the experiment; wore a plastic brace on their forearm to prevent fist clenching and excessive hand movement,Clinically relevant parameters (2 Hz stimulus rate and > 10 min. duration) to mimic clinical acupuncture intervention procedures; forearm acupoints chosen based on ease of access and MEG bias towards superficial brain activity,All acupuncture was performed by the same licensed acupuncturist,Participants were prevented from viewing insertion and stimulation procedures through the use of an opaque screen; participants told they would receive 'two different types' of acupuncture,Within-subject crossover experiment; healthy subjects received both EA and AP in randomized order with MEG recording
21794103,arm_AP,Acupressure (AP),verum_acupuncture,16,16.0,Healthy volunteers,other,Mechanical percussive stimulation (non-invasive tapping) using piezo-electric device,"['PC-6 (pericardium-6, neiguan)']",left medial forearm,left,non-insertive,not_reported,,AP insertion simulated using wooden toothpick with guide tube (previously validated technique); toothpick manipulated and subjects asked what sensations they felt and if there was any pain; then piezo-stimulator tip lowered over acupoint; stimulation consisted of 2 Hz mechanical pecking,"Blunt/non-insertive; wooden toothpick positioned at acupoint with guide tube (simulating needle insertion); piezo-electric cantilever beam (Piezo Bender Q-503B, Piezo Systems, Cambridge, MA) for stimulation",not_reported,False,not_applicable,not_applicable,15 minutes,15.0,15 minutes,15.0,1,1.0,Single session,Subjects asked what sensations they felt during insertion simulation,Subjects were seated with their head in the dewar and instructed to fixate on a centrally presented '+' sign; subjects wore earplugs throughout the experiment; wore a plastic brace on their forearm to prevent fist clenching and excessive hand movement,Clinically relevant parameters (2 Hz stimulus rate and > 10 min. duration) to mimic clinical acupuncture intervention procedures; AP mimics 'acupressure' or blunt non-insertive needle (Teishein needle) tapping; stimulus waveform was a single lobe from a 100 Hz half-sine wave (pulse width 5 ms),All acupuncture was performed by the same licensed acupuncturist,Participants were prevented from viewing insertion and stimulation procedures through the use of an opaque screen; participants told they would receive 'two different types' of acupuncture,Within-subject crossover experiment; healthy subjects received both EA and AP in randomized order with MEG recording
22291848,arm_CV4,Electroacupuncture at CV4 (Guanyuan),verum_acupuncture,21,20.0,Healthy volunteers; no disease condition,electroacupuncture,electroacupuncture,"['CV4', 'Guanyuan']",middle line of the abdomen; Conception Vessel; localized according to Names and Localizations of Acupoints (GB/T12346-2006),midline,inserted perpendicularly,about 2.5 cm,25.0,Two acupuncturists managed manual acupuncture using similar moderate reinforcing and reducing method,"Silver needles (Huatuo, manufactured by Suzhou Medical Appliance Manufactory, Jiangsu, China)","diameter 0.35 mm, length 40 mm",True,15 Hz; constant bidirectional square current,"3 mA ± 1.06; adjusted to participant's best tolerated magnitude without noxious (sharp) pain; Han's Acupuncture Nerve Stimulator (LH204H, Neuroscience Research Center, Peking University)",Needle retained throughout all sessions; removed after R4 (end of EA session),,5 minutes per session (EA session),5.0,1 session per acupoint,1.0,Single visit; CV4 test followed by CV12 test (or vice versa) with 10 minute interval in half of subjects,Yes; participants instructed of possible deqi sensations and asked to report deqi sensations as well as sharp pain,Participants were told to rest in the scanner before needle insertion; instructed of possible deqi sensations; asked to report deqi sensations as well as sharp pain; in supine position and unable to see acupuncture procedures,"According to classic acupuncture theories and clinical reports, CV4 has invigorating effects on the whole body and can regulate the function of the genitourinary system",Two acupuncturists,Participants were in the supine position and unable to see the acupuncture procedures; blinding of participants to condition type not explicitly described; no mention of assessor blinding,Within-subject crossover fMRI study; each participant received electroacupuncture at both CV4 and CV12 with counterbalanced order
22291848,arm_CV12,Electroacupuncture at CV12 (Zhongwan),verum_acupuncture,21,18.0,Healthy volunteers; no disease condition,electroacupuncture,electroacupuncture,"['CV12', 'Zhongwan']",middle line of the abdomen; Conception Vessel; localized according to Names and Localizations of Acupoints (GB/T12346-2006),midline,inserted perpendicularly,about 2.5 cm,25.0,Two acupuncturists managed manual acupuncture using similar moderate reinforcing and reducing method,"Silver needles (Huatuo, manufactured by Suzhou Medical Appliance Manufactory, Jiangsu, China)","diameter 0.35 mm, length 40 mm",True,15 Hz; constant bidirectional square current,"3.12 mA ± 0.78; adjusted to participant's best tolerated magnitude without noxious (sharp) pain; Han's Acupuncture Nerve Stimulator (LH204H, Neuroscience Research Center, Peking University)",Needle retained throughout all sessions; removed after R4 (end of EA session),,5 minutes per session (EA session),5.0,1 session per acupoint,1.0,Single visit; CV12 test followed by CV4 test (or vice versa) with 10 minute interval,Yes; participants instructed of possible deqi sensations and asked to report deqi sensations as well as sharp pain,Participants were told to rest in the scanner before needle insertion; instructed of possible deqi sensations; asked to report deqi sensations as well as sharp pain; in supine position and unable to see acupuncture procedures,"According to classic acupuncture theories and clinical reports, CV12 has regulatory effects on functions of the gastrointestinal system",Two acupuncturists,Participants were in the supine position and unable to see the acupuncture procedures; blinding of participants to condition type not explicitly described; no mention of assessor blinding,Within-subject crossover fMRI study; each participant received electroacupuncture at both CV4 and CV12 with counterbalanced order
22761766,arm_acup,ACUP,verum_acupuncture,9,,healthy volunteers,manual_acupuncture,manual acupuncture with rotational needle manipulation,"['ST36', 'Zusanli']",located four finger width below the lower margin of the patella and one finger width laterally from the anterior crest of the tibia,not_reported,needle inserted perpendicularly to the skin surface,15 mm,15.0,"needle manipulated rotationally with a flipping range of ±180° at a frequency of 120 flips/min for 1 min at 0 minutes, 7 minutes and 14 minutes",disposable sterile needles,"40 mm long x 0.30 mm diameter supplied by Huatuo, Suzhou Medical Application Company",False,not_applicable,not_applicable,twenty minutes per run,20.0,"total experiment lasted 57 minutes: initial rest scan 6 min, 20 min acupuncture treatment, 25-min resting period after needle removed, 6-min post-acupuncture scan",57.0,"one session per week; two sessions total (one ACUP, one SHAM) alternated each week",1.0,groups alternated each week,not_reported,instructed to remain tranquil without engaging in any mental task; asked to keep eyes closed,"ST36 is the most frequently used acupuncture point in Chinese acupuncture, especially for treating pain, hypertension, gastrointestinal and other physiological dysfunctions; emulated actual clinical practice of acupuncture in its entirety",same experienced and licensed acupuncturist on all subjects,subjects not informed of the order in which the two runs would be carried out; subjects instructed to keep eyes closed to prevent observation of procedures,within-subject crossover fMRI study; participants scanned before and after acupuncture at ST36 acupoint (ACUP) and sham point (SHAM)
22761766,arm_sham,SHAM,sham_acupuncture,9,,healthy volunteers,sham_needling,needling at nonmeridian points,[],nonmeridian points 2–3 cm away from ST36,not_reported,needle inserted perpendicularly to the skin surface,15 mm (identical to ACUP),15.0,"stimulation intensity and manipulation identical to that of ACUP group; rotational manipulation with flipping range ±180° at 120 flips/min for 1 min at 0, 7, and 14 minutes",disposable sterile needles,"40 mm long x 0.30 mm diameter supplied by Huatuo, Suzhou Medical Application Company",False,not_applicable,not_applicable,twenty minutes per run,20.0,"total experiment lasted 57 minutes: initial rest scan 6 min, 20 min sham treatment, 25-min resting period after needle removed, 6-min post-acupuncture scan",57.0,one session per week; alternated with ACUP each week,1.0,groups alternated each week,not_reported,instructed to remain tranquil without engaging in any mental task; asked to keep eyes closed,Sham point stimulation devised with needling at nonmeridian points with the same acupuncture method used in the acupoints,same experienced and licensed acupuncturist on all subjects,subjects not informed of the order in which the two runs would be carried out; subjects instructed to keep eyes closed to prevent observation of procedures,within-subject crossover fMRI study; participants scanned before and after acupuncture at ST36 acupoint (ACUP) and sham point (SHAM)
22916152,arm_AD,AD,other,14,14.0,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),,,[],,,,,,,,,,,,,,,,,,,,,,,"fMRI post-processing was performed by a single experienced observer, unaware to whom the scans belonged","single block experimental design, within-subject fMRI study with three conditions (resting state, acupuncture stimulation, post-acupuncture resting state), three groups (MCI, AD, healthy controls)"
22916152,arm_MCI,MCI,other,8,8.0,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),,,[],,,,,,,,,,,,,,,,,,,,,,,"fMRI post-processing was performed by a single experienced observer, unaware to whom the scans belonged","single block experimental design, within-subject fMRI study with three conditions (resting state, acupuncture stimulation, post-acupuncture resting state), three groups (MCI, AD, healthy controls)"
22916152,arm_NOR,NOR,healthy_control,14,14.0,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),,,[],,,,,,,,,,,,,,,,,,,,,,,"fMRI post-processing was performed by a single experienced observer, unaware to whom the scans belonged","single block experimental design, within-subject fMRI study with three conditions (resting state, acupuncture stimulation, post-acupuncture resting state), three groups (MCI, AD, healthy controls)"
23152865,arm_A,Group A,verum_acupuncture,11,11.0,myopia,manual_acupuncture,manual acupuncture,['left LR3 (Taichong)'],muscle bulk between the 1st and 2nd phalangeals on the dorsum of the left foot,left,insertion into the real acupoint,approximately 10 mm,10.0,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds (60 scans),"sterile, single-use silver needle",25 mm in length × 0.30 mm in diameter,False,not_applicable,not_applicable,180 seconds (60 scans),3.0,402 scans total per subject,,1,1.0,single session,not_reported,told they would receive acupuncture treatment which would surely benefit their myopia before MRI scan (treatment instruction),acupuncture treatment which would surely benefit their myopia,"Dr. Jianyang Xu, the General Hospital of the Armed Police Forces",participant-blinded,"2×2 randomized, controlled, participant-blinded cross-over factorial acupuncture trial"
23152865,arm_B,Group B,verum_acupuncture,11,11.0,myopia,manual_acupuncture,manual acupuncture,['left LR3 (Taichong)'],muscle bulk between the 1st and 2nd phalangeals on the dorsum of the left foot,left,insertion into the real acupoint,approximately 10 mm,10.0,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds (60 scans),"sterile, single-use silver needle",25 mm in length × 0.30 mm in diameter,False,not_applicable,not_applicable,180 seconds (60 scans),3.0,402 scans total per subject,,1,1.0,single session,not_reported,told they were participating in an experiment to estimate a medical machine's sensitivity of detecting tactile signals (non-treatment instruction),experiment to estimate a medical machine's sensitivity of detecting tactile signals,"Dr. Jianyang Xu, the General Hospital of the Armed Police Forces",participant-blinded,"2×2 randomized, controlled, participant-blinded cross-over factorial acupuncture trial"
23152865,arm_C,Group C,sham_acupuncture,10,10.0,myopia,sham_needling,sham acupuncture at sham acupoint,[],approximately 10 mm anterior to LR3 classical site on the dorsum of the left foot,left,insertion into the sham acupoint,approximately 10 mm,10.0,twirled manually clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 180 seconds (60 scans),"sterile, single-use silver needle",25 mm in length × 0.30 mm in diameter,False,not_applicable,not_applicable,180 seconds (60 scans),3.0,402 scans total per subject,,1,1.0,single session,not_reported,told they would receive acupuncture treatment which would surely benefit their myopia before MRI scan (treatment instruction),acupuncture treatment which would surely benefit their myopia,"Dr. Jianyang Xu, the General Hospital of the Armed Police Forces",participant-blinded,"2×2 randomized, controlled, participant-blinded cross-over factorial acupuncture trial"
