pmid,contrast_id,contrast_category,brain_region,hemisphere,x,y,z,coordinate_space,statistic_type,statistic_value,cluster_size,direction,coordinate_source,x_mni,y_mni,z_mni,region_assigned
16407533,16399_C4,sham_post_gt_pre,Posterior cingulate,R,8.0,-34.0,34.0,MNI,Z,4.22,801,Placebo > Control,Table 5,8.0,-34.0,34.0,"Cort_Cingulate Gyrus, posterior division"
16407533,16399_C4,sham_post_gt_pre,Bilateral rACC,R,4.0,44.0,8.0,MNI,Z,4.03,578,Placebo > Control,Table 5,4.0,44.0,8.0,"Cort_Cingulate Gyrus, anterior division"
16407533,16399_C4,sham_post_gt_pre,Right inferior parietal cortex,R,62.0,-30.0,50.0,MNI,Z,4.0,263,Placebo > Control,Table 5,62.0,-30.0,50.0,"Cort_Supramarginal Gyrus, anterior division"
16407533,16399_C4,sham_post_gt_pre,Left inferior parietal cortex,L,-56.0,-54.0,46.0,MNI,Z,3.94,574,Placebo > Control,Table 5,-56.0,-54.0,46.0,Cort_Angular Gyrus
16407533,16399_C4,sham_post_gt_pre,Left middle/inferior frontal gyrus,L,-50.0,44.0,12.0,MNI,Z,3.6,91,Placebo > Control,Table 5,-50.0,44.0,12.0,Cort_Frontal Pole
16407533,16399_C4,sham_post_gt_pre,Right superior frontal gyrus,R,18.0,32.0,50.0,MNI,Z,3.52,264,Placebo > Control,Table 5,18.0,32.0,50.0,Cort_Superior Frontal Gyrus
16407533,16399_C4,sham_post_gt_pre,Right superior frontal gyrus,R,4.0,68.0,16.0,MNI,Z,3.39,95,Placebo > Control,Table 5,4.0,68.0,16.0,Cort_Frontal Pole
16407533,16399_C4,sham_post_gt_pre,Left inferior frontal gyrus,L,-46.0,6.0,26.0,MNI,Z,3.05,23,Placebo > Control,Table 5,-46.0,6.0,26.0,"Cort_Inferior Frontal Gyrus, pars opercularis"
16407533,16399_C4,sham_post_gt_pre,Left inferior frontal gyrus,L,-50.0,20.0,-6.0,MNI,Z,3.04,50,Placebo > Control,Table 5,-50.0,20.0,-6.0,unassigned
16407533,16399_C5,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,NR,not_reported,not_reported,Placebo > Control,Figure 2B caption,46.0,20.0,-4.0,Cort_Frontal Opercular Cortex
16407533,16399_C6,sham_post_gt_pre,Bilateral rACC,midline,2.0,44.0,10.0,MNI,NR,not_reported,not_reported,Placebo > Control,Figure 2C caption,2.0,44.0,10.0,"Cort_Cingulate Gyrus, anterior division"
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,pgACC,R,13.0,40.0,6.0,Talairach,Z-score,-3.30,not_reported,negative interaction,table,13.1076,39.028000000000006,3.573400000000001,unassigned
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,amACC,L,-3.0,13.0,34.0,Talairach,Z-score,-3.70,not_reported,negative interaction,table,-1.6235999999999997,14.1584,30.6121,"Cort_Cingulate Gyrus, anterior division"
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,amACC,R,8.0,26.0,27.0,Talairach,Z-score,-3.42,not_reported,negative interaction,table,8.9892,26.4308,23.549300000000002,"Cort_Cingulate Gyrus, anterior division"
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,rspPCC,L,-7.0,-53.0,25.0,Talairach,Z-score,-3.30,not_reported,negative interaction,table,-5.9399999999999995,-50.196400000000004,25.543,"Cort_Cingulate Gyrus, posterior division"
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Amyg,L,-21.0,-8.0,-13.0,Talairach,Z-score,-4.33,not_reported,negative interaction; CTS patients show fMRI signal decrease (deactivation) in response to verum acupuncture,table,-21.3048,-8.3484,-11.5577,Sub_Left Amygdala
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,DLPFC,L,-20.0,49.0,9.0,Talairach,Z-score,-3.00,not_reported,negative interaction,table,-19.4436,47.885200000000005,5.893600000000001,unassigned
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,VMPFC,R,8.0,41.0,-6.0,Talairach,Z-score,-4.15,not_reported,negative interaction,table,7.6823999999999995,39.444799999999994,-7.501900000000001,Cort_Paracingulate Gyrus
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,LatHypothA,L,-7.0,-6.0,-8.0,Talairach,Z-score,2.88,not_reported,positive interaction; CTS patients show fMRI signal increase (activation) in response to verum acupuncture,table,-7.2467999999999995,-6.1808000000000005,-7.0602,unassigned
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,aInsula,L,-34.0,7.0,-4.0,Talairach,Z-score,-3.16,not_reported,negative interaction,table,-33.8184,6.5976,-4.0151,unassigned
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Septal Area,R,2.0,0.0,8.0,Talairach,Z-score,-3.57,not_reported,negative interaction,table,2.2968,0.368,7.3512,unassigned
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,SMA,L,-6.0,-19.0,51.0,Talairach,Z-score,-4.15,not_reported,negative interaction,table,-3.9203999999999994,-16.0612,47.7854,Cort_Precentral Gyrus
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,SI (3b/1),L,-42.0,-32.0,45.0,Talairach,Z-score,-4.08,not_reported,negative interaction,table,-39.797999999999995,-28.9316,42.9025,Cort_Postcentral Gyrus
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Thalamus,R,13.0,-12.0,13.0,Talairach,Z-score,-2.85,not_reported,negative interaction,table,13.384799999999998,-11.0276,12.527700000000001,Sub_Right Thalamus
17240066,contrast_sham_CTS_vs_HC,group_comparison,pgACC (24/32)/VMPFC,L,-3.0,34.0,-3.0,Talairach,Z-score,3.14,not_reported,CTS > HC,table,-3.0888,32.8012,-4.4057,"Cort_Cingulate Gyrus, anterior division"
17240066,contrast_sham_CTS_vs_HC,group_comparison,Hippocampus,L,-30.0,-21.0,-9.0,Talairach,Z-score,3.17,not_reported,CTS > HC,table,-30.0564,-20.7588,-7.251600000000002,unassigned
17240066,contrast_sham_CTS_vs_HC,group_comparison,pInsula,L,-38.0,-10.0,10.0,Talairach,Z-score,2.83,not_reported,CTS > HC,table,-37.224,-9.228000000000002,9.674,Cort_Insular Cortex
17240066,contrast_sham_CTS_vs_HC,group_comparison,SI,L,-25.0,-27.0,59.0,Talairach,Z-score,4.80,not_reported,CTS > HC,table,-22.4136,-23.4436,55.5246,unassigned
17240066,contrast_sham_CTS_vs_HC,group_comparison,SII,L,-54.0,-16.0,14.0,Talairach,Z-score,3.66,not_reported,CTS > HC,table,-52.9056,-14.8568,13.640600000000001,Cort_Central Opercular Cortex
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,amACC,R,7.0,28.0,23.0,Talairach,Z-score,-3.27,not_reported,negative interaction,table,7.8408,28.1844,19.7767,"Cort_Cingulate Gyrus, anterior division"
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,Amygdala,L,-22.0,-8.0,-11.0,Talairach,Z-score,-3.79,not_reported,negative interaction; CTS baseline shows greater deactivation in response to verum acupuncture,table,-22.215600000000002,-8.2564,-9.7199,Sub_Left Amygdala
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,VMPFC,R,12.0,48.0,-11.0,Talairach,Z-score,-3.37,not_reported,negative interaction,table,11.444399999999998,45.9964,-12.4359,unassigned
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,LatHypothA,L,-8.0,-8.0,-7.0,Talairach,Z-score,3.37,not_reported,positive interaction; CTS baseline shows activation in response to verum acupuncture,table,-8.1972,-8.0724,-6.044300000000001,unassigned
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,aInsula,R,37.0,2.0,3.0,Talairach,Z-score,-3.54,not_reported,negative interaction,table,36.7488,2.0756,2.6597000000000004,unassigned
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,a/pInsula,L,-37.0,-3.0,7.0,Talairach,Z-score,-3.95,not_reported,negative interaction,table,-36.3528,-2.5844,6.577800000000001,Cort_Insular Cortex
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,SI (3b/1),L,-21.0,-28.0,55.0,Talairach,Z-score,-4.37,not_reported,negative interaction,table,-18.612,-24.5964,51.8975,unassigned
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,cuneus,L,-16.0,-74.0,28.0,Talairach,Z-score,-3.66,not_reported,negative interaction,table,-14.7312,-70.4032,29.3182,Cort_Precuneous Cortex
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,SMG (40),R,59.0,-36.0,37.0,Talairach,Z-score,3.96,not_reported,positive interaction,table,59.8752,-33.174800000000005,35.74530000000001,"Cort_Supramarginal Gyrus, anterior division"
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,SPL (7),R,29.0,-50.0,60.0,Talairach,Z-score,-3.55,not_reported,negative interaction,table,31.086000000000002,-45.68,57.559,Cort_Superior Parietal Lobule
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,VMPFC,L,-1.0,43.0,-7.0,Talairach,Z-score,2.85,not_reported,positive interaction,table,-1.2671999999999999,41.3364,-8.517800000000001,Cort_Paracingulate Gyrus
17240066,17532141_C1,group_comparison,pgACC,R,13.0,40.0,6.0,TAL,Z,-3.3,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,13.1076,39.028000000000006,3.573400000000001,unassigned
17240066,17532141_C1,group_comparison,amACC,L,-3.0,13.0,34.0,TAL,Z,-3.7,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-1.6235999999999997,14.1584,30.6121,"Cort_Cingulate Gyrus, anterior division"
17240066,17532141_C1,group_comparison,amACC,R,8.0,26.0,27.0,TAL,Z,-3.42,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,8.9892,26.4308,23.549300000000002,"Cort_Cingulate Gyrus, anterior division"
17240066,17532141_C1,group_comparison,rspPCC,L,-7.0,-53.0,25.0,TAL,Z,-3.3,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-5.9399999999999995,-50.196400000000004,25.543,"Cort_Cingulate Gyrus, posterior division"
17240066,17532141_C1,group_comparison,Amyg,L,-21.0,-8.0,-13.0,TAL,Z,-4.33,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-21.3048,-8.3484,-11.5577,Sub_Left Amygdala
17240066,17532141_C1,group_comparison,DLPFC,L,-20.0,49.0,9.0,TAL,Z,-3.0,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-19.4436,47.885200000000005,5.893600000000001,unassigned
17240066,17532141_C1,group_comparison,VMPFC,R,8.0,41.0,-6.0,TAL,Z,-4.15,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,7.6823999999999995,39.444799999999994,-7.501900000000001,Cort_Paracingulate Gyrus
17240066,17532141_C1,group_comparison,LatHypothA,L,-7.0,-6.0,-8.0,TAL,Z,2.88,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-7.2467999999999995,-6.1808000000000005,-7.0602,unassigned
17240066,17532141_C1,group_comparison,aInsula,L,-34.0,7.0,-4.0,TAL,Z,-3.16,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-33.8184,6.5976,-4.0151,unassigned
17240066,17532141_C1,group_comparison,Septal Area,midline,2.0,0.0,8.0,TAL,Z,-3.57,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,2.2968,0.368,7.3512,unassigned
17240066,17532141_C1,group_comparison,SMA,L,-6.0,-19.0,51.0,TAL,Z,-4.15,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-3.9203999999999994,-16.0612,47.7854,Cort_Precentral Gyrus
17240066,17532141_C1,group_comparison,SI,L,-42.0,-32.0,45.0,TAL,Z,-4.08,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,-39.797999999999995,-28.9316,42.9025,Cort_Postcentral Gyrus
17240066,17532141_C1,group_comparison,Thalamus,R,13.0,-12.0,13.0,TAL,Z,-2.85,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1,13.384799999999998,-11.0276,12.527700000000001,Sub_Right Thalamus
17240066,17532141_C3,group_comparison,amACC,R,7.0,28.0,23.0,TAL,Z,-3.27,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3,7.8408,28.1844,19.7767,"Cort_Cingulate Gyrus, anterior division"
17240066,17532141_C3,group_comparison,Amygdala,L,-22.0,-8.0,-11.0,TAL,Z,-3.79,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3,-22.215600000000002,-8.2564,-9.7199,Sub_Left Amygdala
17240066,17532141_C3,group_comparison,VMPFC,R,12.0,48.0,-11.0,TAL,Z,-3.37,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3,11.444399999999998,45.9964,-12.4359,unassigned
17240066,17532141_C3,group_comparison,LatHypothA,L,-8.0,-8.0,-7.0,TAL,Z,3.37,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3,-8.1972,-8.0724,-6.044300000000001,unassigned
17240066,17532141_C3,group_comparison,aInsula,R,37.0,2.0,3.0,TAL,Z,-3.54,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3,36.7488,2.0756,2.6597000000000004,unassigned
