sham_subtype,n_studies,n_arms,Afferent_Input_Index_mean,Afferent_Input_Index_sd,Cognitive_Anchoring_mean,Cognitive_Anchoring_sd,PC1_mean,PC1_sd,PC2_mean,PC2_sd
shallow needle insertion at non-acupoints,1,2,0.1031357237137031,0.0,0.6138524612841191,0.0,-0.0128084616852067,0.0,2.2056555784905156,0.0
sham acupoint,1,2,-0.0410046247398612,0.0,0.6138524612841191,0.0,1.2196489410718174,0.0,-1.642573776506985,0.0
sham acupoint stimulation at non-acupoint locations 20mm beside the true acupoints,1,1,-0.0613115596482488,,0.4715412097179774,,-0.8098674208260236,,1.8117194024459244,
sham acupuncture points shown in Supplementary Materials,1,2,,,-0.2560593874895923,0.0,0.1418861216491139,0.0,-0.4140209149974997,0.0
sham needle tapping skin without penetration at true acupoint,1,1,-0.3755528261622392,,0.6138524612841191,,-0.8560283659095989,,1.0670648820632858,
subcutaneous needle insertion without electrical stimulation,1,2,-0.288279759436727,0.0,-0.6590789715644428,0.0,-1.2637667692208794,0.0,-0.0690066444612234,0.0
superficial needling at non-acupoint locations adjacent to true acupoints,1,1,0.016742197068243,,-0.0588107161837159,,-0.4670490230314827,,1.4631578179876514,
superficial needling at non-acupoint near SP3,1,2,-0.0171051381628971,0.0,0.6138524612841191,0.0,0.7695156275882795,0.0,-0.554527889410817,0.0
superficial needling at non-meridian sham acupoints,1,1,0.1680184396922248,,0.6138524612841191,,0.403858018229931,,1.452063490739025,
superficial needling at same acupoints,1,4,0.0209120820327271,0.0,-0.0588107161837159,0.0,-0.6308812311232987,0.0,1.6109661933954973,0.0
superficial needling at same acupoints; no manipulation; no De Qi,1,1,0.0702462670413127,,-0.0588107161837159,,-0.5734443570533929,,1.8105700764832229,
tactile sham; tapping with a von Frey monofilament at the acupoint skin surface,1,1,-0.4008901075949249,,0.0835005353824255,,-0.2114172363397315,,-0.4342965563219293,
tactile stimulation with von Frey filament at non-acupoints,1,2,-0.4008901075949249,0.0,0.6138524612841191,0.0,-0.2946753025926132,0.0,0.0991297912080407,0.0
tactile stimulation with von Frey monofilament,1,2,-0.4686013997091605,0.0,0.6138524612841191,0.0,-0.3031537167105146,0.0,-0.647490233462982,0.0
true needle insertion at non-acupoint/sham acupoint location,1,1,0.3498056821503946,,0.6138524612841191,,1.242540659190151,,0.373300290104776,
