pmid,contrast_id,contrast_category,brain_region,hemisphere,x,y,z,coordinate_space,statistic_type,statistic_value,cluster_size,direction,coordinate_source
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right anterior insula,right,46.0,20.0,-4.0,MNI,Z score,3.43,47,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left SII,left,-62.0,-26.0,24.0,MNI,Z score,3.28,83,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left thalamus,left,-4.0,-12.0,8.0,MNI,Z score,3.21,33,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left pons,left,-8.0,-32.0,-36.0,MNI,Z score,3.12,29,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior frontal gyrus (47)/insula,right,56.0,28.0,-2.0,MNI,Z score,4.36,1717,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior parietal cortex,right,56.0,-50.0,32.0,MNI,Z score,4.28,766,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Posterior cingulate,not_reported,8.0,-34.0,34.0,MNI,Z score,4.22,801,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Bilateral rACC,bilateral,4.0,44.0,8.0,MNI,Z score,4.03,578,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right inferior parietal cortex,right,62.0,-30.0,50.0,MNI,Z score,4,263,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior parietal cortex,left,-56.0,-54.0,46.0,MNI,Z score,3.94,574,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left middle/inferior frontal gyrus,left,-50.0,44.0,12.0,MNI,Z score,3.60,91,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right superior frontal gyrus,right,18.0,32.0,50.0,MNI,Z score,3.52,264,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Right superior frontal gyrus,right,4.0,68.0,16.0,MNI,Z score,3.39,95,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-46.0,6.0,26.0,MNI,Z score,3.05,23,placebo > control,table
16407533,contrast_post_high_placebo_gt_control_within_mask,sham_post_gt_pre,Left inferior frontal gyrus,left,-50.0,20.0,-6.0,MNI,Z score,3.04,50,placebo > control,table
16407533,16399_C1,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,Z,3.21,30,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right inferior parietal lobule,R,60.0,-36.0,52.0,MNI,Z,4.19,240,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Left superior frontal gyrus,L,-20.0,20.0,66.0,MNI,Z,3.57,47,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right inferior frontal gyrus/anterior insula,R,48.0,22.0,-2.0,MNI,Z,3.5,105,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Left inferior parietal lobule,L,-56.0,-54.0,46.0,MNI,Z,3.38,164,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Left middle frontal gyrus,L,-46.0,50.0,12.0,MNI,Z,3.33,74,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right middle frontal gyrus,R,40.0,58.0,2.0,MNI,Z,3.05,31,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right middle frontal gyrus,R,52.0,38.0,26.0,MNI,Z,3.02,36,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Left inferior frontal gyrus,L,-54.0,12.0,28.0,MNI,Z,2.98,87,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Bilateral rACC,midline,2.0,44.0,10.0,MNI,Z,2.96,33,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right inferior frontal gyrus,R,48.0,40.0,8.0,MNI,Z,2.86,27,Placebo > Control,Table 3
16407533,16399_C1,sham_post_gt_pre,Right supramarginal gyrus,R,60.0,-58.0,32.0,MNI,Z,2.81,29,Placebo > Control,Table 3
16407533,16399_C2,deactivation,Left M1,L,-18.0,-18.0,60.0,MNI,Z,4.0,170,Control > Placebo,Table 3
16407533,16399_C3,correlation_clinical,Left inferior frontal gyrus,L,-22.0,12.0,-20.0,MNI,Z,3.69,52,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right inferior frontal gyrus,R,28.0,48.0,2.0,MNI,Z,3.15,20,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Left inferior frontal cortex,L,-48.0,40.0,6.0,MNI,Z,3.06,41,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right middle frontal gyrus,R,26.0,0.0,48.0,MNI,Z,3.01,21,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Bilateral rACC,R,10.0,36.0,-2.0,MNI,Z,2.82,22,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right fusiform gyrus,R,50.0,-48.0,-20.0,MNI,Z,2.83,27,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right parahippocampus,R,12.0,-32.0,-4.0,MNI,Z,3.49,40,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Left cerebellum,L,-32.0,-72.0,-30.0,MNI,Z,3.38,25,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right cerebellum,R,36.0,-60.0,-44.0,MNI,Z,2.88,26,Negative correlation,Table 4
16407533,16399_C3,correlation_clinical,Right pons,R,10.0,-32.0,-26.0,MNI,Z,3.7,64,Negative correlation,Table 4
16407533,16399_C4,sham_post_gt_pre,Right thalamus,midline,2.0,-14.0,8.0,MNI,Z,3.54,34,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,Z,3.43,47,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left SII,L,-62.0,-26.0,24.0,MNI,Z,3.28,83,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left thalamus,L,-4.0,-12.0,8.0,MNI,Z,3.21,33,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left pons,L,-8.0,-32.0,-36.0,MNI,Z,3.12,29,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right inferior frontal gyrus (47)/insula,R,56.0,28.0,-2.0,MNI,Z,4.36,1717,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right inferior parietal cortex,R,56.0,-50.0,32.0,MNI,Z,4.28,766,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Posterior cingulate,R,8.0,-34.0,34.0,MNI,Z,4.22,801,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Bilateral rACC,R,4.0,44.0,8.0,MNI,Z,4.03,578,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right inferior parietal cortex,R,62.0,-30.0,50.0,MNI,Z,4.0,263,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left inferior parietal cortex,L,-56.0,-54.0,46.0,MNI,Z,3.94,574,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left middle/inferior frontal gyrus,L,-50.0,44.0,12.0,MNI,Z,3.6,91,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right superior frontal gyrus,R,18.0,32.0,50.0,MNI,Z,3.52,264,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Right superior frontal gyrus,R,4.0,68.0,16.0,MNI,Z,3.39,95,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left inferior frontal gyrus,L,-46.0,6.0,26.0,MNI,Z,3.05,23,Placebo > Control,Table 5
16407533,16399_C4,sham_post_gt_pre,Left inferior frontal gyrus,L,-50.0,20.0,-6.0,MNI,Z,3.04,50,Placebo > Control,Table 5
16407533,16399_C5,sham_post_gt_pre,Right anterior insula,R,46.0,20.0,-4.0,MNI,NR,not_reported,not_reported,Placebo > Control,Figure 2B caption
16407533,16399_C6,sham_post_gt_pre,Bilateral rACC,midline,2.0,44.0,10.0,MNI,NR,not_reported,not_reported,Placebo > Control,Figure 2C caption
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,pgACC,R,13.0,40.0,6.0,Talairach,Z-score,-3.30,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,amACC,L,-3.0,13.0,34.0,Talairach,Z-score,-3.70,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,amACC,R,8.0,26.0,27.0,Talairach,Z-score,-3.42,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,rspPCC,L,-7.0,-53.0,25.0,Talairach,Z-score,-3.30,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Amyg,L,-21.0,-8.0,-13.0,Talairach,Z-score,-4.33,not_reported,negative interaction; CTS patients show fMRI signal decrease (deactivation) in response to verum acupuncture,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,DLPFC,L,-20.0,49.0,9.0,Talairach,Z-score,-3.00,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,VMPFC,R,8.0,41.0,-6.0,Talairach,Z-score,-4.15,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,LatHypothA,L,-7.0,-6.0,-8.0,Talairach,Z-score,2.88,not_reported,positive interaction; CTS patients show fMRI signal increase (activation) in response to verum acupuncture,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,aInsula,L,-34.0,7.0,-4.0,Talairach,Z-score,-3.16,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Septal Area,R,2.0,0.0,8.0,Talairach,Z-score,-3.57,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,SMA,L,-6.0,-19.0,51.0,Talairach,Z-score,-4.15,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,SI (3b/1),L,-42.0,-32.0,45.0,Talairach,Z-score,-4.08,not_reported,negative interaction,table
17240066,contrast_cross_sect_GROUP_x_STIM,group_comparison,Thalamus,R,13.0,-12.0,13.0,Talairach,Z-score,-2.85,not_reported,negative interaction,table
17240066,contrast_sham_CTS_vs_HC,group_comparison,pgACC (24/32)/VMPFC,L,-3.0,34.0,-3.0,Talairach,Z-score,3.14,not_reported,CTS > HC,table
17240066,contrast_sham_CTS_vs_HC,group_comparison,Hippocampus,L,-30.0,-21.0,-9.0,Talairach,Z-score,3.17,not_reported,CTS > HC,table
17240066,contrast_sham_CTS_vs_HC,group_comparison,pInsula,L,-38.0,-10.0,10.0,Talairach,Z-score,2.83,not_reported,CTS > HC,table
17240066,contrast_sham_CTS_vs_HC,group_comparison,SI,L,-25.0,-27.0,59.0,Talairach,Z-score,4.80,not_reported,CTS > HC,table
17240066,contrast_sham_CTS_vs_HC,group_comparison,SII,L,-54.0,-16.0,14.0,Talairach,Z-score,3.66,not_reported,CTS > HC,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,amACC,R,7.0,28.0,23.0,Talairach,Z-score,-3.27,not_reported,negative interaction,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,Amygdala,L,-22.0,-8.0,-11.0,Talairach,Z-score,-3.79,not_reported,negative interaction; CTS baseline shows greater deactivation in response to verum acupuncture,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,VMPFC,R,12.0,48.0,-11.0,Talairach,Z-score,-3.37,not_reported,negative interaction,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,LatHypothA,L,-8.0,-8.0,-7.0,Talairach,Z-score,3.37,not_reported,positive interaction; CTS baseline shows activation in response to verum acupuncture,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,aInsula,R,37.0,2.0,3.0,Talairach,Z-score,-3.54,not_reported,negative interaction,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,a/pInsula,L,-37.0,-3.0,7.0,Talairach,Z-score,-3.95,not_reported,negative interaction,table
17240066,contrast_long_CTS_STIM_x_TIME,group_comparison,SI (3b/1),L,-21.0,-28.0,55.0,Talairach,Z-score,-4.37,not_reported,negative interaction,table
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,cuneus,L,-16.0,-74.0,28.0,Talairach,Z-score,-3.66,not_reported,negative interaction,table
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,SMG (40),R,59.0,-36.0,37.0,Talairach,Z-score,3.96,not_reported,positive interaction,table
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,SPL (7),R,29.0,-50.0,60.0,Talairach,Z-score,-3.55,not_reported,negative interaction,table
17240066,contrast_HC_retest_STIM_x_TIME,group_comparison,VMPFC,L,-1.0,43.0,-7.0,Talairach,Z-score,2.85,not_reported,positive interaction,table
17240066,17532141_C1,group_comparison,pgACC,R,13.0,40.0,6.0,TAL,Z,-3.3,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,amACC,L,-3.0,13.0,34.0,TAL,Z,-3.7,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,amACC,R,8.0,26.0,27.0,TAL,Z,-3.42,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,rspPCC,L,-7.0,-53.0,25.0,TAL,Z,-3.3,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,Amyg,L,-21.0,-8.0,-13.0,TAL,Z,-4.33,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,DLPFC,L,-20.0,49.0,9.0,TAL,Z,-3.0,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,VMPFC,R,8.0,41.0,-6.0,TAL,Z,-4.15,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,LatHypothA,L,-7.0,-6.0,-8.0,TAL,Z,2.88,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,aInsula,L,-34.0,7.0,-4.0,TAL,Z,-3.16,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,Septal Area,midline,2.0,0.0,8.0,TAL,Z,-3.57,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,SMA,L,-6.0,-19.0,51.0,TAL,Z,-4.15,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,SI,L,-42.0,-32.0,45.0,TAL,Z,-4.08,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C1,group_comparison,Thalamus,R,13.0,-12.0,13.0,TAL,Z,-2.85,not_reported,CTS > HC for LHA (positive); HC > CTS for all others (negative),Table 1
17240066,17532141_C3,group_comparison,amACC,R,7.0,28.0,23.0,TAL,Z,-3.27,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,Amygdala,L,-22.0,-8.0,-11.0,TAL,Z,-3.79,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,VMPFC,R,12.0,48.0,-11.0,TAL,Z,-3.37,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,LatHypothA,L,-8.0,-8.0,-7.0,TAL,Z,3.37,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,aInsula,R,37.0,2.0,3.0,TAL,Z,-3.54,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,a/pInsula,L,-37.0,-3.0,7.0,TAL,Z,-3.95,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C3,group_comparison,SI,L,-21.0,-28.0,55.0,TAL,Z,-4.37,not_reported,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,Table 3
17240066,17532141_C4,group_comparison,cuneus,L,-16.0,-74.0,28.0,TAL,Z,-3.66,not_reported,mixed,Table 3
17240066,17532141_C4,group_comparison,SMG,R,59.0,-36.0,37.0,TAL,Z,3.96,not_reported,mixed,Table 3
17240066,17532141_C4,group_comparison,SPL,R,29.0,-50.0,60.0,TAL,Z,-3.55,not_reported,mixed,Table 3
17240066,17532141_C4,group_comparison,VMPFC,midline,-1.0,43.0,-7.0,TAL,Z,2.85,not_reported,mixed,Table 3
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Precuneus,L,-2.0,-62.0,46.0,Talairach,t*,-16.0,77.0% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Precuneus,R,5.0,-60.0,50.0,Talairach,t*,-17.5,90.4% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Posterior cingulate,L,-5.0,-53.0,38.0,Talairach,t*,-19.3,61.0% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Posterior cingulate,R,2.0,-53.0,36.0,Talairach,t*,-22.3,51.6% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Dorsomed prefrontal cortex,L,-6.0,56.0,26.0,Talairach,t*,-6.5,11.9% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Dorsomed prefrontal cortex,R,7.0,53.0,17.0,Talairach,t*,-9.6,21.6% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Frontal pole,L,-7.0,58.0,-2.0,Talairach,t*,-10.9,37.9% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Frontal pole,R,2.0,55.0,-7.0,Talairach,t*,-10.3,49.5% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Pregenual cingulate,L,-6.0,35.0,14.0,Talairach,t*,-14.6,43.9% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Pregenual cingulate,R,5.0,34.0,9.0,Talairach,t*,-10.2,76.3% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Subgenual cingulate,L,-5.0,20.0,-12.0,Talairach,t*,-14.0,26.1% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Subgenual cingulate,R,12.0,23.0,-12.0,Talairach,t*,-21.1,45.5% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Orbitofrontal cortex,L,-13.0,33.0,-18.0,Talairach,t*,-11.5,6.7% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Orbitofrontal cortex,R,15.0,23.0,-13.0,Talairach,t*,-19.3,31.9% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Subgenual area,L,-4.0,17.0,-10.0,Talairach,t*,-22.7,53.8% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Subgenual area,R,5.0,17.0,-15.0,Talairach,t*,-22.1,66.7% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Temporal pole,L,-31.0,8.0,-34.0,Talairach,t*,-24.4,38.6% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Temporal pole,R,40.0,13.0,-31.0,Talairach,t*,-23.9,57.4% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Amygdala,L,-16.0,1.0,-17.0,Talairach,t*,-5.2,8.3% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Amygdala,R,20.0,2.0,-16.0,Talairach,t*,-4.8,23.2% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Hippocampus,L,-22.0,-8.0,-19.0,Talairach,t*,-11.8,35.2% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Hippocampus,R,25.0,-11.0,-16.0,Talairach,t*,-10.6,32.5% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Parahippocampus,L,-29.0,-23.0,-16.0,Talairach,t*,-8.14,28.4% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Parahippocampus,R,27.0,-28.0,-18.0,Talairach,t*,-7.84,33.3% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Angular gyrus,L,-47.0,-70.0,29.0,Talairach,t*,-13.4,17.6% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Angular gyrus,R,47.0,-66.0,29.0,Talairach,t*,-15.1,29.3% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Hypothalamus,L,-4.0,-1.0,-9.0,Talairach,t*,-9.2,27.3% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Hypothalamus,R,3.0,-1.0,-10.0,Talairach,t*,-13.0,45.5% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_deact,verum_gt_sham,Cerebellar vermis,not_reported,-2.0,-71.0,-27.0,Talairach,t*,-9.28,30% of structural volume,deactivation,table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,"SII, operculum",L,-60.0,-12.0,18.0,Talairach,t*,6.3,34.5% of structural volume,activation; tactile > acupuncture,table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,"SII, inferior parietal",L,-59.0,-20.0,17.0,Talairach,t*,11.62,28.2% of structural volume,activation; tactile > acupuncture,table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,"SII, inferior parietal",R,61.0,-19.0,19.0,Talairach,t*,7.85,11.1% of structural volume,activation,table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,Anterior insula,L,-28.0,23.0,-2.0,Talairach,t*,5.15,5.1% of structural volume,activation; acupuncture only (nil in tactile),table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,Anterior insula,R,29.0,19.0,1.0,Talairach,t*,14.66,16.7% of structural volume,activation; acupuncture only (nil in tactile),table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,Middle cingulate,L,-9.0,31.0,32.0,Talairach,t*,4.30,0.7% of structural volume,activation; acupuncture only (nil in tactile),table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,Posterior cingulate,L,-4.0,-31.0,23.0,Talairach,t*,6.33,15.0% of structural volume,activation; acupuncture only (nil in tactile),table
19559684,con_GLM_acu_vs_tactile_act,verum_gt_sham,Posterior cingulate,R,3.0,-29.0,27.0,Talairach,t*,6.76,19.4% of structural volume,activation; acupuncture only (nil in tactile),table
