pmid,contrast_id,contrast_label,contrast_type,analysis_method,analysis_family,n_coordinates,n_connectivity_edges,disease_condition
16407533,16399_C4,"Brain areas activated during the comparison of fMRI signal change evoked by post-treatment high pain on placebo and control sides - Within mask, P > C",activation,activation,,16,0,healthy volunteers; experimentally induced thermal pain
16790551,con_005,Acupuncture stimulation VA1 – 'yin' character subjects: positive signal intensity correlation with visual stimulation,subgroup activation analysis (yin character),correlation coefficient (cc); time-course signal intensity compared; yin subjects show same direction signal intensity variation as visual stimulation,,1,0,Healthy volunteers; no disease condition
16790551,con_006,Acupuncture stimulation VA1 – 'yang' character subjects: negative signal intensity correlation with visual stimulation,subgroup activation analysis (yang character),correlation coefficient (cc); time-course signal intensity compared; yang subjects show opposite signal intensity variation compared to visual stimulation,,1,0,Healthy volunteers; no disease condition
17240066,contrast_FC_amygdala_hypothalamus,Functional connectivity between amygdala and hypothalamus in CTS patients at baseline responding to verum acupuncture,within-subject correlation matrix of percent signal change across brain regions,correlation matrix of fMRI signal response across 13 brain regions from baseline cross-sectional ANOVA interaction (Table 1); Bonferroni corrected for multiple comparisons; computed in MATLAB,,0,1,Carpal Tunnel Syndrome (CTS)
17240066,contrast_hypoth_digit_separation_correlation,Correlation between hypothalamic fMRI signal response to verum acupuncture and digit 2/digit 3 somatotopic separation in contralateral SI in CTS patients at baseline,brain-behavior correlation,Pearson correlation between hypothalamic fMRI percent signal change and digit 2/digit 3 somatotopic separation distance in contralateral SI,,0,0,Carpal Tunnel Syndrome (CTS)
17240066,contrast_hypoth_sharppain_trend,Negative trend between hypothalamic fMRI signal response and intensity of sharp pain elicited by verum acupuncture,brain-behavior correlation (trend),Pearson correlation between hypothalamic fMRI percent signal change and sharp pain intensity,,0,0,Carpal Tunnel Syndrome (CTS)
19559684,con_GLM_deqi_vs_pain_deact,Deqi vs. deqi plus sharp pain: deactivation network,"two sample t-test, deqi vs. deqi mixed with sharp pain, deactivation network","Standard voxel by voxel two sample t-test (3dttest, AFNI)",,20,0,Healthy volunteers (no disease condition)
19559684,con_GLM_deqi_vs_pain_act,Deqi vs. deqi plus sharp pain: activation network,"two sample t-test, deqi vs. deqi mixed with sharp pain, activation network","Standard voxel by voxel two sample t-test (3dttest, AFNI)",,8,0,Healthy volunteers (no disease condition)
19559684,con_CCA_deact_postCBA31_acu,"CCA deactivation network: seed postC_BA31 right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture","Seed-based cross correlation analysis (CCA) using average time-course of seed region; band-pass filtered 0.003-0.08 Hz; global signal regression; Fisher r-to-z transformation; t-test across subjects (3dfim+, 3dttest, AFNI)",,0,3,Healthy volunteers (no disease condition)
19559684,con_CCA_deact_SG25_acu,"CCA deactivation network: seed SG25 right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture",Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,,0,1,Healthy volunteers (no disease condition)
19559684,con_CCA_deact_Amy_acu,"CCA deactivation network: seed amygdala right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture, amygdala seed",Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,,0,1,Healthy volunteers (no disease condition)
19559684,con_CCA_deact_Hypo_acu,"CCA deactivation network: seed hypothalamus right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture, hypothalamus seed",Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,,0,1,Healthy volunteers (no disease condition)
19559684,con_CCA_act_SII_acu,"CCA activation network: seed left SII (contralateral), acupuncture vs. tactile stimulation","Seed-based cross correlation analysis, activation network, acupuncture vs. tactile stimulation",Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,,0,1,Healthy volunteers (no disease condition)
19559684,con_CCA_act_ant_insula_acu,"CCA activation network: seed right anterior insula, acupuncture","Seed-based cross correlation analysis, activation network, right anterior insula seed, acupuncture",Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,,0,2,Healthy volunteers (no disease condition)
19559684,19591815_C5,Table 2A - Deqi vs Deqi+Pain: Deactivation Network,activation,activation,,36,0,Healthy volunteers (no disease condition)
19559684,19591815_C6,Table 2B - Deqi vs Deqi+Pain: Activation Network,activation,activation,,15,0,Healthy volunteers (no disease condition)
23316257,cont_gsrv_acup,Correlation of global signal (GS) and reference vector (RV) - acupuncture run,Correlation between global signal and hemodynamic reference vector,Correlation coefficient (R-value) between global signal time series and reference vector (experimental paradigm convolved with HRF),,0,0,Healthy volunteers; no disease condition
23316257,cont_gsrv_tactile,Correlation of global signal (GS) and reference vector (RV) - tactile run,Correlation between global signal and hemodynamic reference vector,Correlation coefficient (R-value) between global signal time series and reference vector (experimental paradigm convolved with HRF),,0,0,Healthy volunteers; no disease condition
23316257,cont_averwb_gsrv_acup,Correlation of GS-RV R-value and AVER-WB-RV R-value (NO PSGS) - acupuncture,Linear relationship between subject-level GS-RV R-value and averaged whole-brain voxel-level RV R-value,Correlation between GS-RV R-value and AVER-WB-RV R-value (NO PSGS) across subjects,,0,1,Healthy volunteers; no disease condition
23316257,cont_averwb_gsrv_tactile,Correlation of GS-RV R-value and AVER-WB-RV R-value (NO PSGS) - tactile,Linear relationship between subject-level GS-RV R-value and averaged whole-brain voxel-level RV R-value,Correlation between GS-RV R-value and AVER-WB-RV R-value (NO PSGS) across subjects,,0,1,Healthy volunteers; no disease condition
23316257,cont_gsrv_averwb_change_acup,Correlation of GS-RV R-value and changes in AVER-WB-RV R-value (PSGS - NO PSGS) - acupuncture,Linear relationship between GS-RV R-value and normalization-induced change in averaged whole-brain correlation,Correlation between GS-RV R-value and changes in AVER-WB-RV R-value (PSGS - NO PSGS) across subjects,,0,1,Healthy volunteers; no disease condition
23316257,cont_gsrv_averwb_change_tactile,Correlation of GS-RV R-value and changes in AVER-WB-RV R-value (PSGS - NO PSGS) - tactile,Linear relationship between GS-RV R-value and normalization-induced change in averaged whole-brain correlation,Correlation between GS-RV R-value and changes in AVER-WB-RV R-value (PSGS - NO PSGS) across subjects,,0,1,Healthy volunteers; no disease condition
23691237,contrast_hub_REST_delta,DMN hub configurations during resting state within delta band,hub identification based on partial correlation within frequency band,partial correlation analysis within delta band (0.5–4 Hz); hub defined as degree at least one standard deviation greater than average network degree,,0,2,healthy volunteers
23691237,contrast_hub_NAP_delta,DMN hub configurations following sham acupuncture (NAP) within delta band,hub identification based on partial correlation within frequency band,partial correlation analysis within delta band (0.5–4 Hz); hub defined as degree at least one standard deviation greater than average network degree,,0,2,healthy volunteers
23691237,contrast_hub_ST36_delta,DMN hub configurations following verum acupuncture (ST36) within delta band,hub identification based on partial correlation within frequency band,partial correlation analysis within delta band (0.5–4 Hz); hub defined as degree at least one standard deviation greater than average network degree,,0,2,healthy volunteers
23691237,contrast_hub_REST_theta,DMN hub configurations during resting state within theta band,hub identification based on partial correlation within theta band,partial correlation analysis within theta band (4–8 Hz); hub defined as degree at least one standard deviation greater than average network degree,,0,1,healthy volunteers
23691237,contrast_hub_NAP_theta,DMN hub configurations following sham acupuncture (NAP) within theta band,hub identification based on partial correlation within theta band,partial correlation analysis within theta band (4–8 Hz); hub defined as degree at least one standard deviation greater than average,,0,2,healthy volunteers
23691237,contrast_hub_ST36_theta,DMN hub configurations following verum acupuncture (ST36) within theta band,hub identification based on partial correlation within theta band,partial correlation analysis within theta band (4–8 Hz); hub defined as degree at least one standard deviation greater than average,,0,3,healthy volunteers
23691237,contrast_hub_REST_alpha,DMN hub configurations during resting state within alpha band,hub identification based on partial correlation within alpha band,partial correlation analysis within alpha band (8–13 Hz); hub defined as degree at least one standard deviation greater than average,,0,4,healthy volunteers
23691237,contrast_hub_NAP_alpha,DMN hub configurations following sham acupuncture (NAP) within alpha band,hub identification based on partial correlation within alpha band,partial correlation analysis within alpha band (8–13 Hz); hub defined as degree at least one standard deviation greater than average,,0,5,healthy volunteers
23691237,contrast_hub_ST36_alpha,DMN hub configurations following verum acupuncture (ST36) within alpha band,hub identification based on partial correlation within alpha band,partial correlation analysis within alpha band (8–13 Hz); hub defined as degree at least one standard deviation greater than average,,0,2,healthy volunteers
23691237,contrast_hub_REST_beta,DMN hub configurations during resting state within beta band,hub identification based on partial correlation within beta band,partial correlation analysis within beta band (13–30 Hz); hub defined as degree at least one standard deviation greater than average,,0,3,healthy volunteers
23691237,contrast_hub_NAP_beta,DMN hub configurations following sham acupuncture (NAP) within beta band,hub identification based on partial correlation within beta band,partial correlation analysis within beta band (13–30 Hz); hub defined as degree at least one standard deviation greater than average,,0,3,healthy volunteers
23691237,contrast_hub_ST36_beta,DMN hub configurations following verum acupuncture (ST36) within beta band,hub identification based on partial correlation within beta band; PCC no longer hub vs NAP,partial correlation analysis within beta band (13–30 Hz); hub defined as degree at least one standard deviation greater than average,,0,2,healthy volunteers
23691237,contrast_hub_REST_gamma,DMN hub configurations during resting state within gamma band,hub identification based on partial correlation within gamma band,partial correlation analysis within gamma band (30–48 Hz); hub defined as degree at least one standard deviation greater than average,,0,1,healthy volunteers
23691237,contrast_hub_NAP_gamma,DMN hub configurations following sham acupuncture (NAP) within gamma band,hub identification based on partial correlation within gamma band,partial correlation analysis within gamma band (30–48 Hz); hub defined as degree at least one standard deviation greater than average,,0,2,healthy volunteers
23691237,contrast_hub_ST36_gamma,DMN hub configurations following verum acupuncture (ST36) within gamma band,hub identification based on partial correlation within gamma band,partial correlation analysis within gamma band (30–48 Hz); hub defined as degree at least one standard deviation greater than average,,0,2,healthy volunteers
23935686,nr_hui_LI4_deactivation,fMRI signal decrease during acupuncture Deqi at LI4 vs pain/tactile control,deactivation during Deqi vs pain or superficial tactile control,BOLD fMRI signal change analysis,,11,0,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,nr_hui_ST36_sharpPain_activation,Subjects with sharp pain together with Deqi at ST36 - signal increase in cerebrocerebellar and limbic systems,activation during sharp pain with Deqi at ST36,BOLD fMRI,,1,0,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,nr_hui_pain_noDeqi_activation,Brain activation in subjects experiencing pain with nil Deqi or sharp pain with Deqi during acupuncture,activation during pain with nil Deqi or sharp pain with Deqi,BOLD fMRI,,5,0,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
23935686,nr_classic_acup_deqi_activation,Classic acupuncture with Deqi - activation of brain areas common with acute and chronic pain,activation during Deqi at various acupoints (multiple studies),fMRI (multiple studies cited),,6,0,"Multiple conditions reviewed including healthy subjects, chronic pain, carpal tunnel syndrome, functional dyspepsia, heroin addiction, stroke"
24062782,contrast_acup_pressure_covariate,Brain activity associated with pressure sensation during acupuncture stimulation,ANCOVA with pressure intensity scores as covariate; percent MR signal change to acupuncture,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,25,0,healthy subjects
24062782,contrast_acup_heaviness_covariate,Brain activity associated with heaviness sensation during acupuncture stimulation,ANCOVA with heaviness intensity scores as covariate; percent MR signal change to acupuncture,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,13,0,healthy subjects
24062782,contrast_acup_fullness_covariate,Brain activity associated with fullness sensation during acupuncture stimulation,ANCOVA with fullness intensity scores as covariate; percent MR signal change to acupuncture,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,19,0,healthy subjects
24062782,contrast_acup_numbness_covariate,Brain activity associated with numbness sensation during acupuncture stimulation,ANCOVA with numbness intensity scores as covariate; percent MR signal change to acupuncture,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,22,0,healthy subjects
24062782,contrast_acup_tingling_covariate,Brain activity associated with tingling sensation during acupuncture stimulation,ANCOVA with tingling intensity scores as covariate; percent MR signal change to acupuncture,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,23,0,healthy subjects
24062782,contrast_tactile_pressure_covariate,Brain activity associated with pressure sensation during tactile stimulation,ANCOVA with pressure intensity scores as covariate; percent MR signal change to tactile stimulation,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,18,0,healthy subjects
24062782,contrast_tactile_heaviness_fullness_covariate,Brain activity associated with heaviness/fullness sensation during tactile stimulation,ANCOVA with heaviness/fullness intensity scores as covariate; percent MR signal change to tactile stimulation,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,11,0,healthy subjects
24062782,contrast_tactile_tingling_covariate,Brain activity associated with tingling sensation during tactile stimulation,ANCOVA with tingling intensity scores as covariate; percent MR signal change to tactile stimulation,ANCOVA with individual needling sensation scores as covariates; percent MR signal change,,7,0,healthy subjects
24459533,contrast_ReHo_ACC_correlation,Correlation between increased ReHo in left ACC after acupuncture and change in defecation frequency in FD group,brain-behavior correlation,Pearson or Spearman correlation (not specified) between altered ReHo value in ACC area of FD and decrease in defecation frequency during the second week (second week of the treatment minus baseline),,1,0,Functional diarrhea (FD)
24821143,con_ANCOVA_cumulative,Cumulated areas after repeated acupuncture stimulation (ANCOVA with CDA as covariate),ANCOVA correlation between brain response degree and cumulative duration of acupuncture (CDA) across six blocks,analysis of covariance (ANCOVA) with CDA as covariate,,5,0,healthy (no disease condition)
24821143,con_ROI_MCC_bimodal,ROI analysis of Bilateral Middle Cingulate Cortex: brain response across 6 blocks of repeated acupuncture stimulation,ROI analysis of overlapped area (first block activation ∩ ANCOVA habituation); Pearson correlation between brain response and CDA,ROI analysis using overlapped areas as regions of interest; average brain response per block calculated; Pearson correlation coefficient calculated,,0,1,healthy (no disease condition)
24821143,con_ROI_PCL_bimodal,ROI analysis of Bilateral Paracentral Lobule: brain response across 6 blocks of repeated acupuncture stimulation,ROI analysis of overlapped area (first block activation ∩ ANCOVA habituation); Pearson correlation between brain response and CDA,ROI analysis using overlapped areas as regions of interest; average brain response per block calculated; Pearson correlation coefficient calculated,,0,1,healthy (no disease condition)
24821143,con_ROI_SII_bimodal,ROI analysis of Right Secondary Somatosensory Cortex (SII): brain response across 6 blocks of repeated acupuncture stimulation,ROI analysis of overlapped area (first block activation ∩ ANCOVA habituation); Pearson correlation between brain response and CDA,ROI analysis using overlapped areas as regions of interest; average brain response per block calculated; Pearson correlation coefficient calculated,,0,1,healthy (no disease condition)
24821143,con_ROI_Thalamus_bimodal,ROI analysis of Right Thalamus: brain response across 6 blocks of repeated acupuncture stimulation,ROI analysis of overlapped area (first block activation ∩ ANCOVA habituation); Pearson correlation between brain response and CDA,ROI analysis using overlapped areas as regions of interest; average brain response per block calculated; Pearson correlation coefficient calculated,,0,1,healthy (no disease condition)
24915066,con_corr_armA_VAS_ACC,correlation between decrease in VAS score and increased average ReHo values in ACC (active acupoint group),correlation between clinical variable change and neural change,correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,,0,1,migraine without aura
24915066,con_corr_armA_VAS_Insula,correlation between decrease in VAS score and increased average ReHo values in insula (active acupoint group),correlation between clinical variable change and neural change,correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,,0,1,migraine without aura
24915066,con_corr_armB_VAS_ACC,correlation between decrease in VAS score and increased average ReHo values in ACC (inactive acupoint group),correlation between clinical variable change and neural change,correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,,0,1,migraine without aura
25821486,nc_pearson_HYP_HIPP_CBT,Pearson correlation: increased HYP–HIPP FC after ACU vs. ACU-induced change in CBT,brain-behavior correlation (positive),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_PUT_L_GLU,Pearson correlation: increased HYP–left putamen FC after ACU vs. ACU-induced change in GLU,brain-behavior correlation (positive),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_PUT_R_GLU,Pearson correlation: increased HYP–right putamen FC after ACU vs. ACU-induced change in GLU,brain-behavior correlation (positive),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_INS_GLU,Pearson correlation: increased HYP–insula FC after ACU vs. ACU-induced change in GLU,brain-behavior correlation (positive),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_ACC_HUNGER,Pearson correlation: increased HYP–ACC FC after ACU vs. ACU-induced change in HUNGER,brain-behavior correlation (positive),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_THAL_L_HUNGER,Pearson correlation: decreased HYP–left thalamus FC after ACU vs. ACU-induced change in HUNGER (negative correlation),brain-behavior correlation (negative),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_HYP_THAL_R_HUNGER,Pearson correlation: decreased HYP–right thalamus FC after ACU vs. ACU-induced change in HUNGER (negative correlation),brain-behavior correlation (negative),Pearson correlation between change in FC z-statistic and physiological outcome change,,0,1,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25821486,nc_pearson_SHAM_no_correlation,No correlation found for min SHAM,null result – no Pearson correlation found,Pearson correlation between change in FC z-statistic and physiological outcome change,,0,0,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit"
25916336,cont_FC_VAS_correlation_pre,The decreased functional connectivity of brain regions in MWoA patients was negatively correlated with their VAS scores before treatment,correlation between FC Z-values and VAS scores (before treatment),"Z values of each patient extracted from regions of interest (ROI), averaged and regressed against VAS scores",,0,1,Migraine without aura (MWoA)
25916336,cont_FC_VAS_correlation_post,The increased functional connectivity of brain regions in MWoA patients was negatively correlated with the decrease of VAS scores after treatment,correlation between FC Z-values and decrease of VAS scores (after treatment),"Z values of each patient extracted from regions of interest (ROI), averaged and regressed against VAS score decrease",,0,1,Migraine without aura (MWoA)
26161117,con_pain_vs_baseline_ReHo,pain status compared with baseline (ReHo),paired t-test; pain status minus baseline,regional homogeneity (ReHo) analysis; Kendall's coefficient; two-tailed paired t-test,,12,0,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection
26161117,26075009_C1,"Resting state regional homogeneity alterations corresponding to pain status (pain status compared with baseline) paired t-test analysis P < 0.05, FDR < 0.05",ReHo,ReHo,,12,0,Experimental acute low back pain (ALBP) induced by intramuscular hypertonic saline injection
26211895,con_ancova_pse_pos_corr,Inverse of PSE - Covariates Map (positive correlation with genuine minus pseudo difference),ANCOVA; covariate = inverse of demeaned PSE from two-point discrimination task; contrast: individual (genuine - pseudo) parameter coefficient value,ANCOVA on individual contrasts calculated by subtracting pseudo contrast from genuine contrast; inverse of demeaned PSE as covariate of interest,,5,0,healthy volunteers
26211895,con_ancova_pse_neg_corr,Inverse of PSE - Covariates Map (negative correlation with genuine minus pseudo difference),ANCOVA; covariate = inverse of demeaned PSE from two-point discrimination task; contrast: individual (genuine - pseudo) parameter coefficient value,ANCOVA on individual contrasts calculated by subtracting pseudo contrast from genuine contrast; inverse of demeaned PSE as covariate of interest,,2,0,healthy volunteers
26839078,C03_NEG_ASSOC_VAS_BASELINE,Negative association between baseline VAS and baseline vlPAG resting state-functional connectivity in all MwoA patients,regression analysis; negative association,"Regression analysis; covariates: disease duration, SAS, SDS",,1,0,Migraine without aura (MwoA)
26839078,C07_NEG_ASSOC_VAS_CHANGE_AG,Association between VAS changes and vlPAG resting state-functional connectivity changes due to acupuncture treatment (verum+sham): Negative association,regression analysis; negative association between rs-fc change and VAS change,"Regression analysis; covariates: disease duration, SAS changes, SDS changes",,9,0,Migraine without aura (MwoA)
26839078,C10_PARTIAL_REG_VAS_RSFC_BASELINE,"Partial regression between headache intensity and rs-fc value in MwoA patients (controlled for disease duration, SAS and SDS)",partial regression; narrative result only,"Partial regression; controlled for disease duration, SAS and SDS",,0,1,Migraine without aura (MwoA)
26839078,C11_PARTIAL_REG_VAS_CHANGE_RSFC_CHANGE,Partial regression between changes of rACC-vlPAG rs-fc value (post-pre) and changes of VAS (post-pre) in MwoA patients due to acupuncture treatment (verum+sham),partial regression; narrative result only,"Partial regression; controlled for disease duration, SAS changes and SDS changes",,0,1,Migraine without aura (MwoA)
26839078,26842848_C6,Association between baseline VAS and baseline vlPAG resting state-functional connectivity in all MwoA patients - Negative association,FC,FC,,1,0,Migraine without aura (MwoA)
26839078,26842848_C7,Association between VAS changes and vlPAG resting state-functional connectivity changes due to acupuncture treatment (verum+sham) - Negative association,FC,FC,,9,0,Migraine without aura (MwoA)
27812501,con_006,Correlation: rsFC increase (left amygdala - sgACC/pgACC) with MADRS score across all subjects,brain-behavior correlation (neural rsFC change vs. clinical outcome),multiple regression analysis controlling for the age effect across all participants; Fisher 'Z' value extracted (a sphere of 3 mm radius around the peak voxel) of the left sgACC/pgACC,,0,1,Major depressive disorder (MDD)
27812501,con_007,Correlation: rsFC increase (left amygdala - sgACC/pgACC) with SDS score across all subjects,brain-behavior correlation (neural rsFC change vs. clinical outcome),multiple regression analysis controlling for the age effect across all participants; Fisher 'Z' value extracted (a sphere of 3 mm radius around the peak voxel) of the left sgACC/pgACC,,0,1,Major depressive disorder (MDD)
27857211,c007,Correlation: EA group CDAI decrease correlated with ReHo changes (positive correlation - ReHo decrease associated with CDAI decrease),"Pearson correlation analysis, ReHo change (post-pre) vs CDAI change (post-pre), EA group","Pearson's correlation analysis with age, gender and weight as covariates",,0,3,Crohn's disease (remission period)
27857211,c008,Correlation: EA group CDAI decrease correlated with ReHo changes (negative correlation - ReHo increase associated with CDAI decrease),"Pearson correlation analysis, ReHo change (post-pre) vs CDAI change (post-pre), EA group","Pearson's correlation analysis with age, gender and weight as covariates",,0,7,Crohn's disease (remission period)
27857211,c009,Correlation: Mox group CDAI decrease correlated with ReHo changes (positive correlation - ReHo decrease associated with CDAI decrease),"Pearson correlation analysis, ReHo change (post-pre) vs CDAI change (post-pre), Mox group","Pearson's correlation analysis with age, gender and weight as covariates",,0,3,Crohn's disease (remission period)
27857211,c010,Correlation: Mox group CDAI decrease correlated with ReHo changes (negative correlation - ReHo increase associated with CDAI decrease),"Pearson correlation analysis, ReHo change (post-pre) vs CDAI change (post-pre), Mox group","Pearson's correlation analysis with age, gender and weight as covariates",,0,5,Crohn's disease (remission period)
28053642,con_tingling_insula_corr,Correlation between deqi score of tingling and MR signal of the insula,correlation (deqi tingling score vs. insula MR signal),correlation using SPSS; deqi scores and MR signals of the insula correlated,,0,0,Healthy participants (no disease condition)
28053642,con_tingling_putamen_corr,Correlation between deqi score of tingling and MR signal of the putamen,correlation (deqi tingling score vs. putamen MR signal),correlation using SPSS; deqi scores and MR signals of the putamen correlated,,0,0,Healthy participants (no disease condition)
28334999,nc_09_fmri_D2D3_predict_3m,Correlation: change in D2/D3 separation distance following verum acupuncture predicts % change in BCTQ symptom score at 3-month follow-up,brain-behavior correlation (predictive),Pearson correlation; Spearman rho for % change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_10_fmri_D2D3_predict_postacup,Correlation: change in D2/D3 separation distance following verum acupuncture with % change in BCTQ symptom score immediately post-therapy,brain-behavior correlation (concurrent),Pearson correlation; Spearman rho for % change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_13_dti_FA_verum_contralesional_hand_NCS,Correlation: FA change in contralesional S1-hand area with median sensory nerve latency change following verum acupuncture,within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_14_dti_FA_sham_contralesional_hand_NCS,Correlation: FA change in contralesional S1-hand area with median sensory nerve latency change following sham acupuncture,within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_15_dti_FA_local_ipsilesional_hand_NCS,Correlation: FA change in ipsilesional S1-hand area with median sensory nerve latency change following local acupuncture,within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_16_dti_FA_distal_ipsilesional_hand_NCS,Correlation: FA change in ipsilesional S1-hand area with median sensory nerve latency change following distal acupuncture (null result),within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_17_dti_FA_sham_ipsilesional_hand_NCS,Correlation: FA change in ipsilesional S1-hand area with median sensory nerve latency change following sham acupuncture (null result),within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_18_dti_FA_distal_ipsilesional_leg_NCS,Correlation: FA change in ipsilesional S1-leg area with median sensory nerve latency change following distal acupuncture,within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
